Hashtag_name,Count
COVID19,5125
coronavirus,3092
HouseofLords,1247
Coronavirus,636
StayHomeSaveLives,567
LordsQs,515
research,506
OurNHSPeople,375
COVIDー19,365
KeepWalesSafe,361
StayAlert,343
PlanForJobs,312
Covid19,300
PMQs,230
COVIDVaccine,227
TogetherForOurPlanet,225
ResearchFunding,215
HelpUsHelpYou,215
vaccine,213
UniversalCredit,205
Kickstart,192
OrderPaper,188
StayHome,183
EveryMindMatters,180
ThankYouNHS,166
NHS,152
COP26,149
LetsTalkLoneliness,148
HereForCulture,147
COVID,139
ClinicalResearch,136
CovidVaccine,136
HereForYou,134
HandsFaceSpace,131
JobHelp,124
BackToSchool,123
climatechange,122
YouAreNotAlone,118
TravelSafely,112
BackToSchoolSafely,109
flu,105
HowAreYouDoing,100
CultureRecoveryFund,99
DeliveringforScotland,98
covid19,97
EnjoySummerSafely,92
UKIMBill,90
SafeOnline,89
OxfordVaccine,89
primarycare,87
MentalHealth,86
StayAtHome,85
ResearchVsCovid,85
IWD2021,84
WorkingSafely,81
TacklingClimateChange,80
FMQs,80
howareyoudoing,79
WelshQs,77
genomics,77
DomesticAbuseBill,75
MoreThanAJob,74
WeAreTheNHS,73
TradeBill,72
CheckChangeGo,70
ClimateAction,69
UnleashingInnovation,69
BSL,67
BlackHistoryMonth,67
InThisTogether,66
ICYMI,66
AgricultureBill,65
vaccines,65
PHEHealthMatters,63
tech,63
StaySafe,63
NIHRMakingaDifference,63
healthcare,62
InternationalWomensDay,62
COVID19LessonsLearnt,61
BESW,60
WeAreScotland,60
HSCCWorkforceBurnout,60
cancer,59
YellowCard,59
RECOVERYtrial,57
PriorityCovidResearch,55
SeneddElection,54
socialcare,54
BuildBackBetter,54
ImmigrationBill,53
AccessToWork,53
MwyNaSwydd,52
SettlementScheme,52
Ambulance,52
NHSCOVIDVaccine,52
hiring,51
ScotBudget,51
mentalhealth,50
DomesticAbuse,49
NetZero,49
HSCmaternitysafety,49
PatientSafety,48
EatOutToHelpOut,48
closecontact,48
podcast,48
MentalHealthAwarenessWeek,47
Genomes100k,47
TechPriorities,47
NHSBirthday,47
VaccinesWork,47
PublicHealth,46
BePartofResearch,46
TestTraceProtect,45
Westminster150,44
Budget2021,44
HISQIConnect,43
BetterHealth,43
WorldCancerDay,43
GetTested,42
data,42
BePartOfResearch,42
Covid,42
collaboration,42
OnlineHarms,41
NIHRGlobalHealth,41
Wales,41
WorldPatientSafetyDay,41
WorldMentalHealthDay,40
TestAndProtect,40
covid,40
DiogeluCymru,40
Ramadan,39
researchers,39
GWLAD,39
CSAwards,39
ScotHealthAwards,39
Hansard,39
FakeMeds,39
NAW2021,38
IWD2020,38
CoronavirusUK,38
NIHRfunded,37
TalkWomensHealth,37
ItStillMatters,37
ClapForCarers,37
RareDiseaseDay,37
innovation,37
bepartofresearch,37
ChildrensMentalHealthWeek,37
ShopLocal,37
WorldImmunisationWeek,36
OpenForBusiness,36
IntegratedReview,36
NIHR,36
Vote16,36
VEDay75,35
ReturnToPlay,35
ThankYouTogether,35
ClinicalTrials,35
sciencepodcast,35
patientsafety,35
science,34
PublicHealthMatters,34
TransportHeroes,33
diabetes,33
CyberAware,33
type1diabetes,33
LGBTHM21,32
BackingBusiness,32
pregnancy,32
CHISBill,32
WomenInScience,32
FinancialServicesBill,31
FireSafetyBill,31
health,31
priorityCOVIDresearch,31
FightingCoronavirus,31
UniSafe,31
StaySafeSaveLives,30
