id,created_at,favorite_count,retweet_count,text
1391763900945813504,2021-05-10 14:35:46,2289,249,"Thanks to the efforts of the public and the vaccine programme, cases and deaths have fallen across the UK. The UK CMOs have recommended the COVID Alert Level move from 4 to 3.

This steady progress relies on us remaining vigilant and careful as we unlock. https://t.co/z8StGlZNsS"
1387461259713470464,2021-04-28 17:38:36,2293,625,"PHE data show up to 50% reduction in transmission of COVID from first vaccine. 3 implications:

1) Getting a vaccine helps protect others

2) This is likely to be improved by getting your second dose

3) If people you meet are vaccinated it reduces your risk- but not completely. https://t.co/5ost4UcjhS"
1384115038324068355,2021-04-19 12:01:55,661,62,I am really delighted that Professor Chappell FMedSci will be taking over as Chief Scientific Adviser at DHSC and lead for the National Institute for Health Research (NIHR) from August. https://t.co/nsvRaFWuY9
1379416980579610626,2021-04-06 12:53:31,1061,153,"Positive news from the Valneva COVID-19 vaccine phase 1/2 trial. Many thanks to the volunteers, researchers and for NIHR support. If confirmed in larger trials this adds a new class of vaccines to help UK and international    efforts to control the pandemic. https://t.co/z3bOFMPO5r"
1379369695535640579,2021-04-06 09:45:37,3018,120,"Sir Paul was the leading health protection expert of his generation, and a great public health leader. His extraordinary knowledge and calm in a crisis protected many across the UK who have never heard of him. He was also a wonderful man. https://t.co/E2XGJEdHL9"
1370688005619466242,2021-03-13 10:47:41,2230,286,"Over one million people in the UK have participated in research on COVID-19, with support from NIHR and the NHS. This is a remarkable testament to the public-spirited approach of UK citizens to defeating this disease. Thank you to every person involved. https://t.co/TGwaq7nX5X"
1370340138769866755,2021-03-12 11:45:23,2132,307,"Good news confirming efficacy of the Novavax COVID vaccine against original and B.1.1.7 variants. The UK trial recruited from 35 research sites across the UK, with the first patients recruited in Blackpool. Many thanks to the volunteers and NHS staff who made it possible. https://t.co/UxkKtc7sH5"
1364986146971914245,2021-02-25 17:10:32,4560,503,"This change is a result of the remarkable efforts of the public to bring case numbers down. Deaths and infections are still very high and the NHS remains under significant pressure. If we continue to follow the guidance, cases will continue to fall. https://t.co/8rtHgtjj0h"
1360172016201052162,2021-02-12 10:20:54,3245,506,"Treatment of COVID-19 in hospital is steadily improving. This important trial result from RECOVERY for tocilizumab is another step forward. Many thanks to those who conducted the trial across the NHS and NIHR network, and those who volunteered to take part. https://t.co/uauhGR4cL6"
1359799386797178881,2021-02-11 09:40:12,2760,759,"There is a lot of discussion of vaccines at the moment. For those who would like to understand how vaccination developed, and how vaccines for childhood diseases and emergencies including COVID-19 are used, I gave an online Gresham talk on this, link below. https://t.co/7FJ7fnKdFW"
1355081631191728132,2021-01-29 09:13:31,4987,624,"A highly effective vaccine to add to the medical countermeasures against COVID-19 trialed in the UK. If it gets MHRA approval this increases our future resilience, including against the B.1.1.7 variant. Many thanks to all trial volunteers and those who conducted the research. https://t.co/JIqtu9UglA"
1347493802261549058,2021-01-08 10:42:12,5681,1696,"The situation in the NHS is very serious and the number of people in ICU is rising rapidly. 

We are improving our knowledge on how best to treat people in ICU thanks to research, but hundreds of people a day are currently dying.

We must all take the lockdown very seriously. https://t.co/ByWz4ejwz5"
1346178199651233792,2021-01-04 19:34:28,3551,688,"COVID cases are rising rapidly across the UK in large part due to the new variant. 

The NHS is treating many more COVID patients and vaccinating vulnerable citizens. NHS staff deserve our profound thanks. But we must act now or the NHS will come under even greater pressure. https://t.co/rF0Zwy0hQf"
1346048147886374914,2021-01-04 10:57:41,4655,547,"The first AZ/Oxford vaccines were given today. This is very welcome; congratulations to all involved. Vaccines give us a route out in the medium term.

The NHS is however under very considerable and rising pressure in the short term. We must all follow social distancing for now. https://t.co/tvzMBPnkfx"
1344328076113666050,2020-12-30 17:02:44,4070,383,"This is good news, it significantly increases supply and flexibility of vaccines to combat COVID in the UK and internationally. Many thanks to the scientists, research funders (including NIHR), research clinical staff and above all the many volunteers who took part in the trials. https://t.co/QzF3aRzKIZ"
1339879263667970048,2020-12-18 10:24:44,730,176,"My annual report brings together data to highlight major health issues we must tackle including cancers, cardiovascular disease, mental health and infections. It identifies where in England they are heavily concentrated and trends in health over time.

https://t.co/ixTpu54FOB"
1336237188514803712,2020-12-08 09:12:26,8871,857,"Today is a great day for medical science, and the future.

Congratulations and thank you to the NHS workers, trial volunteers and scientists who have made this a reality. 

The pandemic is not over and relaxing too early would be dangerous. But this is a significant moment. https://t.co/zlDekDTyhe"
1335177770050129920,2020-12-05 11:02:41,1508,284,"The CMOs for England, Scotland, Wales and Northern Ireland have written to doctors about winter, the COVID vaccine and the need for ongoing research. And above all to thank them.

Here is our letter https://t.co/u4IoHNQo3h"
1334052363779399681,2020-12-02 08:30:43,5827,1237,"The independent regulator authorised the first vaccine for use against COVID-19. This is excellent news and a step towards normality.

It will take until spring until the vulnerable population who wish to are fully vaccinated. We can't lower our guard yet

https://t.co/nqe5CGI1v2"
1330837517667602437,2020-11-23 11:36:04,2032,194,"This is a very encouraging step forward. 

I would like to say a huge thank you to those who volunteered and the researchers around the country. 

The regulators will now do their independent analysis for safety and efficacy but this is another important advance. https://t.co/Iz1ZEzJ7x7"
1326516354300735488,2020-11-11 13:25:19,956,188,"A letter from the CMOs, GMC, Medical Royal Colleges &amp; NHS to UK doctors.

There has been a remarkable, ongoing response from the profession to COVID. The second wave will be challenging - your continuing work to reduce COVID and non-COVID harm is massively appreciated. Thank you. https://t.co/yNLqnbjrND"
1325806531477114882,2020-11-09 14:24:44,16851,2293,"Preliminary news that the Pfizer/BioNTech vaccine is effective demonstrates the power of science against COVID. We must see the final safety and efficacy data, but it is very encouraging. 

It is essential we continue to suppress COVID, but it is a reason for optimism for 2021."
1322160543554293760,2020-10-30 12:56:52,1482,686,"Official @ONS data on COVID infections from 17th-23rd Oct has been published. 

Over 50,000 new infections a day, and it is rising in almost every region of England. Deaths and pressure on the NHS are increasing. 

We all have a role in reducing the risk of passing the virus on. https://t.co/P9g5xLwQE7"
1318109856570740736,2020-10-19 08:40:53,1732,324,"For those who are interested in public health beyond COVID-19, last week I gave a Gresham lecture on the role of the State in public health. It examines where the public expects State action, where it does not and the contested areas.  https://t.co/uBBmv4Ax4F"
1313509353266319361,2020-10-06 16:00:08,268,50,@DrTedros @JulianWTO_UN @WHO COVID is a global challenge that needs a global response. This includes international science and support for all nations. Thanks to @WHO for global leadership in tackling COVID and its indirect impact on other major health problems.
1303277644155367427,2020-09-08 10:22:58,5488,2255,Jonathan Van Tam lays the situation out clearly. We have through the extraordinary efforts of the whole population got COVID rates right down. They are now rising again especially in those aged 17 to 29. If we stop social distancing COVID comes back. We all need to protect others https://t.co/9uYMSLkbnp
1301216189461540869,2020-09-02 17:51:29,4946,1059,"Important supporting evidence that steroids significantly reduce mortality in patients with severe COVID. This is true of hydrocortisone as well as dexamethasone. Safe, cheap, well known drugs and available everywhere. 

Thank you to those who took part in these trials. https://t.co/1lthgTQulk"
1297530272829906946,2020-08-23 13:44:58,3004,1183,https://t.co/8WY1kJfgKX
1297485136758484992,2020-08-23 10:45:37,503,87,"As with many of the choices we face on COVID this is about balancing risk. We encourage all parents and school staff to read it. 

@CMOWales @DrGregorSmith"
