id,created_at,favorite_count,retweet_count,text
1393219392117354497,2021-05-14 14:59:22,1,2,"📰Read what our Chair @Jeremy_Hunt had to say on the Government's proposals:
https://t.co/HGD40q0oLK

📖Read our full report: https://t.co/vtxi2cVwFD"
1393219389755908102,2021-05-14 14:59:21,2,4,"POWERS OF THE SECRETARY OF STATE✖️
It is vital that local populations have confidence in NHS boards. The new proposals will give the Secretary of State the power to appoint and veto board members which raised concerns from a number of witnesses.

Our recommendation in Chapter 3: https://t.co/xAx2oYnPFt"
1393219384370413568,2021-05-14 14:59:20,3,3,"WORKFORCE 🧑‍⚕️
We do not believe that the duty to publish an update on the roles and responsibilities once every five years (as set out by the Government) is an adequate response to workforce shortages that are endemic in the NHS.

Our recommendation in Chapter 5: https://t.co/ZHvDHptK7o"
1393219379043741697,2021-05-14 14:59:19,2,2,"SOCIAL CARE 💷
A long-term plan for social care was not set out in the White Paper. Without secure, long-term funding, the problems that have bedevilled the care sector over the last two decades will not be solved.

Our conclusion in Chapter 4: https://t.co/FZGKc4qa4n"
1393219373993807875,2021-05-14 14:59:18,4,9,"How can the Government's plans to reform health and care be improved? 

In our report out today we analyse the Govt's White Paper proposals for a new Health and Care Bill and make recommendations on:

1. Social care
2. Workforce
3. Powers of the Secretary of State  

A thread👇"
1392978210506215429,2021-05-13 23:01:00,20,30,"NEW REPORT: Our report on the Government's White Paper for health and care has just been published.

We'll be sharing more of our findings throughout the day.

Find out more about our recommendations for the forthcoming Health and Care Bill: https://t.co/dllsUGCuTK https://t.co/hH2SXmlxtO"
1392854392148201472,2021-05-13 14:48:59,5,2,"It's #MentalHealthAwarenessWeek 

🔊Listen to Lucas giving evidence to our inquiry into children and young people's mental health. 

📖Read the written evidence we've received on the state of services and how to improve them: https://t.co/hBxqG6mV5z https://t.co/gIMaw8MEKh"
1392525392720932866,2021-05-12 17:01:40,5,2,"This inquiry builds on our Oct 2020 report, which called for an £7bn annual increase in social care funding by 2023-24, a £46,000 lifetime cap on care costs and for the Government to publish a long term plan for the social care sector.

📰Read more here: https://t.co/PR150uGyuP"
1392525389218648069,2021-05-12 17:01:39,19,10,"On Tuesday we'll hold a hearing on the catastrophic care costs facing those with dementia, the difficulty accessing care and poor quality of care.

🗣️Hearing from:
Fiona Carragher @alzheimerssoc
Caroline Abrahams @age_uk
Sarah Pickup @LGAcomms

Full info: https://t.co/tZ3s3ZroQe https://t.co/hqiKGky5v9"
1392484114322821120,2021-05-12 14:17:38,2,3,You can find out more information about the inquiry and the evidence we have received so far on our website: https://t.co/z3SUtgiBRC
