id,created_at,favorite_count,retweet_count,text
1395649328933478400,2021-05-21 07:55:04,7,1,"The latest round of the Tampon Tax Fund will provide £11.25 million to charities like @rapecrisisscot that helps women and girls across the country. 

#CommunitiesCan | @UKGovScotland | https://t.co/LwPnhyCmwO https://t.co/iXrErlZlxb"
1395642767532085254,2021-05-21 07:29:00,7,5,"Discover: London Transport Museum

Take a look behind the scenes at the @ltmuseum, one of hundreds of #CultureRecoveryFund recipients to reopen its doors to visits this week #HereForCulture

@transportgovuk | @OliverDowden https://t.co/3hSI83JFpL"
1395636739587383297,2021-05-21 07:05:03,5,12,"£11.25m Tampon Tax Fund open for applications

Supporting charities helping thousands of women and girls across the UK, the final round of the Tampon Tax Fund is launching

APPLY NOW | #CommunitiesCan | https://t.co/LwPnhyCmwO https://t.co/XbxMcVW8ws"
1395402630017568770,2021-05-20 15:34:46,0,1,"If your tech firm trades overseas, effectively protecting your assets is vital. 

For guidance on Chinese data laws, visit https://t.co/vcYn0n9nEZ https://t.co/9gdDy2TVmr"
1395353167043481600,2021-05-20 12:18:14,26,11,"WATCH: Highlight's from this morning's #DCMSPQs in the @HouseOfCommons

⚽️ @OliverDowden
💻 @MattWarman
📱 @CJ_Dinenage
🏛 @HuddlestonNigel https://t.co/X7sHv3eSKf"
1395341312350621699,2021-05-20 11:31:07,2,1,"Were you one of the 3000 runners who took part in the Reunion 5K @kemptonparkrace on Saturday or know someone who was?

Remember to complete your second PCR test today to help inform the safe return of similar events this summer 👟👟 https://t.co/6u8Dzybvz7"
1395313653193314304,2021-05-20 09:41:13,1,2,"Creatives rely on the ability to move across borders for multiple engagements, and the government is committed to supporting them. The T5 (Temporary Worker) Creative or Sporting visa can now be used by creative professionals to work at multiple events for up to one year. https://t.co/5tISNC1fZz"
1395296344990945281,2021-05-20 08:32:26,5,0,"Live stream: https://t.co/6SbN4WcMXz

Watch as @DCMS Ministers answer questions in the @HouseOfCommons #DCMSPQs https://t.co/xibKUtEZAI"
1395107067535446019,2021-05-19 20:00:19,0,0,"“The UK’s #tech scene is booming and I’m delighted to see so many of our stellar scaleups racing to become the next one billion dollar businesses.” — Digital Secretary @OliverDowden

Read more about how we’re helping startups thrive: https://t.co/rRakQtxuwk"
1395099440185151488,2021-05-19 19:30:00,3,0,"Scotland is a thriving UK #tech hub — it's home to 3 $1bn+ startups, including much-loved brewery @BrewDog, sports betting company @FanDuel and holiday search engine @Skyscanner

Read more: https://t.co/Fy2OGgYoCH https://t.co/VRLKVH1Y9y"
1395091986194051077,2021-05-19 19:00:23,3,1,"Music app @Shazam fashion giant @ASOS and crowdfunding platform @FundingCircleUK are just 3 British startup success stories. 

The UK is home to 90+ unicorns ($1bn+ companies) — find out more: https://t.co/82SRmbV8CN"
1395084340174938121,2021-05-19 18:30:00,2,1,"Yesterday, we launched our response to the #NationalDataStrategy at a joint event with @techUK.

Watch Minister for Media and Data @JWhittingdale discuss how we can use data to improve lives: https://t.co/RUQSErdfXH https://t.co/VpdZwI7wzB"
1395076791438610438,2021-05-19 18:00:01,0,1,"We’re committed to investing in our booming #tech sector.

Not only does the UK have more than 90 existing unicorns, it has 125 futurecorns — companies capable of becoming one.

1 of our 10 #TechPriorities is to help startups and scaleups thrive.
 
https://t.co/KOIiSCTYNm https://t.co/4exUbUgoVk"
1395053887405625347,2021-05-19 16:29:00,27,9,"“This is the story of our history.”

@DCTTrips hosted @CJ_Dinenage this week, showing off its reopening plans and celebrating the #CultureRecoveryFund grant that has helped it continue to be #HereForCulture

@HeritageFundUK | @HistoricEngland https://t.co/c9AIJ6z6dS"
1395028305728974848,2021-05-19 14:47:21,4,1,"'@Betfair, @AdmiralGroup and @Ocado are just three hugely successful British companies that were promising startups back in 2010.

The UK now has 91 $1 billion startups, and 125 on their way to becoming one.

Find out more: https://t.co/rRakQtxuwk https://t.co/Hod3HwcfjK"
1395023802799624202,2021-05-19 14:29:27,4,4,"A unicorn is a startup worth $1bn (£704m) or more, and includes the likes of @Monzo, @Shazam and @Ocado 

The UK is leading Europe for billion-dollar tech companies. Want to learn more about these financial success stories?

Head here: https://t.co/82SRmbV8CN https://t.co/oJfw6Oj5ix"
1395020802375004161,2021-05-19 14:17:32,12,7,"London is now the fourth biggest #tech city in the world, behind only the Bay Area, Beijing and New York. 

It’s home to 60 unicorns and is in the top 5 cities for tech venture capital investment globally.

https://t.co/QIAyRqXhkY"
1394989626989948930,2021-05-19 12:13:39,10,4,"""Data sharing is allowing us to compare British high streets, highlighting specific areas of inequality.” — @ONS 

@ONS and @OrdnanceSurvey have worked together to analyse data across nearly 1,200 towns in England and Wales, informing policy-making. 

#NationalDataStrategy https://t.co/hUz4Ot4P9A"
1394980693810241537,2021-05-19 11:38:09,6,3,"Digital Secretary @OliverDowden visited thriving company @BloomandWild yesterday, as new figures show that the UK is leading Europe in terms of successful tech startups. https://t.co/IN6yGnUxMN"
1394979905406910464,2021-05-19 11:35:01,4,2,"The UK is leading Europe in #tech investment, which has grown from £1bn to £11bn over the last 10 years. 

1 of our 10 #TechPriorities is to help startups and scaleups thrive.
 
Find out more: https://t.co/KOIiSCTYNm https://t.co/1Ini3IpIr6"
1394961033232531459,2021-05-19 10:20:02,3,3,"Congratulations to Chaitrali Chitre on receiving a Points of Light award for her work supporting hundreds of women and families from the British Asian community in Coventry through the Sahyadri Friends Group @SahyadriCov 

#HereForCulture | https://t.co/H5A04GrrCz"
1394950468384837633,2021-05-19 09:38:03,20,13,"The UK’s #tech sector is thriving. 

The number of unicorns — startups worth over $1 billion — has grown 10x over the last 10 years.

We now have 90+ unicorns — more than France, Germany and Sweden combined. 

https://t.co/QIAyRqXhkY https://t.co/Htfnd3K3CQ"
