id,created_at,favorite_count,retweet_count,text
1393306372612268037,2021-05-14 20:45:00,28,10,"Groups of up to six people or two households can meet indoors from 17 May 🏠

Remember to open a window to let fresh air in.

Find out more ▶️ https://t.co/jZcQqKISec https://t.co/g7cSeGdMW2"
1393299456150409217,2021-05-14 20:17:31,54,36,"We are taking action to help increase protection against variants of #COVID19.

This includes:
▶️ offering the most vulnerable people their second dose of the vaccine earlier
▶️ additional testing and enhanced contact tracing in affected areas

Read more: 
https://t.co/qoaidnNKz6 https://t.co/sil2MLY6eI"
1393268624098529280,2021-05-14 18:15:00,22,6,"""There is no evidence that this will impact on your fertility and I would really encourage you to go and get the vaccination.""

Watch consultant and @RCObsGyn fertility expert Dr Fatima Husain talk about the #COVID19 vaccine ⏬

More information:
https://t.co/uRfg01f5zj https://t.co/jgALLc3jiD"
1393232384930222090,2021-05-14 15:51:00,30,17,"To mark #MentalHealthAwarenessWeek, @MattHancock spoke to @MarkRowland77, CEO of the Mental Health Foundation, about the benefits of nature for our mental wellbeing.
 
Watch 👇
 
@mentalhealth https://t.co/IQXQjrXGDI"
1393221902781452288,2021-05-14 15:09:21,115,37,"#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK.

As of 14 May, 55,434,965 COVID-19 vaccine doses have been given in the UK.

Visit the @PHE_uk dashboard for more info:
▶️ https://t.co/cQkuLQxWqz https://t.co/gnuUGa5Ncu"
1393206968475598850,2021-05-14 14:10:00,23,20,"Testing is playing a vital role in keeping life moving for us all. 
 
Free #COVID19 tests are available for all adults in England. 
 
More info:
➡️ https://t.co/LOuwlJ9AZ4
 
Find out which test you should be using below 👇 https://t.co/vaHhZ37MG4"
1393183011856859137,2021-05-14 12:34:48,20,9,"Latest weekly figures for the reproduction number (R) and growth rate of coronavirus (#COVID19)

Statistics for England as of 14 May

▶️ R value range: 0.8 to 1.1

▶️ Growth rate range: -3% to 1%

More info:
▶️ https://t.co/oUhyX9iqT7"
1393166704746713092,2021-05-14 11:30:00,14,3,"The consultation on making Covid-19 vaccination a condition of deployment in older adult care homes closes on 21 May.

Have your say:
https://t.co/ym1jnD6a6L"
1393128954819719168,2021-05-14 09:00:00,40,16,"Many women struggle with heavy and painful periods, yet this can be overlooked by healthcare professionals. 

Help us shape the future for women’s health care so women's health and care needs are better met.

Click 👇🏼 to have your say"
1393117628693102592,2021-05-14 08:15:00,20,19,"Making plans for this weekend? 

Remember to stick to a group of six and meet outside. 

Let’s take this next step safely. 

More info: 
▶️ https://t.co/VdU3Lzcrhl https://t.co/X5pHMQFAQq"
1393106306018385926,2021-05-14 07:30:00,29,25,"We are deploying additional testing in an area where cases of the #COVID19 variant first identified in India have been found. 

Over 16s who live, work or study in Formby, Sefton should take a PCR test from today. 

More info: ➡️ https://t.co/blpREy4M3f 

@seftoncouncil https://t.co/5EIU3XDGaI"
1393098757730930688,2021-05-14 07:00:01,22,20,"#MentalHealthAwarenessWeek is a great time to discover ways to look after our mental health and wellbeing.

Take the #EveryMindMatters Mind Plan Quiz to get a free, personalised mental health action plan.

Get your Mind Plan today:
▶️ https://t.co/KikKtLCe2U https://t.co/mgFdjliYny"
1392947762996695043,2021-05-13 21:00:01,30,18,"The second dose of the #COVID19 vaccine helps to provide maximum protection.

Make sure you attend both appointments ✅✅

Find out more ▶️ https://t.co/PKVgX10aE3 https://t.co/gPaEG1Cswx"
1392936909618524165,2021-05-13 20:16:53,42,17,"We are deploying additional testing in an area where cases of the #COVID19 variant first identified in India have been found. 

Over 16s who live, work or study in Formby, Sefton should take a PCR test from tomorrow. 

More info: ➡️ https://t.co/blpRExNbbH 

@seftoncouncil https://t.co/xMUsEC4t3C"
1392910013035950085,2021-05-13 18:30:00,26,17,"The #COVID19 vaccines have been tested on a wide range of people during clinical trials.

Watch @Doctor_Emeka explain ⬇️

Find out more:
▶️️ https://t.co/yo1q7bL0RJ https://t.co/W7ysWNVCUm"
1392879815246553093,2021-05-13 16:30:01,22,14,"If getting 'back to normal' is causing worries, there are lots of ways to make this time easier. 

Visit the Every Mind Matters COVID-19 hub for simple tips and advice.

More info:
▶️ https://t.co/KikKtLkCEk

#MentalHealthAwarenessWeek https://t.co/CmHMO3o5dz"
1392864715592851468,2021-05-13 15:30:01,34,14,"""It's so important, as we vaccinate more and more people ... we make sure that that vaccination is accessible to all.""
 
Today, Health Secretary @MattHancock visited the pop-up #COVID19 vaccination centre in Brent Central Mosque.
 
Watch 👇 https://t.co/dG5zhcpn1P"
1392857906824065031,2021-05-13 15:02:57,87,24,"#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK.

As of 13 May, 54,797,640 COVID-19 vaccine doses have been given in the UK.

Visit the @PHE_uk dashboard for more info:
▶️ https://t.co/cQkuLQglz1 https://t.co/IYYDyDroZI"
1392842553595244550,2021-05-13 14:01:57,8,9,"Share your experiences of women’s health and care:

➡️ Fill in the survey
➡️ Share with friends and family
 
https://t.co/Wbpf1yqRB3"
1392842063029313545,2021-05-13 14:00:00,18,12,"Freya has struggled with her #mentalhealth and getting diagnosed for her conditions, to move forward with her life. 
 
Now she’s encouraging others to take action &amp; #TalkWomensHealth.
 
Watch her story: https://t.co/9iTlIpH6KV 
 
@freya22452262 @YWTrust #MentalHealthAwarenessWeek https://t.co/uB2d6yMwZc"
1392826561699713025,2021-05-13 12:58:24,7,8,"@sallypenni1 @C4Dispatches @Channel4News @WomenintheLawUK @CMBoggiano @WomenInCrimLaw @WomenBarristers @WomenLawyersDiv Please consider sharing your experiences of women’s health and care and help shape the first ever women's health strategy. 

➡️ Fill in the survey
➡️ Share with friends and family
 
Have your say today🔻
https://t.co/46Ucv9UOcq"
1392806935670444037,2021-05-13 11:40:25,146,107,"Did you watch @C4Dispatches last night on Sex, Myths &amp; the Menopause with @ThisisDavina &amp; have similar experiences you would like to share?

We've launched a call for evidence &amp; want to hear from women about their experiences of health + care 👇
https://t.co/YF3WsPB5XA

@Channel4 https://t.co/9GHoXxuOUX"
1392796767125606404,2021-05-13 11:00:00,39,26,"From 17 May, gatherings of up to 30 people outdoors will be allowed 🏞️

↔️ Please remember to keep your distance ↔️

Find out more ▶️ https://t.co/jZcQqL0t5K https://t.co/8uYamX4pMO"
1392789466474024962,2021-05-13 10:31:00,39,14,"NHS Test and Trace statistics [since launch]

➡️ 30.2 million individuals tested at least once

➡️ 10,146,934 people reached by NHS Test and Trace

➡️ 90% of identified close contacts who provided contact details reached

Read to find out more 👇"
1392769585494077440,2021-05-13 09:12:00,16,8,"Latest findings from one of the largest #COVID19 studies in England by @ImperialCollege and @IpsosMORI suggest:

▶️ infections have halved from the previous study in March
▶️ the vaccine rollout continues to have a positive impact but new variants are still a threat

More info 👇"
1392751466675412992,2021-05-13 08:00:00,36,20,"""Andy's Man Club was set up with the intention of giving guys a safe place to talk.""
 
If you are a male who is over 18 &amp; are struggling with your mental health, visit ▶️ https://t.co/ShRmvZgE0K
 
Listen to Andy &amp; Keiran's stories 👇
 
#MentalHealthAwarenessWeek | #ItsOkayToTalk https://t.co/1MtSqj7ujc"
1392736371522088960,2021-05-13 07:00:01,17,23,"From 17 May, more #COVID19 restrictions will be eased in England.

This includes:

▶️ indoor gatherings of six people or two households
▶️ new guidance on meeting friends &amp; family
▶️ outdoor gatherings of up to 30 people

More information: https://t.co/C1CJaEAiVi https://t.co/Tms97N7GtJ"
1392577822917496834,2021-05-12 20:30:00,48,11,"#EidMubarak

Groups of six people or two households can meet outdoors.

Remember to keep your distance. https://t.co/q00e32RvxO"
1392551397896380418,2021-05-12 18:45:00,43,27,"This year's #MentalHealthAwareness Week is all about connecting with nature. 

@DrAmirKhanGP explains the science behind how nature can help improve mental health &amp; how being outside in his garden helps to boost his mood. 

Watch 👇 

@DefraGovUK https://t.co/MB5RUF9UAd"
1392547623073030144,2021-05-12 18:30:00,108,32,"We are introducing calorie labelling in restaurants, cafes, &amp; takeaways to help people make healthier food choices.

From April 2022, food businesses in England with 250+ employees will be required to display calorie labelling on menus &amp; food labels.

▶️ https://t.co/TVa8KpxlxF https://t.co/UniI7kIU5u"
1392542589757235200,2021-05-12 18:10:00,25,9,"We are deploying additional testing in an area where cases of the #COVID19 variant first identified in South Africa have been found. 

Everyone in targeted areas of Redditch, Worcestershire should take a PCR test when invited. 

More info: 
➡️ https://t.co/FlaeeDbhZa

@worcscc https://t.co/Osdv6sAKDu"
1392532524308459520,2021-05-12 17:30:00,123,21,"We are introducing mandatory calorie labelling in restaurants, cafes, &amp; takeaways to help people make healthier food choices.

From April 2022, large food businesses in England with 250+ employees will be required to display calorie labelling on menus &amp; food labels.

More info 👇"
1392520617690378246,2021-05-12 16:42:41,117,10,"Congratulations to Deputy Chief Medical Officer Professor Jonathan Van-Tam who's been elected as a Fellow of the Academy of Medical Sciences.

He is one of 50 prominent biomedical &amp; health scientists elected for their exceptional contribution to the advancement of medical science https://t.co/hsTG9TrYAu"
1392517425783001088,2021-05-12 16:30:00,58,19,"“If you’re taking these regular tests &amp; you’re out and about and you’re meeting people, then the risk of you carrying the virus &amp; transmitting to others is reduced by more than half.”

@MattHancock &amp; @SMHopkins talk asymptomatic testing 👇

Get tested:
➡️ https://t.co/X94hm6A9tz https://t.co/7KqzxZt0Yh"
1392500762161340420,2021-05-12 15:23:47,108,30,"#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK.

As of 12 May, 54,160,993 COVID-19 vaccine doses have been given in the UK.

Visit the @PHE_uk dashboard for more info:
▶️ https://t.co/cQkuLQglz1 https://t.co/tqCMHSRpwN"
1392460473979781124,2021-05-12 12:43:42,26,22,"From 17 May, overnight stays with friends and family will be allowed for groups of six people or two households 🛌

Remember to open a window to let fresh air in.

Get more details ▶️ https://t.co/jZcQqKISec https://t.co/1cDVnqIzVH"
1392452435445231617,2021-05-12 12:11:45,1,0,"@thefatdoctoruk @CosmopolitanUK Help shape the future women's health strategy and have your voice heard. 

Share your views today 👇🏼 https://t.co/46Ucv9UOcq"
1392436046995116033,2021-05-12 11:06:38,78,35,"This International Nurses Day, @MattHancock thanks nurses in the UK and across the world for their service.

Watch 👇

#IND2021 | #NursesDay | @999Cenotaph | @NHSEngland https://t.co/zeBFGsBrt5"
1392404181135265796,2021-05-12 09:00:01,63,45,"Testing is playing a vital role in keeping life moving for us all. 
 
Free #COVID19 tests are available for all adults in England. 
 
More info:
➡️ https://t.co/mbQ5Fr0SJX
 
Click to view and find out which test you should be using 👇 https://t.co/PqueWVjcgk"
1392392853037404170,2021-05-12 08:15:00,15,10,"This #MentalHealthAwarenessWeek @NadineDorries discusses how the government is helping more people to spend time in green spaces through nature-based activities in their communities. 

Read more:
▶️https://t.co/UFGqKeQdgE"
1392381529716785156,2021-05-12 07:30:00,9,15,"Women who are considering getting pregnant can safely receive the #Covid19 vaccine.

If you have any concerns, speak to a healthcare professional before getting the jab.

Get more information:
▶️️ https://t.co/uRfg00XuaJ https://t.co/rRtIgnNi2A"
1392215434141724673,2021-05-11 20:30:00,71,27,"From 14 June, World Blood Donor Day, we're removing some of the outdated rules that have stopped gay men from donating blood.

As a country we need more donors than ever, so if you are eligible, please give blood.

@MattHancock explains more 👇🏻
https://t.co/4L5qjiODYr

@NHSBT"
1392192790344339456,2021-05-11 19:00:01,63,39,"""If you're suffering, if you're going through a storm, they're there for you.""
 
Andy and Keiran from @andysmanclubuk share their mental health stories and discuss how mountain biking has helped them to manage their issues.
 
Watch 👇
 
#MentalHealthAwarenessWeek | #ItsOkayToTalk"
1392170138263199744,2021-05-11 17:30:00,29,18,"Even if you've had the #COVID19 vaccination, you still need to follow the latest guidance to help stop the spread of the virus.

Watch @DrNighatArif explain 👇

More about the vaccine: ▶️ https://t.co/yo1q7c2BJh https://t.co/PkDWQfJtXw"
1392162853382144008,2021-05-11 17:01:04,149,35,"#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK.

As of 11 May, 53,675,733 COVID-19 vaccine doses have been given in the UK.

Visit the @PHE_uk dashboard for more info:
▶️ https://t.co/cQkuLQglz1 https://t.co/4mk5KEq3K0"
1392155037007241218,2021-05-11 16:30:00,15,15,"From 17 May, you will be able to take part in indoor adult group sports and exercise classes.

Where possible:
▶️ keep your distance from others
▶️ clean equipment after use

More information:
▶️ https://t.co/VdU3Lzcrhl https://t.co/Eh4ZKIybH8"
1392102189670227968,2021-05-11 13:00:00,22,18,"Feeling low, anxious or struggling to sleep? 

Make time for your mental wellbeing this #MentalHealthAwarenessWeek. 

Visit #EveryMindMatters to get a free, personalised mental health action plan with simple tips to get you started.

More info:
▶️ https://t.co/KikKtLCe2U"
1392087096584593411,2021-05-11 12:00:02,15,18,"From 17 May, indoor hospitality venues such as pubs and restaurants can open for groups of up to six people or two households 🍽️ ☕  

Those serving alcohol must provide table service.

Find out more ▶️ https://t.co/jZcQqL0t5K https://t.co/z7gKdtRhe4"
1392049341372657669,2021-05-11 09:30:00,24,20,"Since the age of 10, Atima has suffered from endometriosis and says she was misdiagnosed on it for 30 years.
 
She's calling on other women to #TalkWomensHealth and help make a real change to the care women receive. 

Share your experiences 👇🏼
https://t.co/Wbpf1yIssB https://t.co/uJsxkPBwvO"
1392030465498943488,2021-05-11 08:15:00,24,25,"Regular, rapid #COVID19 testing is key to helping us get back to a more normal way of life. 

Free tests are available for all adults with no symptoms in England.

Visit ➡️ https://t.co/X94hm6A9tz 

Swipe right to learn more 👉"
1392019140353867776,2021-05-11 07:30:00,44,38,"Groups of up to six people or two households can meet indoors from 17 May 🏠

Remember to open a window to let fresh air in.

Find out more ▶️ https://t.co/jZcQqKISec https://t.co/HeKarhdBUP"
1391853047429558272,2021-05-10 20:30:00,30,21,"What is in the #COVID19 vaccine and how does it work?

Watch below to find out more 👇

Choose from a range of languages to watch the video in full:
▶️ https://t.co/S4rMbDfjoQ https://t.co/ORQoEBrZdN"
1391830398313799682,2021-05-10 19:00:00,92,81,"From 17 May, more #COVID19 restrictions will be eased in England.

This includes:

▶️ indoor gatherings of six people or two households
▶️ new guidance on meeting friends &amp; family
▶️ outdoor gatherings of up to 30 people

More information: https://t.co/C1CJaEiHwI https://t.co/mcaR6kKJVM"
1391820161439707147,2021-05-10 18:19:19,31,19,"We are announcing further easing of #Covid19 restrictions for care home residents. 
 
From 17 May, residents will be able to:

▶️ increase the number of named visitors from 2 to 5 
▶️ go on more out of home visits without self-isolating on return
 
Read: 
https://t.co/Ppiu7Ci6tg"
1391819072376037383,2021-05-10 18:15:00,36,24,"Women who are breastfeeding can have the #COVID19 vaccination when it is offered to them 🤱

If you have any concerns, speak to a healthcare professional before getting the jab.

Get more information: https://t.co/uRfg01f5zj https://t.co/LsMNGHBtmu"
1391781772476702721,2021-05-10 15:46:47,20,13,"We are deploying additional testing in an area where cases of the #COVID19 variant first identified in South Africa have been found.

Over 16s who live and work in a targeted area of W11, North Kensington will be offered a PCR test.

More info ➡️ https://t.co/5N3YtaPifl

@RBKC https://t.co/SoBu7uZoH4"
1391773446149976071,2021-05-10 15:13:42,167,35,"#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK.

As of 10 May, 53,328,845 COVID-19 vaccine doses have been given in the UK.

Visit the @PHE_uk dashboard for more info:
▶️ https://t.co/cQkuLQglz1 https://t.co/7bXvkJThix"
1391740052103831562,2021-05-10 13:01:00,169,68,"The UK #COVID19 alert level will move from level 4 to level 3.

This means case numbers, deaths and Covid hospital pressures have fallen consistently but the virus is still circulating so we must continue to be vigilant.

See statement from the four UK Chief Medical Officers 👇"
1391709607966384129,2021-05-10 11:00:01,39,25,"""For long-lasting protection a second vaccination is needed.""

Watch GP @Dr_Ellie explain why the second dose of the #COVID19 vaccine is so important 👇

Find out more ▶️ https://t.co/PKVgX1hLvB https://t.co/tBxnwxYGgV"
1391684106979774464,2021-05-10 09:18:42,10,12,"Take action and have your voice heard.
 
➡️Fill in the survey
➡️Share with friends and family
➡️Help shape the government’s women’s health strategy
 
https://t.co/Wbpf1yqRB3 
 
#TalkWomensHealth"
1391679403852288000,2021-05-10 09:00:00,89,81,"#MentalHealthAwarenessWeek starts today.

Visit #EveryMindMatters to get a free, personalised mental health action plan with practical tips to help boost your mood.

Learn more:
▶️ https://t.co/KikKtLCe2U"
1391668077390045184,2021-05-10 08:15:00,35,15,"Roxanne has cerebral palsy and had difficulty getting a smear test. She encourages other women to make their voices heard in shaping women’s health and care.
 
Watch Roxanne’s story in full: https://t.co/omOiL1UB8t
 
#TalkWomensHealth @YWTrust @CR_UK https://t.co/lVJdx83Y1I"
1391656753302065153,2021-05-10 07:30:00,433,187,"Today marks the start of #MentalHealthAwareness Week. 

This year's theme is all about connecting with nature. 

@DrAmirKhanGP explains the science behind how nature can help improve mental health &amp; how being outside in his garden helps to boost his mood. 

Watch 👇 

@DefraGovUK https://t.co/mH0k64HeF3"
1391490658112884743,2021-05-09 20:30:00,41,23,"#ICYMI: The JCVI has advised it is preferable for people under 40 with no underlying health conditions to be offered an alternative to the Oxford/AstraZeneca #COVID19 vaccine where possible.
 
Read more on the latest update: https://t.co/h3w8XVxV5Z"
1391475558706524161,2021-05-09 19:30:00,46,33,"""This survey is a great opportunity for us to empower each other to have a voice and a say.""

Women and girls deserve better options and access to sexual and reproductive health
 
#TalkWomensHealth and share your views today

https://t.co/Wbpf1yqRB3
 
@SoSowemimo @DecoloniseContr https://t.co/hApFoxof0v"
1391460459757330433,2021-05-09 18:30:00,85,34,"""It works well and it provides protection both to ourselves and the people around us.""

Professor Wei Shen Lim from the JCVI encourages people to get the #COVID19 vaccination following the latest update for those under 40 ⬇️

Read more: https://t.co/4byvlfyIEK https://t.co/dCnBUx6HM2"
1391445360187363331,2021-05-09 17:30:00,22,12,"Twice weekly #COVID19 testing is available for all adults in England without symptoms.

Tests are:
✔️ free
✔️ easy to do
✔️ quick – results in up to 30 minutes 

See how community testing is working in @Derbyshirecc👇

Get a test ➡️ https://t.co/LOuwlJrbQC https://t.co/VoylqDyAvt"
1391411425843744768,2021-05-09 15:15:09,156,39,"#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK.

As of 9 May, 53,041,048 COVID-19 vaccine doses have been given in the UK.

Visit the @PHE_uk dashboard for more info:
▶️https://t.co/cQkuLQglz1 https://t.co/vvQAwjsBGv"
