id,created_at,favorite_count,retweet_count,text
1395658211777257473,2021-05-21 08:30:22,0,0,"On Tuesday 25th May, listen in to the latest research at Genomics England's next #ResearchSeminar in the 2021 series.

These seminars are on the final Tuesday of each month and are free to attend. Register here: https://t.co/4uJZ3EqpWx https://t.co/z8jZC6C01q"
1395394397320187905,2021-05-20 15:02:04,9,5,"Clinical trials such as the #COVID19 @GenomiccStudy are a vital part of the fight against #COVID. 

Thank you to all #NHS patients and staff who have taken part so far. 

Find out more about our latest study here: https://t.co/23MPnHx6af

#ClinicalTrialsDay
#genomicresearch https://t.co/KXWPLx1DMF"
1395364154085683203,2021-05-20 13:01:53,4,0,"Clinical trials such as the #COVID19 @GenomiccStudy are a vital part of the fight against #COVID. Thank you to all #NHS patients and staff who have taken part so far. 

Find out more about the study and sign up here: https://t.co/23MPnHx6af

#ClinicalTrialsDay #genomicresearch https://t.co/db9GGktEcF"
1395303522145538048,2021-05-20 09:00:57,105,131,"Can you help us find the last 600 people we need for our COVID-19 study? Thousands of people have already volunteered, we now need just 600 more. Is that you or someone you know?

Find out more and sign up: https://t.co/23MPnHx6af 

#covid19study #coronavirus #covidpuzzle https://t.co/xydzP3Tm55"
1394971521278484486,2021-05-19 11:01:42,4,5,"This week on The G Word #sciencepodcast, our CEO @chris_wigley is joined by Professor Pali Hungin, lead at the @THECFOM, to discuss #genomics, #AI and technological advancements in #healthcare.  

https://t.co/moE81nzVnu"
1394234412854915074,2021-05-17 10:12:42,4,6,"Join the national conversation about #Genomics – check out our #sciencepodcast ‘The G Word’, where our CEO @chris_wigley listens to stories from #patients, #researchers, #policymakers, community &amp; faith leaders &amp; more. New episodes released weekly. 
 
https://t.co/nRNRZsPMQT"
1394208660050612232,2021-05-17 08:30:22,6,2,"As part of @MattHancock’s vision for the future of #healthcare, #genomicsequencing will be used as a routine part of everyday #diagnosis and treatment. This will bring benefits to patients by giving doctors the tools to make better clinical decisions. @DHSCgovuk https://t.co/8S5VHtAp0C"
1393483849519308803,2021-05-15 08:30:14,5,2,"If you haven’t already, listen to @JohnJamesOBE and @chris_wigley discuss how to understand and address #inequalities in #healthcare on The G Word #sciencepodcast. 

https://t.co/J4n8MExO2D"
1393121486274187266,2021-05-14 08:30:19,4,3,"On 27th May, tune in to the @awscloud #Healthcare &amp; #LifeSciences Virtual Symposium, where our Chief Information Officer, Pete Sinden, will be speaking on 'Democratising access to population #genomics #data through AWS Cloud'.

Register here: https://t.co/Zr1tjGdZAG https://t.co/VPQFAR2iw5"
1392766792544698370,2021-05-13 09:00:54,1,2,"On The G Word #sciencepodcast, @andyroddam talks to @chris_wigley from Our Future Health about #healthdata, interventional #research, personalised treatment and the importance of predictive prevention. 

https://t.co/czaKVB1sYL"
