id,created_at,favorite_count,retweet_count,text
1395628001354780673,2021-05-21 06:30:19,0,1,"If you've ever experienced #anxiety, exercise can be a great way to calm down your hormones. Next time you're feeling anxious, try going for a walk outside, or if you don't want to leave the house, here are some exercises that you can do from home: https://t.co/C5zJzyM7zr https://t.co/f8gYfkRTNq"
1395454397468057601,2021-05-20 19:00:29,0,0,"@ListerFertility is delighted to announce that it is expanding with the launch of 2 new fertility outpatient clinics, Lister Fertility Clinic at the Beaconsfield Clinic in Buckinghamshire and Lister Fertility Clinic at @ThePortlandHosp in London: https://t.co/YH1vrHLDbu https://t.co/rmnIp30dFU"
1395425064384872448,2021-05-20 17:03:55,0,0,"Today it's #InternationalClinicalTrialsDay! Anita Sexton, Head of Drug Development at @SarahCannon_UK says ""We are so proud of our clinical research team and the way they rise up every day to find new hope for people affected by cancer. Thank you, for all your dedication."" https://t.co/BQvj5w3Ut1"
1395307861983600641,2021-05-20 09:18:12,0,0,"""For certain types of skin cancer, Mohs surgery is considered the gold standard as tumour cells can be precisely identified &amp; removed to achieve very high cure rates.""  Dr Raj Mallipeddi, Consultant Dermatologist &amp; Surgeon at @ListerChelsea 
Mohs surgery: https://t.co/mYQ96Wn0kO https://t.co/ilVbGLNNXf"
1394962321521451008,2021-05-19 10:25:09,0,1,"This #NationalWalkingMonth, we want to raise awareness of some conditions, such as hip impingement, which can cause walking to become painful. 

If you are experiencing any pain while walking, please book an appointment with one of our experts: https://t.co/DUIbyNASPn https://t.co/D5Z9uOGkEh"
1394721978901225480,2021-05-18 18:30:07,1,0,"What causes diarrhoea and when can it become dangerous?

Dr Philip Woodland, Consultant Gastroenterologist at London Digestive Health, part of HCA Healthcare UK, takes us through the various causes of diarrhoea and advises on what to look out: https://t.co/uf9l8fl1rw https://t.co/54LIbJwS3k"
1394681962699362305,2021-05-18 15:51:06,5,0,We're thrilled to announce that we have been shortlisted for @HealthInvestor Private Hospital Group of the Year award and Public and Private Partnership of the Year award. We’re so proud of the work our teams have achieved this year and look forward to the ceremony in September. https://t.co/cPKjDM04Tb
1393861339425251331,2021-05-16 09:30:14,0,0,"Did you know there are two main types of skin cancer, melanoma and non-melanoma? You can learn more about the different types, their signs and symptoms and ways to prevent these cancers on our skin cancer awareness hub here: https://t.co/s4KckmRsRP 

#SkinCancerAwarenessMonth https://t.co/VZTcXnDewA"
1393498953581215746,2021-05-15 09:30:15,0,0,"Building on a background of over 30 years’ experience, Roodlane Medical, part of HCA Healthcare UK, are leaders in private GP, health screening, occupational health, and other associated primary care services. Follow Roodlane Medical here: https://t.co/eeM6XwbhN5 https://t.co/jSEAjp8i2E"
1393151688698126336,2021-05-14 10:30:20,4,2,"It’s Operating Department Practitioners' (ODP) Day today. Join us in saying a huge thank you to all of our ODPs for everything you do – and for caring for our patients, and your colleagues, like family. https://t.co/v21CXK57wh"
1393091450171269122,2021-05-14 06:30:58,3,0,"This #MentalHealthAwarenessWeek, we thought we’d share some thoughts from Clinical Psychologist Simon Brittz, from Roodlane Medical, on how important it is to remain connected to nature, even as we begin to go back to our pre-COVID-19 way of life. https://t.co/gxmurkcRUl"
1392910084402032654,2021-05-13 18:30:17,2,0,"""What I went into thinking might be a review of an interesting treatment, has actually ended up testing how I viewed fertility and ‘women’s health’ overall.""

Read Jessica's story on how she tested her fertility at @ListerFertility: https://t.co/UMPoIgU6sL"
1392828156940374022,2021-05-13 13:04:44,5,3,"If you’re struggling with COVID-19 after-effects, it’s important to not dismiss these symptoms and see a specialist.  

To book a consultation with a specialist in Post-COVID-19 Recovery, please call:  

@harleystclinic - 020 3733 5216 
@WellingtonHosp - 020 8131 0297 https://t.co/nEj1mFGW6e"
1392431123297443850,2021-05-12 10:47:04,15,7,"This #InternationalNursesDay, please join us in thanking all of our nurses for everything that they do every day 💙 https://t.co/2lVaaKI1gh"
1392004133020897282,2021-05-11 06:30:22,2,1,"📱 TODAY: Instagram Live - Ask Dr Sharon Wong, Consultant Dermatologist at HCA at The Shard, any questions you have about your skin or hair health. 

Join us live on Instagram at 18:30 (UK time): https://t.co/E6Fo8b6MgX

#SkinCancerAwarenessMonth https://t.co/rP81UYn8Pg"
1391641800515936258,2021-05-10 06:30:35,7,2,"This #MentalHealthAwarenessWeek, the theme is nature. Research from on the mental health impacts of the pandemic showed going for walks outside was one of our top coping strategies &amp; 45% of us reported being in green spaces had been vital for our mental health.#ConnectWithNature https://t.co/NcQqSRkBMt"
1391369910136213505,2021-05-09 12:30:11,2,0,"""The first time I realised I needed help with my own menopause was when I found myself with my head in my hands in between seeing patients, one cold Monday morning.""

An open letter to menopausal women from Dr Abi Berger, GP at HCA Healthcare UK: https://t.co/upqXisfnA6 https://t.co/Oh9yj4GQ56"
1390947158128537602,2021-05-08 08:30:19,0,0,"📱 Instagram Live: On the 11th May at 18:30 (UK time), you'll have the opportunity to ask Dr Sharon Wong, Consultant Dermatologist at HCA at The Shard, any questions you have about your skin or hair health. 
Find us on Instagram: https://t.co/b0K7YpkAUo

#SkinCancerAwarenessMonth https://t.co/CwxASRMOr5"
1390605672685920256,2021-05-07 09:53:23,1,0,"When Elida began planning the birth of her first child, she was keen to have a waterbirth. At @ThePortlandHosp, Elida felt reassured that her birth would be personalised, and the midwives made sure a birthing pool would be readily available.
Elida's story: https://t.co/Apjl63Awxj https://t.co/C1mIBrNNnX"
1390580366625419264,2021-05-07 08:12:49,0,0,"May is #SkinCancerAwarenessMonth - how much do you know about sun safety and skin cancer?

Dr Robert Sarkany, Consultant Dermatologist at 
@ListerChelsea shares his advice on how you can stay safe in the sun as well as signs of #skincancer: https://t.co/IV2FNJbmwb https://t.co/0gfK7evXij"
1389990561596252162,2021-05-05 17:09:09,5,4,"Today is an opportunity for all of us to recognise the wonderful work of midwives. Our midwives at @ThePortlandHosp deliver exceptional care to the families we support, driven by their high empathy, clinical care and professionalism. 

#InternationalDayOfTheMidwife https://t.co/Cb1ga3WbCd"
1389880898938671105,2021-05-05 09:53:23,3,2,"Seconds save lives - please wash your hands with soap for at least 20 secs &amp; use antibacterial gel when possible. 

Washing your hands properly removes dirt, viruses &amp; bacteria to stop them spreading to other people and objects, which can spread illnesses.

#WorldHandHygieneDay https://t.co/NBVooOJtux"
1389538517953490944,2021-05-04 11:12:53,0,0,"Fiona Macdonald, a patient who received treatment at The Christie Private Care, part of HCA Healthcare UK, explains why she wanted to become a member of our cancer patient user group and how it benefits patients coming to HCA Healthcare UK for treatment: https://t.co/4x7Kzn8SwA https://t.co/CYgqNeGOjV"
1389105053269729280,2021-05-03 06:30:27,3,1,"#MindfulnessMonday: May is National Walking Month and now that the evenings are lighter for longer, this makes it the perfect time to get outside, and get walking. A brisk walk every day is an easy way to improve your health.

#WalkThisMay #NationalWalkingMonth https://t.co/lXoKDMnES3"
1388923763752947719,2021-05-02 18:30:04,3,1,"We read every single one of your feedback forms and take action when something needs changing. If you've ever stayed with us, we'd love to hear how your treatment went. You can leave reviews on Google, Facebook or through a form at the hospital. https://t.co/13gahh07uC"
1388478378248921090,2021-05-01 13:00:16,2,1,"“Not many people have even heard of the thymus gland - and since my diagnosis I have found out how rare this cancer is. Whilst the cancer was small, it was still worrying to receive the diagnosis.”

Nick has his surgery at @LondnBridgeHosp, read his story: https://t.co/Yj2uysRdpm https://t.co/AVk9iJjYxu"
