id,created_at,favorite_count,retweet_count,text
1395346239823220736,2021-05-20 11:50:42,13,4,"MPs are now taking part in a general debate on: Restoration and renewal of the Palace of Westminster.

Watch now: https://t.co/Z4miUwswLp https://t.co/EeTiLpZoB3"
1395328794358075393,2021-05-20 10:41:23,17,12,"🔴Secretary of State for Transport @grantshapps is making a statement on: Future of Britain’s Railways.

Watch live ⬇️ https://t.co/QdMXaLkiSV"
1395313716938383360,2021-05-20 09:41:28,13,3,"We’ll be live streaming the statement from @grantshapps: Future of Britain’s Railways.

The statement will follow Business Questions at approx 11:30am. 

You can also watch live on Parliament TV: https://t.co/gbctBOt3W1"
1395306305049530377,2021-05-20 09:12:01,10,8,"MPs are now putting questions to the @attorneygeneral.

Watch today's proceedings: https://t.co/xDm1duxhl2 https://t.co/tOaXRQrt2Z"
1395297107314085890,2021-05-20 08:35:28,16,8,"MP for Workington, @markjenkinsonmp has been drawn in first place in the ballot for Private Members Bills.

See our news story for a full list of the 20 backbench MPs who can be first to introduce a bill on a subject of their choice this session. https://t.co/SiDXLzsFBY"
1395297057338953732,2021-05-20 08:35:16,7,3,"The House is now sitting, starting with questions to @DCMS ministers.

Watch today's proceedings: https://t.co/CCU1bAyWVb https://t.co/lWi2WVsmh9"
1395290579282632706,2021-05-20 08:09:32,5,6,"Find out what’s on in the House of Commons today in the #OrderPaper: https://t.co/sJDhynMDhn

Also confirmed: 

• Statement from @grantshapps: Future of Britain’s Railways 

Follow the Chamber in real time: https://t.co/HEBiZuz0lv https://t.co/XkiRTh1fcP"
1395045786623356932,2021-05-19 15:56:48,12,5,"Earlier today, @AnumQaisarJaved made her maiden speech during the final day of debate on the Queen’s Speech. 

Watch here: https://t.co/qtu4l89wWw https://t.co/sjReQtxsw0"
1395042058612756482,2021-05-19 15:42:00,15,7,"Missed today's PMQs? Catch up here:

🔊 Listen on SoundCloud: https://t.co/61h1sIv7kn
📗 Read in #Hansard: https://t.co/QZvj7mfQly
🎞Watch on Parliament TV in British Sign Language: https://t.co/TbGGL0485L
🎥Watch on YouTube: https://t.co/10SzQFqmuw

#PMQs https://t.co/QdrQev9R8U"
1395038526446751745,2021-05-19 15:27:57,35,12,"Tomorrow morning there will be a draw to give backbench MPs a chance to change the law on a subject of their choice. 

We asked Adam, Clerk of Private Members' Bills, to explain why the Ballot for Private Members' Bills is important to MPs ⬇️ https://t.co/oXwbn690jV"
1395012895721861125,2021-05-19 13:46:07,11,5,"MPs are now continuing the debate on the Queen's Speech, focusing on the proposed subject of: ""A plan for the NHS and social care.""

Watch now: https://t.co/P5cYVKmwl7 https://t.co/U8tQKv0RnQ"
1395002894609432578,2021-05-19 13:06:22,10,3,"Earlier today, @WayneDavid_MP asked an urgent question.

Watch here: https://t.co/mRAsJUgBcO https://t.co/skuQnOknO0"
1394997143543459845,2021-05-19 12:43:31,11,5,"🔴 @scullyp is making a statement: Post Office update.

Watch live ⬇️ https://t.co/O2vvOXuskT"
1394971379313876994,2021-05-19 11:01:08,48,22,"🔴 Watch Prime Minister's Questions live. 

#BSL #PMQs

⬇️ https://t.co/AwLukY0Ld2"
1394966829479641088,2021-05-19 10:43:04,14,5,"We’ll be live streaming PMQs from 12 midday.

We'll also be live streaming today's statement from @scullyp: Post Office update.

You can also watch live on Parliament TV: https://t.co/5t8KNtMrWW

#PMQs"
1394965237518983170,2021-05-19 10:36:44,8,4,"The House is now sitting, starting with questions to @UKGovWales ministers.

Watch today's proceedings: https://t.co/cLasw4Uo8I https://t.co/YLm5FRHjwf"
1394955684442161154,2021-05-19 09:58:46,8,5,"Also confirmed:

• Statement from @scullyp: Post Office update.

Follow the Chamber in real time: https://t.co/HEBiZuz0lv

[3/3]"
1394955682651287559,2021-05-19 09:58:46,7,3,"Also confirmed: 

• Urgent question from @WayneDavid_MP: ""To ask the Secretary of State for Foreign, Commonwealth and Development Affairs if he will make a statement on the UK Government’s efforts to secure a ceasefire in Israel and Gaza.""

[2/3]"
1394955679518056451,2021-05-19 09:58:45,8,6,"Find out what’s on in the House of Commons today in the #OrderPaper: https://t.co/4aQ6niZVVr

MPs will continue the debate on the Queen's Speech, focusing on the proposed subject of: ""A plan for the NHS and social care.""

[1/3] https://t.co/SXain3Kfgh"
1394642951087796224,2021-05-18 13:16:05,14,11,"MPs are now continuing the debate on the Queen's Speech, focusing on the proposed subject of: ""Affordable and safe housing for all.""

Watch now: https://t.co/9axUwLqI0D https://t.co/DkdZOYAhqt"
1394634396012003331,2021-05-18 12:42:05,21,6,"Earlier today, @AngelaRayner asked an urgent question.

Watch here: https://t.co/CdyFLmeAkd https://t.co/Ti0ZgnU8Jw"
1394628793793490946,2021-05-18 12:19:50,7,5,"🔴 Secretary of State for Business, Energy and Industrial Strategy, @KwasiKwarteng is making a statement on the Ten Point Plan – six months on.

Watch live ⬇️ https://t.co/vARXGuvqL7"
1394607407838470149,2021-05-18 10:54:51,8,2,"We’ll be live streaming the statement from @KwasiKwarteng on the Ten Point Plan – six months on.

The statement will follow @MoJGovUK Questions at approx 1.20pm. 

You can also watch live on Parliament TV: https://t.co/BdEIdDSTgj"
1394602426326519814,2021-05-18 10:35:03,9,2,"The House is now sitting, starting with questions to @MoJGovUK ministers.

Watch today's proceedings: https://t.co/fBIdpR1w5J https://t.co/BtkCQRUfYe"
1394591507135537159,2021-05-18 09:51:40,7,3,"Also confirmed: 
• Statement from @KwasiKwarteng on the Ten Point Plan – six months on."
1394591455730089984,2021-05-18 09:51:27,18,6,"Also confirmed: 

• Urgent question from @AngelaRayner ""To ask the Minister for the Cabinet Office if he will make a statement on enforcement of the Ministerial Code and the publication of the register of Ministers’ interests."""
1394591119338577922,2021-05-18 09:50:07,16,7,"Find out what’s on in the House of Commons today in the #OrderPaper: https://t.co/1tW6hiaqBv

MPs will continue the debate on the Queen's Speech, focusing on the proposed subject of: ""Affordable and safe housing for all.

Follow the Chamber in real time: https://t.co/HEBiZuz0lv https://t.co/iwdx2xoy3e"
1394339215773683714,2021-05-17 17:09:09,12,6,"MPs are now continuing the debate on the Queen's Speech, focusing on the proposed subject of ""safe streets for all.""

Watch now: https://t.co/R1iI6X9nQM https://t.co/fUFwMAPMgo"
1394322699032403968,2021-05-17 16:03:31,14,2,"New MP for Airdrie and Shotts, @AnumQaisarJaved, swore in today by taking an oath of allegiance to the Crown. Watch here: https://t.co/KMgJETQH1W or find out more: https://t.co/i2EQcFG9zP. https://t.co/nf0UwBbklF"
1394313825244045312,2021-05-17 15:28:15,17,12,"🔴 Secretary of State for Health and Social Care @MattHancock is giving an update on Covid-19.

Watch live ⬇️ https://t.co/Yb7ZulrOhD"
1394307066387369989,2021-05-17 15:01:24,8,5,"Earlier today, @halfon4harlowMP asked an urgent question.

Watch here: https://t.co/HNp0S3P23K https://t.co/6JZFBbN27I"
1394290846833446913,2021-05-17 13:56:57,14,12,"We’ll be live streaming the statement from @MattHancock giving an update on a Covid-19.

The statement will follow an urgent question at approx 4.10 pm. 

You can also watch live on Parliament TV: https://t.co/r4PLbHRqnE"
1394285133457395712,2021-05-17 13:34:15,9,3,"The House is now sitting, starting with questions to @DWP ministers.

Watch today's proceedings: https://t.co/r4PLbHRqnE https://t.co/BVQW3haorU"
1394260250363113473,2021-05-17 11:55:22,20,6,"Wondering which ministers are answering questions, what's being debated or which Bills are coming up this week? 

We'll get you up to speed on what's happening in the House of Commons. 

Read more: https://t.co/IW2Ni6vYB9"
1394259566230216713,2021-05-17 11:52:39,14,5,"Also confirmed: 

• Urgent question from @halfon4harlowMP
""To ask the Secretary of State for the Home Department if she will make a statement on recent Antisemitic attacks across the UK.""
• Statement from @MattHancock on a Covid-19 update.

[2/2]"
1394259061441445893,2021-05-17 11:50:38,12,6,"Find out what’s on in the House of Commons today in the #OrderPaper: https://t.co/23OpxCBILO

MPs will continue the debate on the Queen's Speech, focusing on the proposed subject of ""safe streets for all.""

Follow the Chamber in real time: https://t.co/HEBiZuz0lv

[1/2] https://t.co/acr81itMQK"
1393216306690891779,2021-05-14 14:47:06,11,6,"The ballot for Private Members' Bills will be held next Thursday, 20th May. Read more here: https://t.co/LYybqy6fT3 https://t.co/6JSk1LCw81"
1393189353044725760,2021-05-14 13:00:00,13,2,"Coming up in the Commons next week:

- PMQs
- Continuation of the Queen's Speech debate

Find out what else is on in the Commons next week: https://t.co/IW2Ni6vYB9"
1393182462746955776,2021-05-14 12:32:37,77,26,"There are 15 different holy books that Members can swear their oaths on. 

Swearing in is the process of making an oath - or a solemn affirmation - of allegiance to the Crown. Members of both the Commons and the Lords are required to swear in before they can take their seats. https://t.co/HD7bCCoPKm"
1393177071967481858,2021-05-14 12:11:12,13,5,".@AnumQaisarJaved of @theSNP has been elected as the new Member of Parliament for Airdrie and Shotts following yesterday's by-election. 

Read more: https://t.co/0Mxco8G4Zz
https://t.co/0Mxco8G4Zz"
1392790884073328641,2021-05-13 10:36:38,13,5,"MPs are now continuing the debate on the Queen's Speech, focusing on the proposed subject of:  ""A brighter future for the next generation.""

Watch now: https://t.co/4wtShpz3Zf https://t.co/Dcmy0yE7XX"
1392775529976287232,2021-05-13 09:35:37,8,3,"🔴  Secretary of State for Northern Ireland @BrandonLewis is now giving statement on the findings of the Ballymurphy Inquest.

Watch live ⬇️ https://t.co/1csm0C6LTQ"
1392765061459021824,2021-05-13 08:54:01,13,5,"We’ll be live streaming the statement from Secretary of State for Northern Ireland @BrandonLewis on the findings of the Ballymurphy Inquest.

The statement is expected to start at approx 10:30am. 

You can also watch live on Parliament TV: https://t.co/kACdTkK1bm"
1392757468153974790,2021-05-13 08:23:51,4,0,"Also confirmed: 

• Statement from Secretary of State for Northern Ireland @BrandonLewis on findings of the Ballymurphy Inquest.

Follow the Chamber in real time: https://t.co/HEBiZuz0lv

[2/2]"
1392757126536343555,2021-05-13 08:22:29,11,5,"Find out what’s on in the House of Commons today in the #OrderPaper: https://t.co/OPjhAUlYFf

MPs will continue the debate on the Queen's Speech, focusing on the proposed subject of  ""a brighter future for the next generation."" 

[1/2] https://t.co/9j21jftldr"
1392498122090323969,2021-05-12 15:13:18,87,26,"Earlier today, the Prime Minister @BorisJohnson made a statement giving an update on Covid-19.

Our photographer was in the Commons Chamber to capture images. https://t.co/jubrrfqi3K"
1392465271810629635,2021-05-12 13:02:46,11,3,"MPs are now continuing the debate on the Queen's Speech, focusing on better jobs and a fair deal at work.

Watch now: https://t.co/CCKQH26mJm https://t.co/vaX5PkpEgl"
1392447416624979972,2021-05-12 11:51:49,61,22,"Earlier today, @LaylaMoran asked an urgent question.

Watch here: https://t.co/JqUHO8TJpq https://t.co/fxM0HheDxd"
1392441560789307396,2021-05-12 11:28:33,14,12,"🔴  Prime Minister @BorisJohnson is now giving an update on Covid-19.

Watch live ⬇️ https://t.co/BxakEgRB7T"
1392437118451036160,2021-05-12 11:10:53,21,15,"We’ll be live streaming the statement from Prime Minister @BorisJohnson on a Covid-19 update.

The statement will follow today's urgent question at approx 12.20pm. 

You can also watch live on Parliament TV: https://t.co/IvaP75SU9u"
1392426197099982850,2021-05-12 10:27:30,7,3,"Also confirmed: 

• Statement from Prime Minister @BorisJohnson on a Covid-19 update.

Follow the Chamber in real time: https://t.co/HEBiZuz0lv

[3/3]"
1392426035128508417,2021-05-12 10:26:51,10,4,"Also confirmed: 

• Urgent question from @LaylaMoran ""To ask the Secretary of State for Foreign, Commonwealth and Development Affairs, if he will make a statement on the violence in Israel and Palestine.""

[2/3]"
1392425908607324161,2021-05-12 10:26:21,13,6,"Find out what’s on in the House of Commons today in the #OrderPaper: https://t.co/ZiQtpzJtOR

MPs will continue the debate on the Queen's Speech, focusing on better jobs and a fair deal at work.

[1/3] https://t.co/XzbtCFlpIP"
1392168799386972162,2021-05-11 17:24:41,42,11,"Today, following the #StateOpening, MPs began debating the Government's proposals outlined in the #QueensSpeech. 

Image credit: UK Parliament/Jessica Taylor https://t.co/yM67QZVd7e"
1392146187491418114,2021-05-11 15:54:50,95,25,"Today the #StateOpening marked the start of the parliamentary year and the #QueensSpeech set out the Government's agenda for the next Parliamentary session. 

Image credit: UK Parliament/Jessica Taylor https://t.co/5TWhYO3yln"
1392115780616179717,2021-05-11 13:54:01,17,5,"MPs are now debating the contents of the Queen’s speech in the Commons Chamber.

Watch now: https://t.co/0yKkDyENt8 https://t.co/rZJnMaBrwD"
