id,created_at,favorite_count,retweet_count,text
1395680442376990721,2021-05-21 09:58:42,6,2,"THANKS: 50k passengers have now travelled through UK managed quarantine (red-list hotels).

Huge thanks to officials, ports, hotels, drivers, security firms, data specialists, airlines and very many delivery partners who have made this colossal national undertaking possible. 🙏"
1395660015135084545,2021-05-21 08:37:32,2,0,"@dlknowles In many areas, we’ve made decades of progress in a few months. Tele-medicine!"
1395642460412522505,2021-05-21 07:27:47,54,21,"BREAKING NEWS: This is a hugely important development in our pandemic preparedness toolkit. It’ll transform the effectiveness of our response to global pandemics. 

Chapeau to @10DowningStreet @DrTedros @wellcometrust @JeremyFarrar. 

https://t.co/CmMOEcbSB4"
1395619609357737987,2021-05-21 05:56:58,24,7,This is a powerful advert from @DHSCgovuk. Please listen to the advice. https://t.co/TJdTtp7afP
1395403692619272194,2021-05-20 15:39:00,7,1,@ESHT_Pathology Stickers? I am a bit surprised. I just wonder if modern technology might provide more reliable ways for managing your data flows?
1395400865662525441,2021-05-20 15:27:46,14,6,! agree! 👇💥 https://t.co/GGOr0xyvdw
1395370328340246530,2021-05-20 13:26:25,0,0,"@Marianfknight taught me important lessons. 

Women’s bodies are not weaker. 
Women’s bodies are not more complicated. 
Women’s health just hasn’t been studied enough
And we do not talk about what we know. 

We need to commit to more equal clinical trials. #clinicaltrialsday https://t.co/knD8j0FsCK"
1395342072312471553,2021-05-20 11:34:08,2,0,@Wonton2785 @djohnsonmsp Agreed! Let's do it!
1395324848289746945,2021-05-20 10:25:42,20,1,"The app is terrific. ❤️🙏

https://t.co/UnGedtWAPc https://t.co/4zhtQNOjU3"
1395322297687367681,2021-05-20 10:15:34,5,0,CALLING GENOME-ERATI: this is going to be great! 🚀 https://t.co/bH5pdDJU1p
1395314662741319682,2021-05-20 09:45:13,19,0,"I welcome the news that 296 people donated organs in the first year of the Organ Donation (Deemed Consent) Act.  Thanks to Parliamentarians who supported the Bill, and to @NHSBT and others who are making such a difference.

https://t.co/ST9e6qgHri"
