id,created_at,favorite_count,retweet_count,text
1395431719365394436,2021-05-20 17:30:22,0,0,Should Nuromol become a general sale medicine? Let us know what you think https://t.co/Y8aoVHfllN https://t.co/lby0mUuLA9
1395403955971231745,2021-05-20 15:40:03,121,64,"We have updated the conditions of use for the Pfizer/BioNTech #COVID19 vaccine. It can now be stored in a fridge at 2-8°C for up to 31 days. 

Our statement ➡️ https://t.co/PmS6SG3hf0 

Read more ➡️ https://t.co/L3aB2GMR24 https://t.co/wPLxYXk2IC"
1395386353970520068,2021-05-20 14:30:06,2,1,"Find out how the @CPRD are improving the efficiency of clinical studies delivery through innovative data-driven approaches via CPRD SPRINT: https://t.co/b6pO78UUjP 

#ICTD21 #ResearchSavesLives https://t.co/yxDUfonZME"
1395378863052574723,2021-05-20 14:00:20,4,1,"To celebrate International Clinical Trials day, MHRA Dr Martin O’Kane and Dr Kirsty Wydenbach write in the @newscientist about how patient involvement needs to be at the heart of drug development and clinical trials. https://t.co/WF0cb1btTe

 #ICTD21 https://t.co/Sk89Qnezs3"
1395369980431110150,2021-05-20 13:25:02,3,2,"Did you know some clinical trials also involve novel medical devices?

We've been piloting Joint Assessment Pathway for Clinical Trials for Medicines, and Clinical Investigations for Medical Devices – providing a more streamlined service – one application, one response.

#ICTD21 https://t.co/3293rN6gr7"
1395365184781303808,2021-05-20 13:05:59,7,2,"Research applicants are already benefitting from using the #CombinedReview service designed for clinical trials of medical products or CTIMPs – more streamlined for faster start-up! 

Register with the service today: https://t.co/zdvWoD2tBi

@NIHRresearch @HRA_Latest https://t.co/GAFi2OiEjD"
1395344814263214085,2021-05-20 11:45:02,5,4,"Dr Janet Valentine and Dr Tim Williams, write about how the Clinical Practice Research Datalink (CPRD) are transforming patient recruitment using electronic health records https://t.co/UMf6fDyzXj  

#ClinicalTrialsCampaign2021 #ICTD21
@MediaplanetUK"
1395339927370485769,2021-05-20 11:25:37,5,2,"The latest blog from our clinical trials unit manager Martin O’Kane on how the #CombinedReview Service facilitates rapid start up for drug trials strengthening our research ecosystem and benefitting patients sooner: https://t.co/IPPX2rhNDZ  

#ICTD21 #ResearchSavesLives https://t.co/MnVH840sNw"
1395329719600652289,2021-05-20 10:45:03,4,4,"We monitor vaccines on an ongoing basis to ensure their benefits continue to outweigh any risks.

Read our report on #COVID19 vaccine adverse reactions to 12 May 2021 ➡️ https://t.co/oY1zB1zPou https://t.co/prRkMo9Cyk"
1395326594726629386,2021-05-20 10:32:38,9,4,"We have collaborated with @MediaplanetUK on the #ClinicalTrialsCampaign2021, launching in the @newscientist and online. 

Find out more about the work the CPRD and MHRA are doing within clinical trials here: https://t.co/UMf6fDyzXj 

https://t.co/WF0cb1btTe

#ICTD21"
1395312711542743042,2021-05-20 09:37:28,26,18,"Clinical trials save and improve lives.

With our partners @NIHRResearch @HRA_Latest we’re providing a more streamlined and efficient service for new drug trials – one application, one response, one decision.

Research applicants can register now: https://t.co/5QeaAtj3tQ

#ICTD21 https://t.co/IVx0JO2R32"
1395292043522584576,2021-05-20 08:15:21,13,5,"Happy International Clinical Trials day! 🧪🔬 

Throughout the day we will be posting about some of the exciting work we are doing within the clinical trials space! 

Stay tuned! #ICTD21 https://t.co/N78mtjFyRV"
1395013905437675521,2021-05-19 13:50:07,2,2,"Reminder: Anyone who is allergic to ingredients in the #COVID19 vaccine should not receive it. Those with other allergies can have the vaccine.

Ingredients
🔘Pfizer/BioNTech: https://t.co/rexmsVmtoV
🔘Oxford/AstraZeneca: https://t.co/i6c8QeF4v0
🔘Moderna: https://t.co/zooXuOuM2l https://t.co/VD9dqUbKVY"
1394956034284851202,2021-05-19 10:00:10,3,2,"Did you know, emollient skin creams can build up on clothes and can cause them to catch fire very quickly?

In support of #learningatworkweek, learn about how to minimise the risk when using emollients with our resources here: https://t.co/Yejro4VQY4

#KnowTheFireRisk https://t.co/AjuFwrCpFR"
1394613007255212032,2021-05-18 11:17:06,3,1,"Do you know what to tell your patients to support safe use of emollients? 

This #learningatworkweek check and refresh your knowledge using our learning resources: https://t.co/KlD6VRTjnn

#KnowTheFireRisk
#PatientSafety https://t.co/xePrxbzZBj"
1394574747774640135,2021-05-18 08:45:04,1,0,"Last chance! Join the free AI Virtual Hub live event today from 11:15am to 12pm: ‘Help is on the way: a new service to support the development and adoption of AI and data-driven tech.’

Register ➡️ https://t.co/OtwxBejITY https://t.co/whhr2l25OH"
1394287260846153732,2021-05-17 13:42:42,7,7,The closing date for applications is 7 June 2021. Learn more below ⬇️ https://t.co/Xu1RSiwo3V
1394223710874316807,2021-05-17 09:30:10,2,1,"Sign up for tomorrow’s free AI Virtual Hub live event on a new service to support the development and adoption of AI and data-driven tech.

Tuesday 18 May, 11:15am to 12pm. Register ➡️  https://t.co/ffkem2XbdM https://t.co/C8boAMjFgd"
1394223669140934656,2021-05-17 09:30:00,10,8,"This #learningatworkweek we are reminding healthcare professionals of the fire risk associated with the use of emollient skin creams and how to support your patients.

Find our learning toolkit here: https://t.co/KlD6VRTjnn 

#KnowTheFireRisk
#PatientSafety https://t.co/tG3NlYyUxW"
1393544222674915329,2021-05-15 12:30:08,2,2,"The MHRA is holding a consultation on the reclassification of Nuromol, a paracetamol and ibuprofen pain medicine. Take part https://t.co/Y8aoVHfllN https://t.co/9fLH8C11b1"
1393498919749967875,2021-05-15 09:30:07,3,1,"Join us &amp; @NHSX @HRA_Latest @NICESciAdvice @CareQualityComm @ a live AI Virtual Hub event on Tuesday 18 May from 11:15-12.

Register now for ‘Help is on the way’ to learn more about this new multi-agency advisory service: https://t.co/2YqP5ND1TA https://t.co/8GBPWZLUvB"
1393203207036358661,2021-05-14 13:55:03,1,0,"Join a free AI Virtual Hub live event on a new service to support development &amp; adoption of AI &amp; data-driven tech.

Join us from 11:15-12 on 18 May in a discussion on how the new service will make pathways easier to follow &amp; expectations clearer for all: https://t.co/SAiNERcnoS https://t.co/FCs4SqpTWz"
1392833265690681346,2021-05-13 13:25:02,5,5,"We monitor vaccines on an ongoing basis to ensure their benefits continue to outweigh any risks.

Read our report on #COVID19 vaccine adverse reactions to 5 May 2021 ➡️ https://t.co/dTJ81GfCB8 https://t.co/Z3HFkoSuvD"
1392815254472638466,2021-05-13 12:13:28,5,4,Have your say – should Nuromol become available as a general sale medicine? Take part in our consultation https://t.co/Y8aoVHfllN https://t.co/AMS2nBml0p
1392419521223401473,2021-05-12 10:00:58,2,0,"The BP consultation on best practice guidance for standardising the application of flow cytometry closes on 19 May. Make sure you get your comments in on time.

Find out more: https://t.co/neh4tBHGaW https://t.co/vhC5pnbL6j"
1390684109354176512,2021-05-07 15:05:03,10,3,"We have issued our first authorisation under Project Orbis, for a post-surgery treatment for lung cancer. 

Read more: https://t.co/IapQgwKkrF https://t.co/QhEch0gSyO"
1390616611921580035,2021-05-07 10:36:51,148,69,"The benefits of the #COVID19 Vaccine AstraZeneca against COVID-19, with its associated risk of hospitalisation and death, continue to outweigh the risks for the vast majority of people.

Read our response to JCVI advice for people aged under 40: https://t.co/9XzAH6Yd17 https://t.co/PQ6ReCTN0z"
1390594766199533568,2021-05-07 09:10:02,1,0,How #ProjectOrbis is ensuring earlier access to #cancertreatments:  https://t.co/DnxH8tV8vx https://t.co/qS71TLua1O
1390307879916277762,2021-05-06 14:10:03,10,10,"We monitor vaccines on an ongoing basis to ensure their benefits continue to outweigh any risks.

Read our report on #COVID19 vaccine adverse reactions to 28 April 2021 ➡️ https://t.co/xvu0WpH8gg https://t.co/X7Yn64WqCd"
1389913075940220929,2021-05-05 12:01:15,0,0,"Book now to hear first hand from Heather Simmonds, Director, @PMCPAUK at the upcoming Hot Topics in Medicines Advertising Webinar on 20.05.21. 

Secure your place now: https://t.co/VY8GFJ1OFk https://t.co/sZLAt6v3VP"
1389882824665313282,2021-05-05 10:01:02,1,1,"The BP consultation on best practice guidance for standardising the application of flow cytometry is open and we would like to hear your views.

Find out more: https://t.co/jxu7fs3ZVV https://t.co/Pdn4A4gley"
1387762354595708932,2021-04-29 13:35:03,4,3,"The Commission on Human Medicines Expert Advisory Group is looking to appoint two experts to the Clinical Trials Biologicals and Vaccines Expert Advisory Group.

Learn more &amp; apply: https://t.co/MOtedjIcJs https://t.co/tyoQOmbyHw"
1387748512742445056,2021-04-29 12:40:03,11,3,"We monitor vaccines on an ongoing basis to ensure their benefits continue to outweigh any risks.

Read our report on #COVID19 vaccine adverse reactions to 21 April 2021 ➡️ https://t.co/1iYxpUi4ji https://t.co/uPmWIdpyvj"
1387694407890214914,2021-04-29 09:05:03,24,19,"You can read Public Assessment Reports for the approved #COVID19 vaccines to learn how they were assessed &amp; their authorisations recommended. #VaccinesWork

🔘Pfizer/BioNTech: https://t.co/DNphSiPWI2
🔘Oxford/AstraZeneca: https://t.co/nfMRTADrqU
🔘Moderna: https://t.co/eNNoXWWmfk https://t.co/sKIiSo09yH"
1387332018250342404,2021-04-28 09:05:03,12,2,"#VaccinesWork . Vaccines are the most effective way to prevent infectious diseases. They save millions of lives worldwide. 

#WorldImmunisationWeek https://t.co/jQtDF3IPl7"
1386999830610948098,2021-04-27 11:05:03,15,6,"This #WorldImmunisationWeek, learn more about how we approved #COVID19 vaccines: https://t.co/5ysTtlKf3K 

We owe a huge debt of thanks to all those whose expertise, dedication and inspiring work have brought us this far on our journey.

#VaccinesWork https://t.co/iwDYLd7IqS"
1386621250441814019,2021-04-26 10:00:42,2,0,"The BP consultation on best practice guidance for standardising the application of flow cytometry is open and we would like to hear your views.

Find out more: https://t.co/bi8f5d83DG https://t.co/lKbDDKe04V"
1385534049813516288,2021-04-23 10:00:34,27,24,"The #MHRAYellowCard scheme helps make vaccines better for everyone. 
Report your suspected #Covid19 vaccine side effects to https://t.co/T6bTRtehs2  
#EveryReportsCounts #Vaccination https://t.co/aDTIiq1ziL"
1385240198729043969,2021-04-22 14:32:54,1,0,@L00NEYleft @NHSuk You can find the ingredients for all 3 approved vaccines here: https://t.co/8lDhniXmdQ
1385189150161264643,2021-04-22 11:10:03,7,6,"We monitor vaccines on an ongoing basis to ensure their benefits continue to outweigh any risks.

Read our report on #COVID19 vaccine adverse reactions to 14 April 2021 ➡️  https://t.co/QVsvhkQMVk https://t.co/QugElyPEGC"
1385171761738784768,2021-04-22 10:00:57,2,1,"The Secretary of State for Health and Social Care is looking to appoint up to four Non-Executive Directors to the MHRA.

Learn more &amp; apply ➡️ https://t.co/vhbD6Es5WO https://t.co/10bv4GicGS"
1384839506050916352,2021-04-21 12:00:41,2,1,"The BP is consulting on best practice guidance for standardising the application of flow cytometry and would like your views.

Find out more: https://t.co/uMNPEplEez https://t.co/uJUjFqbZB3"
1384821321385775110,2021-04-21 10:48:26,10,5,"Last month we published information for healthcare professionals on the use and regulation of pulse oximeters 
https://t.co/vcPveHYIeP https://t.co/cVRanYlDYQ"
1384802853445939203,2021-04-21 09:35:03,0,1,"Book now to hear first hand from Laura Kelly, Senior Advertising Policy and Operations Manager, @PAGBselfcare at the upcoming Hot Topics in Medicines Advertising Webinar on 20.05.21

Book your place: https://t.co/VY8GFJ1OFk https://t.co/47Wea31Jid"
1384522574407901189,2021-04-20 15:01:19,11,11,"Use the Coronavirus Yellow Card website to report suspected vaccine side effects.

#EveryReportCounts. Report today https://t.co/T6bTRtehs2 

#MHRAYellowCard #Covid19 #Vaccination https://t.co/4qPpqb6mMK"
1384522573518708737,2021-04-20 15:01:19,2,1,"Use the Coronavirus Yellow Card website to report suspected vaccine side effects.

#EveryReportCounts. Report today https://t.co/T6bTRtehs2 

#MHRAYellowCard #Covid19 #Vaccination https://t.co/31j8LijmrC"
1384073052867031046,2021-04-19 09:15:05,3,2,"We have have signed a memorandum of understanding to improve collaboration with @JointCCP 

Together, we will work to support the promotion of good practice and the protection of consumer safety in
aesthetics.

https://t.co/mMUAVEhlks https://t.co/8BWYzPktIC"
1380174035292684298,2021-04-08 15:01:47,11,11,"Our review of extremely rare, unlikely-to-occur blood clots with lowered platelets concludes that evidence of a link with #COVID19 Vaccine AstraZeneca is stronger but more work is still needed.

Anyone who did not have these side effects should come forward for their 2nd dose."
1380127040150585344,2021-04-08 11:55:02,8,6,"We monitor vaccines on an ongoing basis to ensure their benefits continue to outweigh any risks.

Read our report on #COVID19 vaccine adverse reactions to 28 March 2021 ➡️ https://t.co/CE7oGqtstE https://t.co/d3GILAZcsL"
1379841293745065992,2021-04-07 16:59:35,14,11,"Slides for today's #COVID19 vaccine press briefing are now available to download from our press release.

Read &amp; download ➡️ https://t.co/7JTI1KR6y6"
1379807459477499909,2021-04-07 14:45:08,228,165,"MHRA issues new advice concluding a possible link between #COVID19 Vaccine #AstraZeneca &amp; extremely rare, unlikely-to-occur blood clots.

Vaccines are the best way to protect people from #COVID19 &amp; the benefits continue to outweigh any risks.

Read more: https://t.co/6aDMYhBEVp https://t.co/FVxxm8a3A1"
1379735850037153799,2021-04-07 10:00:35,6,0,"Throughout the #COVID19 pandemic, we’re continuing to support patient access to innovative treatments: our Early Access to Medicines Scheme brought @Roche’s atezolizumab (Tecentriq) to UK patients with cancer through @NHSEngland.

Learn more ➡️ https://t.co/bCjfXUKxNZ https://t.co/PR7ZCwGkdb"
