id,created_at,favorite_count,retweet_count,text
1393474983381372928,2021-05-15 07:55:00,14,9,"Anyone can develop Type 2 diabetes, but certain factors can increase your risk. 

Find out your risk today. 👇 #Type2DiabetesPreventionWeek 

https://t.co/40aafH86dL https://t.co/KTtKzHYQSz"
1393281584355291136,2021-05-14 19:06:30,31,14,"To find out more about the COVID vaccine, including who is eligible, visit https://t.co/1e3nCAUFcB."
1393281582979555336,2021-05-14 19:06:29,364,150,"Today the government said COVID vaccine second dose appointments will be brought forward from 12 to 8 weeks.

People should continue to attend appointments and don't need to contact the NHS. Those who should move their appointment forward will be told when they are able to do so."
1393259830509441024,2021-05-14 17:40:03,50,10,"‘Helping people during the pandemic has been an honour. I took the COVID vaccine to protect myself and others.’

The second dose of the vaccine provides longer-term protection. @DrWaheedArian from @sathNHS explains what being vaccinated means to him. https://t.co/1e3nCAUFcB https://t.co/eViCF6ehBd"
1393242227900624904,2021-05-14 16:30:06,55,19,"The NHS has now administered more than 30 million first doses in England. Thanks to the hard work of #OurNHSPeople, the #NHSCOVIDVaccine programme continues to go from strength to strength. 👏 https://t.co/ekg7z6xxjc"
1393228593652711425,2021-05-14 15:35:56,31,22,"If you've recently given birth and been offered the #NHSCOVIDVaccine, you do not need to stop breastfeeding. You cannot catch or transmit COVID-19 from any of the available vaccines.

Find out more. ➡️ https://t.co/roEUCuZBh1 https://t.co/LSM621OrL6"
1393210217068957702,2021-05-14 14:22:55,18,5,"Thank you to all #OurNHSPeople, volunteers and everyone involved in the #NHSCOVIDVaccine rollout. Your continued work and effort is saving thousands of lives. 💙 https://t.co/sVyUYw8tEh https://t.co/6MEBsKvROj"
1393154129195905025,2021-05-14 10:40:02,73,44,"If you're worried about your child's mental health, it's important to take time to listen, and reassure them it's okay not to feel okay. 

Visit the NHS Mental Health Hub for advice and support if your child has mental health problems. https://t.co/fOnjPxh0UT https://t.co/xGD89ZqPvl"
1393102542700228610,2021-05-14 07:15:03,144,34,"'Being redeployed was unsettling at first but I was able to adapt my anaesthetic skills. This demonstrates the value of our profession and how significant it has been during the pandemic.'

Happy #ODPDay to our Operating Department Practitioners, like Poonam, from @FrimleyHealth. https://t.co/SATKoJAaO7"
1392906283196502021,2021-05-13 18:15:11,25,8,"'We've done a lot of interdisciplinary working to really deliver the care where patients need it most.'

Physiotherapist Jennie from @GSTTnhs talking to @BBCNews about how over the last 12 months the team have created new ways of working that improve patient care. https://t.co/gJm9S34mBY"
1392874793788129288,2021-05-13 16:10:03,30,12,"‘If you are unsure whether you need help, or whether your concern is ‘big enough’, remember no problem is too small.'

Dr Nicole is the Clinical Lead at @BLMK_CCG's Staff Mental Health Hub and is encouraging colleagues to access support if they need it. 
https://t.co/1xVasEZpfc https://t.co/l94vYJlzHM"
1392845751210975233,2021-05-13 14:14:39,14,2,"The NHS has recruited over 11,000 more nurses, midwives and health visitors like Matt during the past 12 months! 👏

Thank you to all our new colleagues across the country. Welcome to the NHS. 💙 https://t.co/j8RIRcDCyr"
1392845748149137414,2021-05-13 14:14:38,50,8,"‘I saw how hard they worked and I wanted to give something back to the community,‘

Matt was inspired to join #OurNHSPeople when his mum and sister were redeployed during the pandemic. Thank you Matt and all our nursing colleagues for your hard work and dedication. ✊ https://t.co/Uv1sXNaHWJ"
1392798037609754624,2021-05-13 11:05:03,41,18,"Thanks to the hard work of NHS staff, new figures today show that a record number of people were referred for urgent cancer checks in March.

Read more. ➡️ https://t.co/4GFjk0N0QF https://t.co/PPHZDTEIC0"
1392760285782495235,2021-05-13 08:35:03,40,17,"The NHS is trialling new ways of working to accelerate recovery and improve patient waiting lists.

Five specialist children’s hospitals and a dozen areas will become 'Accelerator Sites' to increase the number of elective operations they deliver. ➡️ https://t.co/stZNpnxuhw https://t.co/NwkoJiR7il"
1392741411804561409,2021-05-13 07:20:03,52,65,"If you're aged 38 or over, or if you turn 38 before 1 July 2021, you can now book your COVID-19 vaccine. 
👉 https://t.co/kFXGT0nmm2 https://t.co/zgHMEo7Ccf"
1392555356413366279,2021-05-12 19:00:44,316,110,"Eid Mubarak to all #OurNHSPeople who are celebrating! 

We’d like to thank NHS staff for their continued work, as well as the wider community, who have made huge sacrifices to help the NHS respond to the pandemic. Please celebrate safely. https://t.co/p35dRaWzWK"
1392521214317498369,2021-05-12 16:45:03,175,76,"From tomorrow the NHS will be inviting people aged 38 and 39 to book their #NHSCOVIDVaccine appointment. 
 
Nearly three quarters of people aged between 40 and 49 have had their first dose of the COVID vaccine.  ➡️ https://t.co/rLlOP3i35i https://t.co/GJoDfqC4yu"
1392503636463390726,2021-05-12 15:35:13,1024,122,"‘Reach out to family, reach out to friends, reach out to a neighbour,’

All tea, no shade — @dragraceukbbc star and Mental Health Nurse @TheCValentine celebrates #IND2021, and shares an important reminder on how we can support one another this #MentalHealthAwarenessWeek. 💙 https://t.co/1O4ADxuUn3"
1392469775486496773,2021-05-12 13:20:39,122,38,"Thanks to our brilliant colleagues across the country, over 45 million #NHSCOVIDVaccines have now been given in England! 💉
 
The success of the programme is the result of people’s determination to protect their patients, families and communities. #ThankYouNHS https://t.co/J14NtQRJt5"
1392460816436318210,2021-05-12 12:45:03,148,16,"‘Being a critical care nurse is something I’ve always wanted to do.’

Originally from Kerala in South India, Critical Care Nurse Stephy joined @MSEHospitals and has been looking after patients with COVID-19. Thank you Stephy for joining the NHS! 💙 #InternationalNursesDay https://t.co/eJzFjQQlH8"
1392420294812487684,2021-05-12 10:04:02,22,4,"The NHS has recruited over 11,000 more nurses, midwives and health visitors like Enayath during the past 12 months! 👏

Thank you to Enayath and to all our new colleagues across the country. Welcome to the NHS. 💙 https://t.co/j8RIRcDCyr"
1392420292232978438,2021-05-12 10:04:02,161,23,"‘I am so grateful to the nurses who inspired me to apply, I can’t wait to start my new career in nursing!’

This #NursesDay, we’re celebrating #OurNHSPeople like Enayath, who was inspired to become a nurse after working on security at a @HCTNHS vaccination centre. 💙 #IND2021 https://t.co/bbYPWeSBdu"
1392375248260042754,2021-05-12 07:05:02,1422,571,"‘Thank you to each one of you, individually and collectively.’ 

To mark International Nurses Day, @CNOEngland Ruth May shares a special thank you to nursing colleagues across the country for their continued hard work and perseverance throughout the pandemic. 💙 #IND2021 https://t.co/CaNoFm9MT8"
1392227516899803137,2021-05-11 21:18:01,134,11,#brits2021 https://t.co/4H2OyGyEEK https://t.co/ARiJHNRnWe
1392148783182516227,2021-05-11 16:05:09,7,7,"The NHS is sending texts to some people to invite them to book a COVID-19 vaccine appointment. These may come from a local NHS service, or from ‘NHSvaccine’.

Remember the NHS will never ask for payment details. Find out more about how we may contact you. https://t.co/usB1YdrEVP https://t.co/sJJNZLZ6jr"
1392089612710039552,2021-05-11 12:10:02,180,108,"If the idea of getting 'back to normal' is causing worry for you, there are lots of ways to make this time easier. 

Visit the Every Mind Matters COVID-19 hub for simple tips and advice. 🧠 #MentalHealthAwarenessWeek

https://t.co/YKhEnMS9cY https://t.co/rdCVda0p8u"
1392012865016680451,2021-05-11 07:05:04,76,58,"The NHS has set up staff mental health and wellbeing hubs to provide dedicated support for our staff. 

They provide rapid access to local evidence-based services and support. #MentalHealthAwarenessWeek https://t.co/1xVasEZpfc https://t.co/ON0C4P7mmU"
1391824142488457227,2021-05-10 18:35:09,40,23,"The #COVIDVaccines work just like any other vaccine you may have had. They do not contain COVID-19, or anything that has come from animals. For the facts on the #COVIDVaccine, visit https://t.co/kTQq1ULJhi. https://t.co/e8AVlWYfOz"
1391793630373945351,2021-05-10 16:33:54,32,8,"'Everyone has pulled out all the stops. I think we need to thank everyone.'

Matron at @nhsuhcw May Parsons, who administered the first approved COVID jab, explains why she'll be participating in the #ThankYouDay this 4 July — the day before the NHS's birthday. 🎥: @BBCBreakfast https://t.co/n6VXiObfD2"
1391753658681937920,2021-05-10 13:55:04,77,45,"‘It really is important that we take care of ourselves.’
 
National Mental Health Director @ClaireCNWL reminds us of the importance of looking after ourselves, this #MentalHealthAwarenessWeek.
 
If you need support, the NHS is here for you. https://t.co/qkhk2gkADq https://t.co/3fhnH3BYoQ"
1391728501817028613,2021-05-10 12:15:06,23,15,"The second dose of the #NHSCOVIDVaccine helps to provide longer-term protection.

Don't delay in getting your second dose when it is offered to you. https://t.co/5wwoKEQBBW https://t.co/QIIXjx12lh"
