id,created_at,favorite_count,retweet_count,text
1395688638520995842,2021-05-21 10:31:16,0,0,".@edinburghpaper reports on @NHS_Lothian's involvement in #SIREN study, testing patient-facing #healthcare workers for #COVID19, to determine whether pre-exposure to the virus confers protective immunity. Thanks to all staff across Scotland taking part. https://t.co/00SRojzMWM"
1395661178966269957,2021-05-21 08:42:09,3,3,"The posts will provide the opportunity to develop expertise in delivering #ClinicalResearch, an understanding of pharmacovigilance and research governance, and is anticipated to be involved in high-profile trials such as #COVID19 vaccine studies. Apply 👇 https://t.co/cCV54l7DeP"
1395386378960228354,2021-05-20 14:30:12,3,3,"The Cov-Boost study, launched this week, investigating how effective a booster of each #COVID19 vaccine is in protecting individuals from the virus, will be run at @GlasgowCRF @NHSGGC facilities – one of 16 sites across the UK. Read more: https://t.co/c2yrxtrKHC. #ICTD2021 https://t.co/7qGxchwejm"
1395370800245575683,2021-05-20 13:28:18,4,3,Clinical research has never been more vital than during the #COVID19 pandemic - #ICDT2021 is a day to reflect on the overwhelming support we've had from patients and the public to deliver vital #research into new vaccines and treatments. https://t.co/iYaYkScDOQ https://t.co/7IhvPGF1ZM
1395311715546456066,2021-05-20 09:33:31,1,2,"New medical treatments and therapies are being developed through research all the time, improving healthcare in Scotland, the UK, and around the world. Take a look at some of the research taking place across the UK at the #BePartofResearch site: https://t.co/6JepelsSqA. #ICTD2021 https://t.co/HulKK2CDz4"
1395300202551119881,2021-05-20 08:47:46,4,2,"Volunteers from @NHSGGC will soon be able to receive a third ‘booster’ #COVID19 vaccine, through a new clinical trial launching this week in tandem with #ICTD2021. Read more: https://t.co/c2yrxtrKHC. https://t.co/N6a8wXYCzM"
1394997321864261634,2021-05-19 12:44:13,0,0,"Led by @OxPrimaryCare, the PRINCIPLE trial is investigating pre-existing treatments for older people (aged over 50) in the community who show signs of #COVID19. Participants are being sought for the UK-wide trial across Scotland. Find out more: https://t.co/WRe76ID8pL. https://t.co/T7dueBp1L8"
1394957556896960518,2021-05-19 10:06:13,1,0,".@medicagoinc reports successful results in the Phase 2 trials of their #COVID19 vaccine candidate - with Phase 3 trials now launched in the UK, supported in Scotland by NRS, and open in @NHSGrampian, with 145 people recruited to be involved. https://t.co/PGAC27miKO"
1394933938200645634,2021-05-19 08:32:22,1,1,"The latest #ClinicalResearch news, direct to you inbox every month - subscribe to NRS Research Bulletin and never miss an issue: https://t.co/Z2gg3fia2C. https://t.co/FxPWv2T0sF"
1394685028433645572,2021-05-18 16:03:17,1,0,"Registration is now open for #NHSScot21 - where members of the NRS team will lead a session on #ClinicalResearch across Scotland, and the specific work taking place during the #COVID19 pandemic. Register now 👇 https://t.co/htTTzPocEw"
1394613365889191936,2021-05-18 11:18:31,1,0,".@nrs_pain are hosting their annual scientific meeting as a virtual conference in 2021, taking place Friday 10 September. Registration for the event will open shortly, but the call for abstracts and guidance is now live. Download the application form: https://t.co/qS9WduUODf. https://t.co/y3F0w0zjHc"
1394594449733337089,2021-05-18 10:03:21,2,3,VACANCY: @CSO_Scotland is seeking applicants for the NRS #Musculoskeletal Clinical Lead post. Full details and how to apply: https://t.co/3HvW614X7m. https://t.co/DdP6u1GETF
1394569045039591424,2021-05-18 08:22:24,4,4,"ICYMI: the first #COVID19 vaccine study in the UK recruiting pregnant women has been launched, and will be open to recruitment in @NHS_Lothian. Read more: https://t.co/Mx7MOn67xD. https://t.co/gGGeNTpyeP"
1394313125541908486,2021-05-17 15:25:28,4,4,The first #COVID19 vaccine study in the UK recruiting pregnant women has been launched and will be open in @NHS_Lothian. Read more: https://t.co/Mx7MOn67xD. https://t.co/alj7BnnqxT
1394293810482630659,2021-05-17 14:08:43,2,1,"A new free online #COVID19 course launches today by @NIHRResearch as part of #ICTD #BePartofResearch 2021. Learn more about the role of research, including developing new treatments and vaccines, and look ahead to future health challenges. Register 👇 https://t.co/90MnBRcXU6"
1394250099568615425,2021-05-17 11:15:02,8,5,The #COVID19 pandemic has shown the importance and impact of health research. Ahead of #ICTD this Thursday we are working with @NIHRResearch @ResearchWales @hscboard  highlighting the important role we can all play in supporting research #BePartofResearch: https://t.co/NnQu2Nn7RZ https://t.co/iKHoQDT57N
1394222469221863428,2021-05-17 09:25:14,11,2,"Thank you to all the volunteers, and staff, taking part in the Valneva #COVID19 vaccine #ClinicalTrial across @NHSGGC and @NHS_Lothian - and everyone taking part in vital COVID-19 clinical research across Scotland, crucial work to find new and more effective treatments. https://t.co/kvhGcoyLT6"
