id,created_at,favorite_count,retweet_count,text
1393476247930343429,2021-05-15 08:00:01,0,0,"Join @NHSX @NICESciAdvice @MHRAgovuk @CareQualityComm @HRA_Latest at the AI Virtual Hub live event: ‘Help is on the way: a new service to support the development and adoption of AI and data-driven tech’ on Tuesday 18 May, 11:15am to 12noon. Register here: https://t.co/Gqk5MAymvX https://t.co/zYU7dqJY6x"
1393234651875926016,2021-05-14 16:00:00,2,0,"Join NICE for our virtual careers fair next week. Learn about the role the Centre for Health Technology Evaluation plays in evaluating new medicines, procedures and MedTech for the NHS. We have a wide range of roles we're recruiting for. Register at: https://t.co/FP9WBmy63W https://t.co/dS6jwmGv7h"
1393189356077211654,2021-05-14 13:00:01,0,0,This week on Instagram we're looking at contraception. What are the options? Where can you get contraception? See more here: https://t.co/ZURDU7ietc https://t.co/kufJ3MzRaI
1393189353296330753,2021-05-14 13:00:00,3,2,"Join @NHSX @NICESciAdvice @MHRAgovuk @CareQualityComm @HRA_Latest at the AI Virtual Hub live event: ‘Help is on the way: a new service to support the development and adoption of AI and data-driven tech’ on Tuesday 18 May, 11:15am to 12noon. Register here: https://t.co/Gqk5MAymvX https://t.co/1m6jZ9XaBr"
1393159156362788865,2021-05-14 11:00:01,3,1,Our Public Board Meeting will be live streamed on Wednesday 19 May 2021. Click here to attend and get the chance to ask your questions about the new 5-year strategy and our current work: https://t.co/ua9ibNaf8S https://t.co/qmhU7CHSYA
1393113858844237832,2021-05-14 08:00:01,6,5,"It's Spinal Cord Injury awareness day. Each year in the UK, 1,000 people sustain a new spinal cord injury. This is usually as a result of a traumatic event.

NICE has produced a guideline on the assessment and initial management of a spinal injury.

Go to: https://t.co/iHszLDKXbc https://t.co/Ojon42KjGx"
1392826976080056325,2021-05-13 13:00:03,4,5,"We're looking for a dietitian to join stroke rehabilitation guideline committee as a co-opted member. Find out more and apply before 5pm, Monday 17 May 2021, at: https://t.co/icPRErPOd4 https://t.co/F8DcHMyqCK"
1392796774918545412,2021-05-13 11:00:02,4,3,Visit https://t.co/jNuiEyloUc to see the line up of health technology assessment (HTA) experts who are speaking at the HTAi 2021 Virtual Annual Meeting @online_HIS @AWTTCcomms @HTAiOrg #HTAi2021VirtualAM https://t.co/uvQGijCxup
1392751473386213379,2021-05-13 08:00:01,10,5,"This week is #MentalHealthAwarenessWeek and the theme is connect with nature. When you're next out for a walk, take our podcast NICE Talks with you. 

In this episode, we find out how mental healthcare has changed: https://t.co/E4xmpqt5Ex #NHS #mentalhealth #podcast #NICEtalks https://t.co/jBB0rZFEKu"
1392509875478048769,2021-05-12 16:00:00,4,3,This week we are looking to recruit *6* new members of staff to a range of roles across the organisation. Find out more about joining the team at NICE: https://t.co/hljTYePSM9 https://t.co/4TNLQbM5Bd
1392434385362857986,2021-05-12 11:00:02,16,10,Domestic violence and abuse is a complex issue that needs sensitive handling by a range of health and social care professionals. We've produced a quick guide for social workers to help them identify and support people who are experiencing abuse. Read here: https://t.co/Fmf3dKt1UL https://t.co/CQYyLXoDHg
1392389083385802755,2021-05-12 08:00:01,5,4,Are you enthusiastic about how quality measures can improve outcomes in health and care? We are looking for a new chair of the NICE indicator advisory committee. The deadline is 5pm today and you can apply here: https://t.co/oNsDYctn7l https://t.co/0pBPv9vDiI
1392358882882715652,2021-05-12 06:00:01,47,20,Happy #NursesDay from everyone at NICE. https://t.co/1LUI1QeNtO
1392147495262687235,2021-05-11 16:00:02,6,3,"Join NICE for our virtual careers fair next week. 

Learn about the role the Centre for Health Technology Evaluation plays in evaluating new medicines, procedures and MedTech for the NHS. We're recruiting for a wide range of roles. 

Register at: https://t.co/FP9WBmy63W #NHSJobs https://t.co/2NE7KNIEs4"
