id,created_at,favorite_count,retweet_count,text
1395684564316655620,2021-05-21 10:15:05,2,1,Looking for #ResearchFunding? We currently have over 70 opportunities open! Find them here: https://t.co/dY6GlYkc49 https://t.co/yMinvcVNG0
1395681024965812224,2021-05-21 10:01:01,7,4,High quality clinical research leads to better health outcomes and improved care for patients and the public. Anyone can get involved. Find an opportunity to #BePartofResearch  https://t.co/nfwau6x5wp https://t.co/RghVIZ9Hbc
1395673224504033281,2021-05-21 09:30:01,3,1,"A third of people who took a new drug for treating obesity lost more than 1/5 of their total body weight, according to a major global study supported by @UCLHresearch. Jan lost over 22% of her body weight while on the trial. https://t.co/nfwau6x5wp #BePartofResearch https://t.co/WDXB0hLsi1"
1395665779400581121,2021-05-21 09:00:26,5,5,"The UK is overwhelmingly proud of the contribution its health researchers have made to efforts against COVID-19, new YouGov research findings released for #ICTD show. Read the full story:https://t.co/nS7c9XowpF https://t.co/ufTbXyb1Vw"
1395658120400195584,2021-05-21 08:30:00,4,3,"""It's probably the most worthwhile thing I've ever done."" We hear from Leon Farmer about his experience of getting involved in research as a patient advisor. Find out more about how you can #BePartOfResearch: https://t.co/5hDd4Qi4Mp 

https://t.co/VctV00O0CX"
1395653092247486465,2021-05-21 08:10:01,2,1,"If you’re interested in building clinical trials experience, there’s still time to sign up for our webinar on Monday from 12-1:30pm.

Find out more and sign up: https://t.co/rCWycbXrwO https://t.co/1bMX95QCkY"
1395420306953707533,2021-05-20 16:45:01,26,12,"Dr William van’t Hoff, CEO at our Clinical Research Network is speaking at the @NHSRDForum Reflect and Connect webinar series with @AngelaTopping74 about recovering UK research and building for the future https://t.co/eA762De9jj"
1395401942633910274,2021-05-20 15:32:03,0,0,"@emmarob65163184 Thanks for your comment. If you would like to,  you can suggest a topic for future research here https://t.co/FdnpObWGts"
1395400285397323776,2021-05-20 15:25:27,0,0,@KevinamanKm Thanks for the question. Approval for vaccine use in the UK is handled by @MHRAgovuk. There are however NIHR-supported trials for COVID-19 vaccine use with children. See https://t.co/DSNCbEDHuY
1395397190739185669,2021-05-20 15:13:10,1,0,@SOHNHS_Research @SONHStrust This looks great @SOHNHS_Research! Happy International Clinical Trials Day!
1395396446774599690,2021-05-20 15:10:12,1,0,@WestHertsNHS That's amazing! Happy Clinical Trials Day @WestHertsNHS!
1395396047875289088,2021-05-20 15:08:37,1,0,"@oztrazine Thanks for your interest in taking part. Eligibility would be dependant on the trial. If it’s a COVID trial you’re interested in taking part in, see: https://t.co/kLKj1kbeCK  You can also search https://t.co/TVdDC8pewV for other trials that might be of interest."
1395375008889909249,2021-05-20 13:45:01,5,5,"Are you passionate about #Health and #SocialCare? Our Health Services and Delivery Research (HS&amp;DR) Programme is looking for a new Programme Director. 

For more information visit: https://t.co/TD9xmJaTzH https://t.co/f0fKDFCMJa"
1395356151081050113,2021-05-20 12:30:05,19,10,"By getting involved in research, Justine and many like her played a huge part in helping the NHS manage the pandemic. Find out more about how you can #BePartOfResearch: https://t.co/nfwau6x5wp https://t.co/qQZtR6m2BW"
1395343298747850761,2021-05-20 11:39:01,3,1,"NIHR-funded researchers show that an internet-based #weightloss programme with brief support from a nurse can help people lose weight. 

Find out more: https://t.co/40rlDdZtZm
#obesity
#NIHRMakingaDifference https://t.co/GPKVftEKax"
1395337510667030528,2021-05-20 11:16:01,7,2,"World-first COVID-19 Vaccine Booster Study Launches in UK

Thousands of volunteers will receive a booster COVID-19 vaccine in a new clinical trial launching this week. The Cov-Boost study, funded through the Vaccines Taskforce, will run at 16 NIHR sites.

https://t.co/Bf2yGLi37a https://t.co/9pH6XX28je"
1395336281454952448,2021-05-20 11:11:08,1,1,@ULH_RadTherapy @NIHRtakepart @NIHRCRNEastMids @ULHT_News That looks great @ULH_RadTherapy! Happy International Clinical Trials Day!
1395336035085783042,2021-05-20 11:10:09,0,0,@nchadborn Thanks for flagging. Could I ask you to send a link to the doc please and we'll take a look? Thank you!
1395333582378442753,2021-05-20 11:00:24,74,38,"71% of the public think health research has played a key role during the pandemic, show new YouGov research findings released today for #ICTD. Read the full story: https://t.co/nS7c9XowpF #BePartofResearch https://t.co/TQ5Jbznmgq"
1395327948018831362,2021-05-20 10:38:01,4,5,We’re inviting #ResearchFunding applications to meet recommendations in research identified in NICE guidance. Find out more and apply: https://t.co/tHAdx3RQ9f https://t.co/90ubFLqz3e
1395327579356340225,2021-05-20 10:36:33,4,1,@SWBHnhs @SWBH_RandD Thanks for sharing @SWBHnhs! It's great to meet some of the faces behind your research!
1395323417986019329,2021-05-20 10:20:01,5,2,"John Trinder, 80, was the first patient in Greater Manchester and East Cheshire to participate in the Platform Randomised trial of Interventions against COVID-19 in Older People (PRINCIPLE). This #ICTD find out how you can #BePartOfResearch here: https://t.co/nfwau6x5wp https://t.co/JKq3OUUC8z"
1395320642673672192,2021-05-20 10:08:59,11,4,"Find out why researchers involved in vaccine research do what they do...
#ICTD 
#BePartofResearch https://t.co/IROMFQo4hY"
1395313860035457029,2021-05-20 09:42:02,78,42,On #ICTD we are sharing stories which bring attention to the important role we can all play in health research. Read them at https://t.co/nfwau6x5wp and share your own story with us #BePartofResearch https://t.co/Csa4i8Ke76
1395312409661825027,2021-05-20 09:36:16,6,2,"#ICTD is on TikTok! Loving this video from colleagues at @BSUHresearch!

#BePartofResearch https://t.co/Rv83IJlPGk"
1395300267369848833,2021-05-20 08:48:01,4,2,What is the impact of population-level interventions aimed at improving independence among older people or disabled people? Join our webinar on Tuesday 8 June 10am to find out about this #ResearchFunding opportunity: https://t.co/WamIlojxmv https://t.co/wZw3i8XoHD
1395066451464183814,2021-05-19 17:18:55,0,0,"@Ian77048331 Dear Ian, thanks for your query. This Be Part of Research page: https://t.co/maMZXHV8X5 contains the current guidance. We will update this as the situation evolves and ensure participants and research teams receive the latest information."
1395046933857804292,2021-05-19 16:01:22,48,32,"Participating in clinical research can benefit you, and the results might also improve healthcare in the UK and around the world. Find a research study that needs your help at   https://t.co/nfwau6x5wp #BePartofResearch https://t.co/DLmv1ggvdZ"
1395043325128941572,2021-05-19 15:47:02,5,5,"Join our webinar on Tuesday 8 June at 10am to find out about our #ResearchFunding opportunity into gambling-related harm: https://t.co/mNaTe9pq64  

#GamblingHarm https://t.co/lGerA2EE8h"
1394976131632271364,2021-05-19 11:20:01,2,2,"Could you lead #dementia research? We have a number of #ResearchFunding opportunities in this area: https://t.co/jGP852TCFF

#DementiaActionWeek 
#DementiaAwareness https://t.co/DCGPe5haS3"
1394958261338742787,2021-05-19 10:09:01,11,14,"Have you seen our #ResearchFunding opportunity for Chief Investigators applying for an NIHR Advanced Fellowship award? We’re holding a webinar next Monday 12-1:30pm. 

Sign up here and find out more: https://t.co/rCWycbXrwO https://t.co/XH2wbFxygs"
1394940944273846274,2021-05-19 09:00:12,10,7,"The optimal balance of doctors, nurses and advanced practice health professionals in NHS Emergency Departments to be examined in new study.

Find out more: https://t.co/7gp03wde2y
@VariDrennan  
@MH_MaryHalter https://t.co/NC2LOvpqjo"
1394681689176166402,2021-05-18 15:50:01,3,5,"Dr Andrew Ustianowski, joint National Specialty Lead for Infection at NIHR Clinical Research Network, has been speaking at this week's @NHSRDForum Reflect and Connect webinar about the #Covid19 vaccine trials delivery programme and what has been learned https://t.co/LtLLAyH5Dh https://t.co/7aLm40fReT"
1394670364186263552,2021-05-18 15:05:01,2,2,"A new project will consider the role non-medical practitioners play in NHS hospital emergency departments and urgent treatment centres to determine the best ‘skill-mix’.

Find out more: https://t.co/7gp03wde2y
@KingstonUni 
@KUStGeorges https://t.co/tqTFzVWun9"
1394649731398258688,2021-05-18 13:43:01,7,10,Have you seen our #ResearchFunding opportunity for research into core outcome datasets for #PopulationHealth? Join our webinar on Tuesday 8 June at 10am to find out more: https://t.co/iSFCNoRbpj https://t.co/ng0n0dTpaT
1394640167017893888,2021-05-18 13:05:01,4,1,"Are you passionate about #Health and #SocialCare? Our Health Services and Delivery Research Programme is looking for a new Programme Director. 

For more information visit: https://t.co/TD9xmJaTzH https://t.co/bJAXUo6oeI"
1394616019516334082,2021-05-18 11:29:04,4,0,Find out about a new NIHR-funded trial to consider the current treatment options for patients with advanced lung #cancer https://t.co/RNUoc4b0rH
1394599904551579652,2021-05-18 10:25:02,19,14,"As we approach #ICTD we are sharing stories which bring attention to the important role we can all play in health research. Read them https://t.co/nfwau6x5wp 

Or share your own story with us using #BePartofResearch https://t.co/YaowEsTXfD"
1394582525620727808,2021-05-18 09:15:58,4,0,"Thanks for your support, and all the incredible work you do to raise funds to aid research into MND #BePartofResearch https://t.co/NXbqIH0HtQ"
1394577337652420608,2021-05-18 08:55:21,9,3,"Thanks for your support, Simon. Research is open to everyone of all ages and backgrounds. https://t.co/aVnGCcgWQj"
1394574737796444160,2021-05-18 08:45:02,11,10,"NEW opportunity: Applications for clinical studies to be led by a Chief Investigator (CI) also applying for an NIHR Advanced Fellowship award. Find out more: https://t.co/rCWycbXrwO

#ResearchFunding https://t.co/aBL9jICAG6"
1394564706405335043,2021-05-18 08:05:10,105,79,"You have the power to change lives. Help find better care and treatments, and #BePartofResearch in a study that's right for you: https://t.co/pJlBlstDIU https://t.co/q12pUAf6z8"
1394559853834686465,2021-05-18 07:45:53,5,1,"@NitaDesai7 @LancsHospitals @LancashireCRF @LancsResearch Thanks for your support Nita, and for all the work you do in setting up clinical trials."
1394556868039745536,2021-05-18 07:34:01,28,23,"The first UK #Covid19 vaccine study for pregnant women has launched.

Over 200 participants will receive the approved Pfizer-BioNTech #Covid19 vaccine, in a study which looks to further understand the safety, tolerability &amp; immunogenicity of the vaccine.
 
https://t.co/ykYvT0OUf7 https://t.co/GQN5ijtX7V"
