id,created_at,favorite_count,retweet_count,text
1395398911473430529,2021-05-20 15:20:00,4,0,"While the last few months have been challenging, each of our clinical trials unit staff have played an important role in making a difference to people’s health through research.

#CTD2021 #BePartofResearch 

https://t.co/QwuNksucl5 https://t.co/g74qRY2HTM"
1395388844451762183,2021-05-20 14:40:00,6,1,"Rui Zhao shares why she is proud of Oxford’s primary care clinical trials unit research #BePartofResearch #CTD2021

Read more here: https://t.co/QwuNksucl5 https://t.co/TYn2bBA2h7"
1395383811915976709,2021-05-20 14:20:00,7,2,"Assistant Trial Manager Charlotte Latimer-Bell shares her experience of being part of the PRINCIPLE Trial team this year.

#BePartofResearch #CTD2021 #PRINCIPLETrial 

https://t.co/QwuNksLNcD https://t.co/3zcohl4GVB"
1395376261590093830,2021-05-20 13:50:00,8,2,"Trial managers Hannah Swayze and Melanie Carr share why clinical research is important to them for #CTD2021 #BePartofResearch

Read more: https://t.co/QwuNksucl5 https://t.co/WgWXBma4Xw"
1395367953554624512,2021-05-20 13:16:59,12,5,"CTU Operational Director Emma Ogburn works to give the world hope through clinical trials, and her daughters support their mum to work effectively from home.

#CTD2021 #BePartofResearch 

https://t.co/QwuNksucl5 https://t.co/DmWVakR6mD"
1395345426266697735,2021-05-20 11:47:28,1,1,"#translationalscience for #globalhealth goals is more urgent as demands on #healthsystems increase. 

Join our #shortcourse this June to understand the wider context for implementing #innovation in specific countries &amp; settings: https://t.co/LRPXlDCsBf
@trishgreenhalgh https://t.co/I6W4Ddqmj8"
1395311525682982915,2021-05-20 09:32:46,21,8,"This Clinical Trials Day, we celebrate the work of our trials unit staff, and asked them what makes them proud to be part of primary care clinical trials research at @UniofOxford @OxfordMedSci 

#CTD2021 #BePartofResearch #PRINCIPLETrial

Read more: https://t.co/QwuNksucl5 https://t.co/t5sVJy5kZA"
1394662100090376195,2021-05-18 14:32:10,25,11,"Let's BEAT heart failure together!

#Heartfailure team authors, @clarejtaylor &amp; @iamnickevans , proposes using the acronym, 'BEAT', as a way of recognizing symptoms of heart failure &amp; raising awareness to improve #patientcare:  https://t.co/GZpzjSjfFQ

Published in @BJGPOpen"
1394222108452982788,2021-05-17 09:23:48,1,2,"Research during #covid19: interrupted or invigorated?

Members of our Interdisciplinary Research in Health Sciences group (IRIHS), reflect on how their work has changed during the pandemic. Read blog here &gt; https://t.co/GKSyL3zgvk

#researchmethods #primarycare"
1392500141354008581,2021-05-12 15:21:19,61,2,Many congratulations to Primary Health Care DPhil student Georgia Richards who passed her viva today with minor corrections! 🥳 https://t.co/aaXllEUHx3
1392498565621092354,2021-05-12 15:15:04,13,3,"Heather Rutter, Senior Clinical Research Nurse, had this to say about our nursing team this #nursesday:

https://t.co/HCCg8LkBnf https://t.co/CpJkPGBkzm"
1392479764678680576,2021-05-12 14:00:21,8,1,"This #nursesday we asked Clinical Research Nurse Bernadette Mundy what attracted her to nursing and what it means to her:

https://t.co/HCCg8LkBnf https://t.co/PJQ5ridvXG"
1392461106728292352,2021-05-12 12:46:13,7,1,"A #nursesday message from Emma Obgurn, Operational Director of our Clinical Trials Unit, thanking our researcher nurses:

https://t.co/HCCg8LkBnf https://t.co/uJcs27gYxL"
1392438200644288520,2021-05-12 11:15:11,9,3,"For #nursesday we asked Clinical Research Nurse, Karen Madronal-Thornton what she’s learnt over a difficult year:

https://t.co/HCCg8LkBnf https://t.co/iKqGolFQ7l"
1392426634091900930,2021-05-12 10:29:14,10,2,"A #nursesdaymessage from Prof Chris Butler, co-chief investigator for the @trialPRINCIPLE,thanking our research nurses:

https://t.co/3UQ7moBwXU https://t.co/5b4NixsQGu"
1392411523423903745,2021-05-12 09:29:11,8,2,"For #nursesday we asked some of the research nurses we work with what they’ve learnt over the last year

https://t.co/HCCg8LkBnf https://t.co/4gNsj9MLYW"
1392370474508865537,2021-05-12 06:46:04,10,5,"A huge #THANKYOU to nurses everywhere on #NursesDay but especially to those of you we’ve worked with. Without you our research wouldn’t be the success it is!

https://t.co/HCCg8LkBnf https://t.co/unI11luM3T"
1387676741074882564,2021-04-29 07:54:51,4,1,"📢New study published in @TheLancetEndo shows potential link between bodyweight and risk of severe COVID-19, especially for younger adults

📰👉https://t.co/NXmDXO6t28

🔎👉https://t.co/HQVltmqtZb"
1387402010425712641,2021-04-28 13:43:10,1,1,"Cultural settings contribute to people's health &amp; wellbeing. 

With a focus on older people, in the context of #COVID19, the Oxford #Socialprescribing Research Network, locates data sources for a rapid #realistreview to explore this further: https://t.co/wgTxkikkQK
@ahrcpress"
1387344102019239936,2021-04-28 09:53:04,3,1,Great article by two great members of our department. https://t.co/zFFxxCrA2G
1386972793586262018,2021-04-27 09:17:37,2,1,"Oxford study, published in the @BMCMedicine, has identified foods associated with an increased risk of #cardiovasculardisease and death in middle-age. See full story: https://t.co/1Y3PI8DEvP

#primaryhealthcare #healthcare"
1386655465405362179,2021-04-26 12:16:40,0,1,"What has #COVID19 taught us about #leadership in #healthcare?

Join senior alumni for *free* webinar, Friday 14 May 21, 1-2pm, to learn about our new MSc, designed to develop experienced leaders with the skills to deliver affordable, effective healthcare https://t.co/szlVLgJe42 https://t.co/WrEyDaFevO"
1385206205052854276,2021-04-22 12:17:49,7,3,Birmingham City University are encouraging local residents to join the PRINCIPLE trial to help find treatments for Covid-19 at home. https://t.co/cPd783hwSM
1384819999756455938,2021-04-21 10:43:11,1,1,"Don’t miss: upcoming short online course in #translationalscience and #globalhealth.

Improve translation for global health goals by addressing wider contexts for #innovation implementation in specific countries &amp; settings, 14-18 June 2021: https://t.co/LRPXlDCsBf https://t.co/RSZLIw6Fv9"
1384452083261140996,2021-04-20 10:21:13,9,11,"Interested in using an app to help you buy healthier foods when shopping?

Oxford researchers have developed smartphone app, enabling you to scan &amp; track supermarket foods. We're looking for paid volunteers to test it out over six weeks: email swapshop@phc.ox.ac.uk to take part https://t.co/tiYpT2OFtV"
1384101929219878915,2021-04-19 11:09:49,1,2,"What do we need from #healthcareleaders? What lessons have we learnt from the #covid19pandemic? 

Join free webinar, Friday 14 May 21, 1-2pm, and learn more about the new MSc in #Globalhealthcare #leadership from senior alumni in #healthcare. Sign up now: https://t.co/szlVLgrCFs https://t.co/NR2m9DLjnc"
1384078417620996100,2021-04-19 09:36:24,2,2,"Research from the Oxford Social Prescribing Research Network, funded by @ahrcpress, focuses on developing programme theory that uses #culture to support the #wellbeing of older people during the #covid19 pandemic: https://t.co/mZxhSgzEDJ
@Tierney_SJ #socialprescribing"
1383009633476968450,2021-04-16 10:49:26,24,19,"In a new assessment in @TheLancet, Trish Greenhalgh and colleagues explore 10 scientific reasons in support of airborne transmission of SARS-CoV-2. 

@trishgreenhalgh #covid19 #transmission 

Paper: https://t.co/NBzxW7wamw
News story: https://t.co/77c0gP8fty"
1382989553657597956,2021-04-16 09:29:38,6,6,"Gail Hayward, a GP and Associate Professor, reacts to news from the PRINCIPLE trial that inhaled budesonide can speed up recovery time from COVID-19 when given to patients at home.

#PRINCIPLEtrial #GPnews

https://t.co/nTBxI5Iu0u https://t.co/e7auSXvnn0"
1382665064994516998,2021-04-15 12:00:14,4,3,"Dr Gemma Hughes, Health Services Researcher, writes about research looking into the experiences of patients trying to access health and care services via video.

@GemHughes @SaraShawX2 @HealthFdn 

https://t.co/NJZsbrkydr"
1382639848767508484,2021-04-15 10:20:02,36,9,"PRINCIPLE trial Joint Chief Investigator, Professor Chris Butler, thanks all those patients who volunteer to take part in the PRINCIPLE trial, which has found the UK's first effective COVID-19 treatment for recovery at home.

#PRINCIPLEtrial #gpnews

👉https://t.co/nTBxI5Iu0u https://t.co/qpjGtky3J4"
