id,created_at,favorite_count,retweet_count,text
1393233692902965250,2021-05-14 15:56:12,50,17,"We all have a part to play in keeping our families and communities safe. 

If you're seeing friends and family this weekend, follow the guidance and remember Hands, Face, Space, Fresh Air.

More info: https://t.co/jjTlOoSJyJ

@DrAmirKhanGP 
#HandsFaceSpaceFreshAir https://t.co/Bv1dSoy1wc"
1393228366753456132,2021-05-14 15:35:02,18,5,"There have been over 3.3 million completions of our #EveryMindMatters Mind Plan since its launch. 

Click here to get your own personalised plan with tips to take care of your mental health: https://t.co/AGVRGC0c5M

#MentalHealthAwarenessWeek https://t.co/86rCuRBNqI"
1393220487002611714,2021-05-14 15:03:43,93,26,"The #COVID19 Dashboard has been updated: https://t.co/XhspoyTG79

On Fri 14 May, 2,193 new cases and 17 deaths within 28 days of a positive test were reported across the UK.

36,115,955 people have now received the first dose of a #vaccine. 19,319,010  have received a 2nd dose. https://t.co/wAVsJMKFvf"
1393211790121750535,2021-05-14 14:29:10,16,15,".@DHSCgovuk are seeking views to help inform the development of the government’s Women’s Health Strategy.

Our Medical Director, Prof Yvonne Doyle, explains why it's really important to have your say about your experience of health &amp; care.

More info: https://t.co/mkYlCBmE3g https://t.co/sQReZFZQ4P"
1393193886571536389,2021-05-14 13:18:01,30,6,"Congratulations to Dr Thomas Waite who's been appointed as interim deputy chief medical officer for England. 

We look forward to working together in the coming months.
https://t.co/xX7FOJsOWV"
1393179603263438851,2021-05-14 12:21:16,26,9,"NEW: Study finds that personal digital health prompts have small positive effects in smoking, alcohol and combined diet &amp; physical activity interventions – with mobile prompts particularly effective.

See the study here: https://t.co/PO7DXczG27

@jmirpub"
1393167526301949953,2021-05-14 11:33:16,13,7,"#ICYMI: Our new data indicates that #COVID19 #vaccines have now prevented 33,000 hospitalisations and 11,700 deaths in older adults.

Read more about the analysis here: https://t.co/mApy2jKpcO https://t.co/YEY9rkJxB4"
1393138520705880067,2021-05-14 09:38:01,35,26,"Today we've published new guidance on cervical screening to support people who feel anxious about attending their smear test.

See the guidance here: https://t.co/9mJwRQrlna https://t.co/cjmLSwhT3Z"
1393132210220408832,2021-05-14 09:12:56,32,12,"Our Head of Immunisation, Dr Mary Ramsay, explains that getting your #COVID19 vaccine could save your life or stop you becoming seriously ill.

Make sure you get both doses of your #vaccine when they are offered to you.

Find out more about the vaccine: https://t.co/0uMqooTSkq https://t.co/LDC3HbdpGW"
1393130158920450051,2021-05-14 09:04:47,242,86,"NEW: Our latest analysis indicates that the #COVID19 vaccination programme prevented 11,700 deaths in those aged 60+ in England up to the end of April.

It also suggests that at least 33,000 hospitalisations were prevented in those aged 65+ in England.
https://t.co/mApy2jKpcO"
1393117642580500480,2021-05-14 08:15:03,33,5,"#ICYMI: Yesterday we published our weekly #COVID19 surveillance report.

This graph shows the increase in COVID-19 vaccination uptake for the second dose since the rollout began.

See the full report here: https://t.co/8dYt9zEVk9 https://t.co/mwMLRLanTl"
1392924161790578690,2021-05-13 19:26:14,61,53,"We have updated our data on the UK total distribution of #COVID19 variants

See the data here: https://t.co/JvZC4DketK https://t.co/DV2qT1hSBb"
1392869020685193217,2021-05-13 15:47:07,43,33,"Feeling low, anxious or struggling to sleep? 

Make time for your mental wellbeing this #MentalHealthAwarenessWeek. 

Visit #EveryMindMatters to get a free, personalised mental health action plan with simple tips to get you started: https://t.co/AGVRGC0c5M https://t.co/8NA60l4lj4"
1392857969310801921,2021-05-13 15:03:12,99,37,"The #COVID19 Dashboard has been updated: https://t.co/XhspoyTG79

On 13 May, 2,657 new cases and 11 deaths within 28 days of a positive test were reported across the UK.

35,906,671 people have now received the first dose of a #vaccine and 18,890,969 have received a 2nd dose. https://t.co/QjahMOJrbF"
1392837628244873221,2021-05-13 13:42:22,16,10,"Responding to our weekly #COVID19 surveillance report, our Medical Director, Dr Yvonne Doyle, emphasises the importance of limiting social contacts and following the 'hands, face, space, fresh air' guidance ahead of the lifting of some restrictions on Monday: https://t.co/cgkWlmqGu8"
1392835315711188992,2021-05-13 13:33:11,88,35,"Our latest data shows that in many age groups, over 90% of people have received their first #COVID19 vaccine dose.

This graph shows the progress of the vaccination rollout since it began last year, with solid lines representing first doses &amp; dashes representing second doses. https://t.co/ibWaCzZRWd"
