id,created_at,favorite_count,retweet_count,text
1395317042983604227,2021-05-20 09:54:41,12,3,"This is where we share the latest news on #MESAS and the #MUPEvaluation is available here. 

Look out for findings from the annual MESAS Monitoring Report 2021, and the next two studies from the evaluation of MUP, due to be published next month. 

#Alcohol  #ImproveHealth https://t.co/6awKk98CJX"
1394927196016418816,2021-05-19 08:05:34,6,8,"The #COVID19 vaccine can be given at any stage during pregnancy. If you are pregnant, you should discuss the risks and benefits of getting the vaccine with your clinician.

➡️For more info visit - https://t.co/PjN579dl3u https://t.co/qymZyYmHh7"
1394701756546928647,2021-05-18 17:09:45,9,5,"The COVID-19 vaccine is our best way out of the pandemic so please get your vaccine when invited. 

For more information, visit ➡ https://t.co/xljMl6bgjy

#RollUpYourSleeves https://t.co/gWWe3YcgIX"
1394606969294622722,2021-05-18 10:53:06,14,14,"If you are feeling a little overwhelmed as life starts to get busy again, there are some simple, practical things you can do that can help.

Find tips at https://t.co/J1a0Wuube9 https://t.co/tG4Giekb01"
1393199873378369537,2021-05-14 13:41:48,4,3,"This is where we share the latest news on #MESAS and the #MUPEvaluation.

Look out for findings from the annual MESAS Monitoring Report 2021, and the next two studies from the evaluation of MUP, due to be published next month.

#Alcohol #ImproveHealth https://t.co/EAE1Ag5p6w"
1393171285098762240,2021-05-14 11:48:12,33,18,"Together with @COSLA and @sportscotland we have produced a paper which explains how local government is a key player in helping individuals and communities to be more physically active. 

Read more here: 
https://t.co/Ad38vthMQ7

#ImproveHealth https://t.co/jm4xULPJzL"
1393127995083300866,2021-05-14 08:56:11,20,9,"Why not use your local park for a daily dose of physical activity and mental refreshment? Even in a 'Scottish summer' our parks, paths and outdoor spaces can bring great physical and mental health benefits 🏃🚶🧠🌳🪑 

#GreenHealthWeek #MentalHealthAwarenessWeek https://t.co/o1ZDm9Vm7g"
1393124812340477952,2021-05-14 08:43:32,0,1,"This week’s dashboard update also includes data from the at home testing programme using LFDs for ELC staff. It shows the number of tests taken overall and weekly, as well as the rate of uptake and the outcome of the tests. 

➡️https://t.co/grrMTg8h4O"
1393124810608324608,2021-05-14 08:43:32,3,4,"Our #COVID19 education dashboard now features a new map on LFD testing uptake rates across all local authorities for school staff and S1-S6 pupils. Data for up to 6 areas can also be compared.

➡️https://t.co/grrMTg8h4O https://t.co/6cd8ycM13H"
1393117945384026114,2021-05-14 08:16:15,9,8,"All Scottish adults who have had a positive #COVID19 test since the pandemic began, and a sample group who have tested negative, are invited to take part in the new Covid in Scotland Study (CISS). We are a partner in this ambitious research study.

➡️https://t.co/pkI0G9aDWM https://t.co/XoZhWf2110"
1392754247612108804,2021-05-13 08:11:03,93,56,"💻🎉Our Health Inequalities Learning Hub is now open. It gives an overview of the link between discrimination, inequalities and #HealthInequalities.

Learners can access the learning hub and self-enrol onto the PHS Virtual Learning Environment here: https://t.co/lekEMgErdV https://t.co/Mrkt7ukRcK"
1392507243720028167,2021-05-12 15:49:33,6,2,"For more information on the right to health in Scotland, and Public Health Scotland’s commitment to it being realised, see here 👇 https://t.co/XIMm9O4sey https://t.co/rDajwIQiuM"
1392467840821874688,2021-05-12 13:12:58,47,27,"A major nationwide #COVID19 study launched today in Scotland to understand the long-term health of people who have had coronavirus. 

We are delighted to partner with @UofGlasgow and @CSO_Scotland on this project.

Find out more➡️https://t.co/pkI0G9aDWM https://t.co/d6j5y8mheh"
1392098987633741825,2021-05-11 12:47:17,86,36,"Coming soon!⏰

The #HealthInequalities Learning Hub will be available this week. It’s a free, practical resource for those interested in learning about health inequalities in Scotland. 

Follow us for all updates on public health workforce e-learning modules. 

#ImproveHealth https://t.co/tVGnq35AQr"
1392064814671962119,2021-05-11 10:31:29,6,4,"#LDWeekScot2021 is a chance to focus on the lives &amp; relationships of people with learning disabilities. The #COVID19 vaccine is a way for everyone to get back to the things we've all missed. If you're unsure what to expect when you go, watch our video: 
✅https://t.co/rsp4CIN4zc https://t.co/FY1znBvqR5"
1392046636700995585,2021-05-11 09:19:15,7,3,"If you’re worried you might have cancer, see your GP and get checked out. The earlier cancer is diagnosed the better your chances of successful treatment.

Read more about the latest cancer incidence figures for Scotland, published today: https://t.co/onnoUWpyuH https://t.co/zh4ZqJqn4y"
1391765027657486340,2021-05-10 14:40:14,5,7,"Over 50s, adults with certain underlying health conditions and unpaid carers are all prioritised for the #COVID19 vaccine. 

If you’re in a high priority group and have still to get your vaccine, visit https://t.co/LbSxBZLY3g or call 0800 030 8013 https://t.co/yriRb2Q7Mx"
1391714659649134592,2021-05-10 11:20:06,15,10,"COVID-19 may have led to more uncertainty in people’s lives, but challenges to our mental health &amp; wellbeing have always been present. This #MentalHealthAwarenessWeek we recognise the established benefits of being active outdoors and social interaction.

➡️https://t.co/1cZc9eOuSB https://t.co/E4Hwm39Wrg"
1390596881609277443,2021-05-07 09:18:27,5,4,"This week our #COVID19 education surveillance dashboard includes an update on data for S1-S3 pupils from the LFD testing programme. It shows the number of tests taken overall and weekly, as well as the rate of uptake and the outcome of the tests.

https://t.co/grrMTg8h4O https://t.co/6dHJZeH1Ei"
1389135949469294593,2021-05-03 08:33:13,4,4,"CASS is still ongoing, it’s not too late to take part!

Please continue to share the link to encourage sign up. Thanks for your support to help us better understand #COVID19 in education staff. https://t.co/UYdjUB8snw https://t.co/jFURyWGOTb"
1388091916802215936,2021-04-30 11:24:37,1,2,"Free webinar! How do we restart our community services safely?
Join @FifeCouncil, @scvotweet, @P_H_S_Official and @SCDC_Org to:
✅ Find out the key steps
📝 Get information and advice
👏 Share learning and key practice
📆 12th May 2021 2pm - 3pm.
https://t.co/bWCWKujM8H"
1388072471996338178,2021-04-30 10:07:21,10,8,"The HPV vaccine is offered to both boys and girls in Scotland.

Evidence shows that the HPV vaccine helps protect both boys and girls from HPV-related cancers. For more information visit https://t.co/qQC9n6olQ6 

#EIW2021 #VaccinesWork https://t.co/apSZipJ2HT"
1388058927162605570,2021-04-30 09:13:31,2,1,"Our Education Surveillance dashboard is updated weekly and presents data on #COVID19 in children and young people of educational age, education staff and education settings. 

View it here https://t.co/grrMTg8h4O https://t.co/2BIpSQ0aCu"
1387390344657051652,2021-04-28 12:56:49,9,3,"Our #COVID19 seroprevalence dashboard is updated weekly and estimates the proportion of the population in Scotland who have developed antibodies. The data is broken down by age, gender and NHS health board. 

View the latest dashboard at https://t.co/N3Y82Vo4B4 https://t.co/5OIRCd5cBi"
1387048201564291086,2021-04-27 14:17:16,0,0,"@janedrobinson @angela_phs Hi Jane, thank you for your interest in CASS. Please email us at phs.covid-19@phs.scot and we’ll look into this. 

We encourage you to try signing up again as all participants must sign up and complete the questionnaire every 4 weeks in order to receive a monthly testing kit."
1387037835702673412,2021-04-27 13:36:04,8,13,"Do you currently work in an education setting? We need your help to identify the portion of staff that have already had coronavirus by testing for antibodies using an easy at home kit. 

Sign up for the #COVID19 Antibody Survey here: https://t.co/UYdjUAQQYW https://t.co/fP7DE8PQ4a"
1387012117384077313,2021-04-27 11:53:52,0,0,@BreadnerSu @angela_phs @LindaBauld Hi Su - yes they can. We appreciate participation from all education staff across both state and independent schools.
1385522592845533187,2021-04-23 09:15:02,8,9,"Our Education Surveillance dashboard is updated weekly and presents data on #COVID19 in children and young people of educational age, education staff and education settings. 

View it here: https://t.co/grrMTg8h4O https://t.co/XXWFhFh0P7"
