id,created_at,favorite_count,retweet_count,text
1395635546630799360,2021-05-21 07:00:18,7,10,"How can we protect ourselves from new Coronavirus variants?

The WHO has classified the variant first found in India last year as a ‘variant of global concern’.

Dr Catherine Moore explains that, while new variants are a concern, the way we prevent infection hasn’t changed. https://t.co/qRIZT01Yvt"
1395333546655485952,2021-05-20 11:00:16,73,28,"The rapid COVID-19 surveillance dashboard has been updated:

💻 https://t.co/zpWRYSUbfh
📱 https://t.co/HSclxpZjBh https://t.co/105Vw5SUt7"
1395273159201460228,2021-05-20 07:00:18,9,12,"When should you self-isolate and for how long? 

Dr Eleri Davies, Coronavirus Incident Director at Public Health Wales, explains 👇

Full video: https://t.co/OEg8LTSonb https://t.co/bBNpSlQ8cL"
1394971267682521088,2021-05-19 11:00:42,100,29,"The rapid COVID-19 surveillance dashboard has been updated:

💻 https://t.co/zpWRYSUbfh
📱 https://t.co/HSclxpZjBh https://t.co/7BmbdWQLeV"
1394956010071199745,2021-05-19 10:00:04,10,10,"The World Health Organization has classified the Coronavirus variant first found in India last year as a ‘variant of global concern’.

We asked Dr Catherine Moore, Consultant Clinical Scientist at Public Health Wales, why viruses change over time. 

Here’s her reply 👇 https://t.co/9pSF01Xzbr"
1394608756164542464,2021-05-18 11:00:12,143,39,"The rapid COVID-19 surveillance dashboard has been updated:

💻 https://t.co/zpWRYSUbfh
📱 https://t.co/HSclxpZjBh https://t.co/Rz7VxOuNVG"
1394291686172467212,2021-05-17 14:00:17,33,18,New evidence continues to show vaccination is highly effective in protecting against death and hospitalisation from Coronavirus: https://t.co/jG40rhmAdq
1394284528521392129,2021-05-17 13:31:50,3,5,"Band 7, Senior Public Health Practitioner 👉https://t.co/S6Ae3mAAoZ

Band 8a, Principal Public Health Practitioner 👉
https://t.co/q1m2mCep9Y  

Band 8a, Principal Public Health Practitioner👉
https://t.co/nSEbTBTKFT"
1394284458417823746,2021-05-17 13:31:34,15,7,"We have an exciting opportunity to develop a systems-working approach to tackling obesity across the nation.
If you are able to motivate and mobilise others to act and have a passion to drive partnerships, then one of these new roles could be perfect for you. Links below 👇 https://t.co/oY68jVjEk8"
1394246375785775104,2021-05-17 11:00:14,70,31,"The rapid COVID-19 surveillance dashboard has been updated:

💻 https://t.co/zpWRYSUbfh
📱 https://t.co/HSclxpZjBh https://t.co/Eggk2v5lg1"
1394186013992435714,2021-05-17 07:00:23,10,17,"Have you volunteered during the pandemic? 

If so, please share your personal experiences through this short anonymous survey: https://t.co/7PfCZq7fMg

By doing so, you'll allow us to better plan how to improve health and wellbeing in communities across Wales in the future. 🙏 https://t.co/VYZqE8qfBZ"
1394004904675532800,2021-05-16 19:00:43,17,16,"When should you self-isolate and for how long? 

Dr Eleri Davies, Coronavirus Incident Director at Public Health Wales, explains 👇 https://t.co/SLfaMI4B9Z"
1393883436302090247,2021-05-16 10:58:02,73,24,"The rapid COVID-19 surveillance dashboard has been updated:

💻 https://t.co/zpWRYSUbfh
📱 https://t.co/HSclxpZjBh https://t.co/uZywBbhlwU"
1393506501046808577,2021-05-15 10:00:14,4,6,"Local health boards have all the information you need about your Coronavirus vaccinations.

Get in touch with them if you have any queries, and they’ll be able to help you.

👉 https://t.co/N7KM1AZdgS https://t.co/s7L8vHDNQD"
1393476302116737024,2021-05-15 08:00:14,20,24,"1 in 4 adults feel low, anxious or stressed. SilverCloud Wales is a free online therapy service designed to support your mental health and wellbeing. 

Find out more and signup: https://t.co/UqTQiaFn8T

#SilverCloudWales
#MentalHealthAwarenessWeek https://t.co/SIBGDOLKZJ"
1393280153032265728,2021-05-14 19:00:49,5,4,"This #MentalHealthAwarenessWeek, we’ve been discussing what’s helped us through this difficult time.

This much is clear: no one should face a mental health problem alone.

If you’re struggling to cope, @MindCymru will help you find the support you need: 0300 123 3393. https://t.co/TpCbNaYLbB"
1393159211404644356,2021-05-14 11:00:14,110,32,"The rapid COVID-19 surveillance dashboard has been updated:

💻 https://t.co/zpWRYSUbfh
📱 https://t.co/HSclxpZjBh https://t.co/eIPR1modOE"
1392872300647702531,2021-05-13 16:00:09,4,4,"Do you or your family need information about getting the Coronavirus vaccine?

Get in touch with your local health board who will be able to help you.

👉https://t.co/N7KM1AZdgS https://t.co/zZ7gBHkWI3"
1392796849090744323,2021-05-13 11:00:20,54,28,"The rapid COVID-19 surveillance dashboard has been updated

💻 https://t.co/zpWRYSUbfh
📱 https://t.co/HSclxpZjBh

Read our daily statement here: https://t.co/u6SKHz0zsG https://t.co/buNccFxUCh"
1392787648595513351,2021-05-13 10:23:46,3,2,"Are you worried about your finances? 

Call @CABCymru on 03444 77 20 20 or visit https://t.co/blGgRMhrVj

You are not alone. Support is available. 

#MentalHealthAwarenessWeek https://t.co/dhoQrGNdNY"
1392787643155558402,2021-05-13 10:23:45,5,3,"Are you LGBT+ and in need of support?
 
Call the @LGBTCymru helpline: 0800 8904021

Make use of @StonewallCymru's resources: https://t.co/WcRmHXpkHv 

Search for a group in your area via @umbrellacymru: https://t.co/xnLMazSsWw 

#MentalHealthAwarenessWeek https://t.co/g9DXgQSBQJ"
1392787637753233410,2021-05-13 10:23:44,0,0,"Do you have a disability? Are you in need of support?

These charities may be able to help:

@DisabilityWales: call 029 20887325 or visit https://t.co/eGQdRnmOvb

@scope: call 0808 800 3333 or visit https://t.co/oz5HmQMv7Y

#MentalHealthAwarenessWeek https://t.co/CSA7l6qvaz"
1392787632048984064,2021-05-13 10:23:42,0,0,"Are you a refugee or asylum seeker in need of support? You can contact @welshrefcouncil. 

Call: 0808 196 7273 
ℹ️ https://t.co/HaMRwd55XP  

#MentalHealthAwarenessWeek https://t.co/xgOMYpzjYy"
1392787626097356801,2021-05-13 10:23:41,0,0,"If you come from a Black, Asian or ethnic background, you can get tailored support from the BAME Helpline Wales.

Call: 0300 2225720 
Text: 07537 432416 
ℹ️ https://t.co/cgJCF1lfHZ

#MentalHealthAwarenessWeek https://t.co/KTFUS5zyyS"
1392787620346880001,2021-05-13 10:23:40,2,1,"If you're a young person in need of support, you can contact:

@meiccymru: call 080880 23456 or text 84001
@YoungMindsUK: text YM to 85258
@childline: call 0800 1111

#MentalHealthAwarenessWeek https://t.co/Zd96gf8kOB"
1392787614919430145,2021-05-13 10:23:38,3,2,"If you're struggling to cope, you can contact:

@SamaritansCymru: 116 123
@CALL_247: 0800 132 737 
@Papyrus: 0800 068 4141 
@MindCymru: 0300 123 3393  

You are not alone. Support is available. 

#MentalHealthAwarenessWeek https://t.co/x8KPK5LYYe"
1392787609483677705,2021-05-13 10:23:37,9,10,"Are you suffering from stress or anxiety? 

This is a difficult time for many, but support is available.

A thread for #MentalHealthAwarenessWeek 👇 https://t.co/cU1nUQcrht"
1392736536047890432,2021-05-13 07:00:40,21,7,"#EidMubarak to those who have observed the month of Ramadan. 

Thank you to our partners British Islamic Medical Association (BIMA) in Wales for helping to provide information on COVID-19 vaccination and observing Ramadan safely.

https://t.co/TibPIuHjBg https://t.co/TvVzXxw1RG"
1392525202488168448,2021-05-12 17:00:54,11,14,"This #MentalHealthAwarenessWeek, staff from Public Health Wales have been talking about their wellbeing.

Mindfulness is one tool that has helped some cope with stress and anxiety.

ACTivate Your Life is a free course that can make a big difference: https://t.co/s9E7GZY6I6 https://t.co/Jo603QNnwy"
1392510285722918918,2021-05-12 16:01:38,26,20,"Pregnant women in Wales can now be offered a COVID-19 vaccine. 
 
More info: https://t.co/4elRtn3NeW https://t.co/PqTTHKCgXY"
