id,created_at,favorite_count,retweet_count,text
1395680773995470853,2021-05-21 10:00:01,1,2,More than 20 million adults across the UK have been vaccinated with both doses of a COVID-19 jab. This is the largest vaccination programme in British history. 🇬🇧 https://t.co/4mU8Lx72U6
1395655223868379138,2021-05-21 08:18:30,8,11,"In less than 6 months #TeamUK will host world leaders in Glasgow to lead the world in building a cleaner, greener future. #TogetherForOurPlanet https://t.co/Wf0AuDSwek"
1395332578287226881,2021-05-20 10:56:25,9,7,"The UK Government is providing COVID testing at 56 walk-in and drive-through sites across Scotland. 

Lateral Flow Test Kits can also be picked up at the majority of testing sites from 3.30pm each day. 

#DeliveringForScotland

https://t.co/Z0sJVsT9M8"
1395303627254865923,2021-05-20 09:01:22,98,20,"Well done to Emma from Edinburgh for winning the #CreativeEarth art competition! Not only will her artwork be on display @COP26 in Glasgow this November, but she also celebrated the six months to go event with COP26 President @AlokSharma_RDG. @George_Heriots https://t.co/OJuOSjBM19"
1395024442997235715,2021-05-19 14:32:00,74,32,"60 UK Government jobs are moving to Edinburgh as part of the Department for Business, Energy and Industry Strategy's shift to sites across the UK.  👇 https://t.co/luHlSRed8j"
1394971093824327681,2021-05-19 11:00:00,8,5,🏴󠁧󠁢󠁳󠁣󠁴󠁿 distilleries are cutting carbon and trialling low-carbon hydrogen to produce their iconic spirits thanks to UK Government funding. Keep up to date with UK Government green distillery project updates: https://t.co/hbWdNTZrNe #TogetherForOurPlanet https://t.co/owzlETapyh
1394955998515789825,2021-05-19 10:00:01,8,4,"Every vaccination gives us hope.

Join the millions already vaccinated to protect yourself and others. https://t.co/K0sCzTmzad"
1394940899801587714,2021-05-19 09:00:01,113,65,"The UK Government is providing COVID testing at 56 walk-in and drive-through sites across Scotland. 

Lateral Flow Test Kits can also be picked up at the majority of testing sites from 3.30pm each day. 

#DeliveringForScotland

https://t.co/Z0sJVsT9M8"
1394623804404641793,2021-05-18 12:00:00,39,6,💪 We are stronger and safer when we work together. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland plays a vital role in the combined defence and security of the UK 🇬🇧.  #IntegratedReview https://t.co/xQjiE6JuRe https://t.co/gX8D431B36
1394608703781974020,2021-05-18 11:00:00,9,3,"In less than 6 months #TeamUK will host world leaders in Glasgow to lead the world in building a cleaner, greener future. #TogetherForOurPlanet https://t.co/B7XCCvirqz"
1394593605193322499,2021-05-18 10:00:00,41,15,"The UK Government is working hard to help 🏴󠁧󠁢󠁳󠁣󠁴󠁿 businesses through the pandemic. Check out our new UKG Scotland quick guide 👇, which pulls together the practical steps and info you need to apply for business support: https://t.co/ZPMuVwOatA #DeliveringForScotland #PlanForJobs https://t.co/v8hMrpir0b"
1394583603720359937,2021-05-18 09:20:15,5,3,More than 20 million adults across the UK have been vaccinated with both doses of a COVID-19 jab. This is the largest vaccination programme in British history. 🇬🇧 https://t.co/55rT40WHEh
1394288545779658753,2021-05-17 13:47:48,16,6,More than 20 million adults across the UK have been vaccinated with both doses of a COVID-19 jab. This is the largest vaccination programme in British history. 🇬🇧 https://t.co/CJZpzKXWTs
1394261424088702982,2021-05-17 12:00:02,39,19,"The UK Government is working hard to help 🏴󠁧󠁢󠁳󠁣󠁴󠁿 businesses through the pandemic. Check out our new UKG Scotland quick guide 👇, which pulls together the practical steps and info you need to apply for business support: https://t.co/ZPMuVwwzC2 #DeliveringForScotland #PlanForJobs https://t.co/ZC7P1bWM2d"
1394246316469882885,2021-05-17 11:00:00,2,1,"On International Day Against Homophobia, Biphobia and Transphobia, the UK reaffirms its commitment to promoting and protecting the rights of LGBT+ people around the world. 

Human rights are universal and should be applied equally to ALL. https://t.co/ANBkr2m0dT"
1394231224449728513,2021-05-17 10:00:02,16,12,"In less than 6 months #TeamUK will host world leaders in Glasgow to lead the world in building a cleaner, greener future. #TogetherForOurPlanet 
@COP26 https://t.co/YQlWhQWUqH"
1394208567134146560,2021-05-17 08:30:00,6,2,"With less than 50 days to go before the EU #SettlementScheme deadline, protect your family’s rights in the UK by applying to the EU #SettlementScheme by 30 June 2021. 

Apply now at: https://t.co/k5oyca5ixY https://t.co/ytx9WSxtFR"
1394202628033327105,2021-05-17 08:06:24,61,30,"The UK Government is providing COVID testing at 56 walk-in and drive-through sites across Scotland. 

Lateral Flow Test Kits can also be picked up at the majority of testing sites from 3.30pm each day. 

#DeliveringForScotland

https://t.co/ti9xiAAUws"
1393249755824893959,2021-05-14 17:00:01,6,2,"In less than 6 months #TeamUK will host world leaders in Glasgow to lead the world in building a cleaner, greener future. #TogetherForOurPlanet 
@COP26 https://t.co/29TUINs6Jq"
1393204839090372618,2021-05-14 14:01:32,71,25,"The UK Government is providing COVID testing at 55 walk-in and drive-through sites across Scotland. 
Lateral Flow Test Kits can also be picked up at the majority of testing sites from 3.30pm each day. 

#DeliveringForScotland 

https://t.co/EfdXQAA3eW"
1393164345287249923,2021-05-14 11:20:38,7,5,"Every vaccination gives us hope.

Join the millions already vaccinated to protect yourself and others. https://t.co/1CH8vuNNzS"
1393135304790380544,2021-05-14 09:25:14,55,28,"In less than 6 months #TeamUK will host world leaders in Glasgow to lead the world in building a cleaner, greener future. #TogetherForOurPlanet @COP26 https://t.co/upRw3usYoX"
1392796767830302721,2021-05-13 11:00:01,4,2,"A £7 million #UKGlobalScreenFund will help bring UK independent screen content to a 🌍 stage.  

@BFI | #HereForCulture | #PlanForJobs

https://t.co/wejd1j6NnC https://t.co/xgaHpZbPvG"
1392781665815072768,2021-05-13 10:00:00,5,2,"50,000 UK homes are getting an upgrade 🏘️

The UK Government is saving households money, reducing carbon emissions and supporting 8,000 jobs.

Find out how ⤵
https://t.co/y9RbacENnu #TogetherForOurPlanet #PlanForJobs https://t.co/uHitE4wtzG"
1392766574767972354,2021-05-13 09:00:02,4,1,"Every vaccination gives us hope.

Join the millions already vaccinated to protect yourself and others. https://t.co/KVOg7nb3qb"
1392754417254944769,2021-05-13 08:11:43,2,4,"With less than 50 days to go before the EU #SettlementScheme deadline, protect your family’s rights in the UK by applying to the EU #SettlementScheme by 30 June 2021. 

Apply now at: https://t.co/dvruZnmH48 https://t.co/uIRWO0W4us"
1392449480364945416,2021-05-12 12:00:01,1,0,"With the UK Government’s Young Innovators Award, Nina Birchard from Glasgow will be able to turn her Newborn Rescue Towel (@WrapDesigns_) from an idea into reality. This low cost emergency medical device will potentially save lives in the UK and globally. https://t.co/FaOlXtdBRA"
1392428978443624448,2021-05-12 10:38:33,65,28,"The UK Government is working hard to help 🏴󠁧󠁢󠁳󠁣󠁴󠁿 businesses through the pandemic. Check out our new UKG Scotland quick guide 👇 , which pulls together the practical steps and info you need to apply for business support: https://t.co/ZPMuVwwzC2 #DeliveringForScotland #PlanForJobs https://t.co/vFRgR1a5g8"
