id,created_at,favorite_count,retweet_count,text
1395658159969161216,2021-05-21 08:30:10,1,1,"Vaccination is the most important thing you can do to protect your community against serious illnesses.

Brechu yw'r peth pwysicaf y gallwch ei wneud i ddiogelu eich cymuned rhag afiechydon difrifol.

Read more 👇🏼
https://t.co/8Lq5cARlH1 https://t.co/5Ty5AyARQ8"
1395462230418804736,2021-05-20 19:31:36,9,6,"Earlier today Welsh Secretary @SimonHartMP laid out the UK Government’s #PlanForWales, focusing on jobs, livelihoods and sustainability in the coming years.

The full Plan for Wales has now been published. Read it here 🏴󠁧󠁢󠁷󠁬󠁳󠁿⬇️🇬🇧
https://t.co/In0Si0cmvx https://t.co/NYzJoJbD8k"
1395409360852033544,2021-05-20 16:01:31,0,0,"Ymunwch â'r ymdrech i gefnogi pobl ifanc yng Nghymru i gael gwaith gyda #Kickstart. 

Gwnewch gais yma: https://t.co/cm50cR7MRv https://t.co/QZyePOn6Bl"
1395409321157173253,2021-05-20 16:01:22,0,0,"Join the effort to support young people in Wales into employment with #Kickstart. 

Apply today at: https://t.co/zi1hWppYSm https://t.co/nK12tiGHJk"
1395370283431780352,2021-05-20 13:26:14,1,2,"📺WATCH

Secretary of State for Wales @Simonhartmp will deliver the UK Government’s #PlanForWales live at 3PM⬇️ https://t.co/yPIdaRcUDl"
1395356219318185989,2021-05-20 12:30:21,0,0,"RYDYN NI’N CYFLOGI💼
 
Mae swydd wedi agor i Olygydd Cyfryngau Cymdeithasol a Ddigidol i ymuno â’r tîm, naill ai yng Nghaerdydd neu Lundain. 

⏰ Dyddiad cau: 1 Mehefin

Mwy am y swydd yma: https://t.co/X5GVOssxpv https://t.co/i3C9azIUGR"
1395356176645345281,2021-05-20 12:30:11,0,0,"WE’RE HIRING💼 

A vacancy has opened for a Social Media and Digital Editor to join the team, either in Cardiff or London.

⏰ Closing date: 1 June

More about the job here: https://t.co/lyAR5CxPrR https://t.co/rdErcCB69E"
1395334132553732096,2021-05-20 11:02:35,0,0,"Your question could be asked at a UK Government coronavirus press conference if it’s selected by an independent polling company ⬇️

Visit https://t.co/5uL3ZnjoC9 to submit your question
Ewch i https://t.co/d6Mg7Ksd98 i ofyn eich cwestiwn https://t.co/kdrTx6lgwS"
1395329100257107970,2021-05-20 10:42:36,46,23,"Secretary of State for Wales @SimonHartMP will today be laying out the UK Government’s #PlanForWales which will look ahead to the UK Government’s aims and ambitions for Wales in the coming years.

Watch his speech live here at 3pm. 
 https://t.co/7QJWkGuST1"
1395288590553387009,2021-05-20 08:01:37,0,0,Oes angen cefnogaeth ariannol arnoch? Rhowch gynnig ar ein Gwiriwr Budd-daliadau defnyddiol i weld beth y gallech wneud cais amdano. Mae'r meini prawf cymhwysedd yn berthnasol. https://t.co/lPXbxLmT3E https://t.co/LzCz2AKenl
1395288571792211977,2021-05-20 08:01:33,0,0,Need financial support? Try our handy Benefits Checker to see what you could apply for. The eligibility criteria applies. https://t.co/NHivf88WYe https://t.co/Uy4yLrjCJy
1395020273812918287,2021-05-19 14:15:26,0,0,"Gyda llai na chew mis tan #COP26, hoffwn gynnwys pawb yn y sgwrs am hinsawdd.

Dyna pam y lansiwyd #TogetherForOurPlanet, i ddathlu gweithredu ar #climatechange o bob rhan o#r DU.

Gwelir sut y gallwch gymryd rhan yma: https://t.co/HD3MlQ7tTN https://t.co/gFn1aMR87B"
