id,created_at,favorite_count,retweet_count,text
1395425604581961729,2021-05-20 17:06:04,59,23,"If no action is taken to address plastic production/consumption, the cumulative amount of plastic in the world’s oceans could increase to 600 million tonnes within 20 years. 

Oxford research shows there is no time to waste. 

Read more ⬇️  #TruePlanet
https://t.co/yKqr6ipJdf"
1395399413980438540,2021-05-20 15:22:00,109,25,"Did you know? Around the world, there are more than 20,000 species of bees! 🐝

#WorldBeeDay"
1395385069703999496,2021-05-20 14:25:00,89,32,"🎬| The #RECOVERYTrial is the world's largest COVID-19 drug trial. 

Thanks to the work of RECOVERY, patients hospitalised with severe #COVID19 now have two treatments that are known to improve survival. 

Find out all you need to know about the trial ⬇️

#ClinicalTrialsDay https://t.co/IUAo9FcEr1"
1395348589799518212,2021-05-20 12:00:02,79,20,"Oxford University will host the 2021 @G7 Health Ministers’ Meeting in early June.

The event will see ministers from the world’s leading democracies come together to agree on life-saving action in critical areas of global health.

Learn more ⬇️"
1395347361371758595,2021-05-20 11:55:09,0,0,@Prez_of_witch We hope you found this tip useful!
1395325950867484678,2021-05-20 10:30:05,30,10,"Why you should test twice a week:

🔒To protect our community
🚨 To catch cases as early as possible
⏲ It’s quick and easy
🎁 There’s a chance to win prizes!

Even if you don’t have symptoms, you might have COVID and be at risk of infecting others.

➡️  https://t.co/vmdt54ark8 https://t.co/a4RaJmwmSX"
1395309679920750592,2021-05-20 09:25:25,1,0,@kathfarrell We're glad you found the hacks useful!
1395303707470962690,2021-05-20 09:01:42,1,0,@KatieGHannon You learn something new every day! 😄
1395302783956492289,2021-05-20 08:58:01,0,0,@OlicityGra Thanks for your kind words!
1395302582927699970,2021-05-20 08:57:13,1,0,@sisslev At least you know now! 😃
1395302292237266946,2021-05-20 08:56:04,1,0,@muge_tweet This is great to hear! 👏
1395302176415682561,2021-05-20 08:55:36,1,0,@GosettiV We're glad you found this tip useful!
1395301698185404416,2021-05-20 08:53:42,1,0,@jabberwocky888 At least you know now! 😄
1395301296844988418,2021-05-20 08:52:07,0,0,@LouisaD62 We're glad this has helped a little!
1395293198487011330,2021-05-20 08:19:56,1,0,@colliemix You learn something new every day! 😄
1395293065598885891,2021-05-20 08:19:24,0,0,@sadiashe We're glad you found this tip useful!
1395292873810137088,2021-05-20 08:18:39,1,0,@lionheartpat @tomrocksmaths Thanks for your kind words 😊
1395292583912423431,2021-05-20 08:17:29,0,0,@eilsg We're glad you found this hack useful! 😊
1395290464811724803,2021-05-20 08:09:04,1,0,@AnnODeaSR 👏 - We like what you did there!
1395289188166111234,2021-05-20 08:04:00,83,49,"EXPLAINED: Why do we do clinical trials?

A clinical trial is a type of research that tests medical treatments or procedures.

These trials play a key role in helping medical professionals to understand what treatments work most effectively.

🎬 | @ndorms

#ClinicalTrialsDay https://t.co/eMSTPdr4Hq"
1395265538222395392,2021-05-20 06:30:01,55,12,"Scientists at @OxfordPlants have discovered how to speed up/slow down the ripening process of tomatoes. 

This could be used to:
• develop early/late fruiting varieties
• improve transportability
• increase shelf-life by delaying ripening

Read more ⬇️ 
https://t.co/kFIM3BX0Ht"
1395073124539015176,2021-05-19 17:45:26,0,0,@pippa_matt Thank you for watching!
1395015157542162432,2021-05-19 13:55:06,1,0,@carriebeth We're glad you found this tip useful!
1395011865407860739,2021-05-19 13:42:01,48,6,"📝 | @tomrocksmaths reveals the answers!

Let us know how you got on 👏.

#NationalNumeracyDay https://t.co/FAS7MvFKXn"
1394993873802387458,2021-05-19 12:30:31,5,0,@sarahcareyIRL We're glad you found this information useful! 😄
1394993623247294467,2021-05-19 12:29:32,37,8,"Now it's your turn!

Can you convert the following temperatures using Dr. Crawford's method? 

#NationalNumeracyDay https://t.co/FM4bCxRpsn"
1394990070084640769,2021-05-19 12:15:25,137,30,"MATHS HACK: An easy way to turn degrees Celsius into degrees Fahrenheit 

Ever been on holiday and wanted to know the temperature in Fahrenheit? @tomrocksmaths has got you covered 👏

#NationalNumeracyDay https://t.co/CmiOEYEXXs"
1394989134209593353,2021-05-19 12:11:41,3,0,@fliceverett We're glad you found this tip useful! 😊
1394977204594003968,2021-05-19 11:24:17,1,0,@JannyEllen1207 @tomrocksmaths You got all the answers right! Well done 👏
1394977046925914121,2021-05-19 11:23:40,1,0,@khtnaofficial @tomrocksmaths Well done - you got all the answers right! 👏
1394976675755069446,2021-05-19 11:22:11,1,0,@PaulEOC Thanks for your kind words!
1394976622126698504,2021-05-19 11:21:58,1,0,@lindsaypeck1231 We're glad you found this video useful! 👏
1394976546595741701,2021-05-19 11:21:40,0,0,@keepbelieving_ 🪄
1394976493055397892,2021-05-19 11:21:28,0,0,@forzagaribaldi You learn something new every day!
1394976130403377153,2021-05-19 11:20:01,1,0,@we_dollar Thank you for sharing our video!
1394976020525199360,2021-05-19 11:19:35,1,0,@janelesley Thanks for your kind words!
1394975974702428160,2021-05-19 11:19:24,1,0,@colettekeane1 We're glad you found this video useful!
1394975892326293508,2021-05-19 11:19:04,1,0,@rosehaire 🤣
1394975729033568256,2021-05-19 11:18:25,0,0,@probate100 We're glad you found this tip useful!
1394975350980059139,2021-05-19 11:16:55,0,0,@JojoHendro Thanks for your kind words!
1394975308961419267,2021-05-19 11:16:45,1,0,@Drkgriff We're glad you enjoyed this maths hack!
1394975242125185029,2021-05-19 11:16:29,0,0,"@EnnoGasse As the saying goes, 'we learn something new every day'! 😃"
1394974996284510213,2021-05-19 11:15:31,0,0,@_kareem_tunde Thank you for sharing!
1394974962973396993,2021-05-19 11:15:23,1,0,@mlhelliwell We're glad you found this tip useful! 👏
1394973041910853633,2021-05-19 11:07:45,44,4,"🔢 | The answers!

@tomrocksmaths reveals how you can use your fingers to allow you to count all the way up to 20 lots of nine. 

#NationalNumeracyDay https://t.co/NAqFfTOJ8G"
1394972831340015621,2021-05-19 11:06:54,1,0,@pghsusan We're glad you found this method useful! 👏
1394966572071014403,2021-05-19 10:42:02,1,0,@dartacus You learn something new every day! 😄
1394958824113643523,2021-05-19 10:11:15,1,0,@Danielle_Newby We're glad you found this method useful! 😄
1394956361151168519,2021-05-19 10:01:28,102,23,"MATHS HACK: How to work out any multiple of nine using your hands 🙌

@tomrocksmaths with another neat little trick 👏.

#NationalNumeracyDay https://t.co/J78HUVJzhR"
1394951942028267522,2021-05-19 09:43:54,149,17,"📝 | @tomrocksmaths is here with the answers!🙌

#NationalNumeracyDay https://t.co/NsRGZ1bGqy"
1394928909389647873,2021-05-19 08:12:23,105,12,"🤔 | Question time!

By using @tomrocksmaths' method, can you work out these percentages? 

#NationalNumeracyDay https://t.co/1lv8Wuf6ql"
1394911449001066502,2021-05-19 07:03:00,1845,417,"MATHS HACK: How to easily work out percentages 

For #NationalNumeracyDay, we've teamed up with @tomrocksmaths to provide you with a quick way to work out your percentages. 

Stay tuned to our page today as we'll have more useful maths tips to share! 🔢 https://t.co/EDCWC3Kl2V"
1394716258684260357,2021-05-18 18:07:23,60,16,"Check out this drone footage from our Museum of Natural History!

Entry to the Museum is free, however, tickets must be booked in advance. 

Register ➡️ https://t.co/gHQaSMCqV9

🎬 | @morethanadodo

#InternationalMuseumDay https://t.co/9Zf5BNMvSj"
1394701584320372739,2021-05-18 17:09:04,49,11,"The Innovation Centre for Applied Sustainable Technologies (iCAST) is a new £17m facility that will focus on:

• Global challenges of the climate emergency
• Sustainable development
• Plastics pollution

Learn more ⬇️  #TruePlanet
https://t.co/U586uhnDxs"
1394675007045914627,2021-05-18 15:23:28,289,118,"'We were determined from the outset that if our vaccine proved effective it would not be limited to wealthy countries.'

Our partnership with @AstraZeneca is how we're providing the world with the two-dose vaccine at cost, forever, in low and middle-income countries.

Read more⬇️"
