id,created_at,favorite_count,retweet_count,text
1395665580716331008,2021-05-21 08:59:39,3,3,"Want to widen your professional network?

The new #HelpToGrow Management programme launches in June and includes:

🙋🏿‍♂️peer-learning sessions  
👩🏽‍🏫business mentoring 
👬access to an alumni network

Register your interest: https://t.co/SegXMRr8rg

#PlanForJobs https://t.co/iKsBJG3QbT"
1395405894532440066,2021-05-20 15:47:45,2,0,"The Regulators’ Pioneer Fund will help ensure that the UK’s rules and regulations keep pace with technological advances of the future – from robot guide dogs to 3D printed food 🦮🥡

Find out more: https://t.co/JkD7Ofzm1C"
1395390672354566144,2021-05-20 14:47:16,0,1,https://t.co/kJqAv1V1Xd
1395379252489490437,2021-05-20 14:01:53,4,5,"Are you a leading principal investigator and looking to carry out ground-breaking research in the UK🇬🇧?

Applications are now open for the #HorizonEurope ERC Advanced Grant call📣
https://t.co/VvtbTfUQmd

Contact ERC National Contact Point👇
https://t.co/YJgPdy3ZbF
 #UKinHorizon https://t.co/x9W23Zwfh2"
1395378717887709192,2021-05-20 13:59:45,2,0,Find out more #ForwardToTheMoon 🛰️https://t.co/HY4ThRl6jp
1395376962261209089,2021-05-20 13:52:47,54,20,"We’re over the moon for UK companies such as @SurreySat @InmarsatGlobal @mda_space being awarded tech contracts for new lunar-based missions🌑

Funded by @spacegovuk and @ESA, UK communications &amp; navigation tech will be vital to mission success.

#PlanForJobs #ScienceSuperpower https://t.co/FcODydVETF"
1395018210802552835,2021-05-19 14:07:14,1,0,"We're strengthening the #Horizon Inquiry with statutory powers.
 
This will mean it can compel witnesses and demand evidence, with fines or imprisonment for non-compliance, establishing the truth about what happened: https://t.co/IksbEvEac8
 
#Postmasters"
1394993771755065344,2021-05-19 12:30:07,71,43,"Mobilising climate finance is one of the four key goals of #COP26 🌎

We have launched an innovative £10 million programme to help middle-income countries invest in sustainable, low carbon projects.
 
Find out more 👇
https://t.co/L4VPn80vfa

#TogetherForOurPlanet https://t.co/BLACvrwzKS"
1394983855795458048,2021-05-19 11:50:43,6,2,"https://t.co/UQYZKAxF8J 

The #PlanForJobs is working"
1394978714060996612,2021-05-19 11:30:17,6,7,"Now that some of the #COVID19 restrictions have been eased it's important that your business continues to follow the #WorkingSafely guidance.

Check the guidance for your sector to help keep staff and customers safe: https://t.co/TXx2ffmwf2 https://t.co/EwNcbwAvc9"
1394963588566114305,2021-05-19 10:30:11,23,19,"Coming to a city near you? 🏢
 
We’re shifting over 850 jobs within our department to regions outside of London and the South East.
 
This is part of our commitment to support regions as we level up and #BuildBackBetter 🌱
 
Find out more here👇 
https://t.co/JKHslG9SoH https://t.co/MPER5iK2Vd"
1394675862306447360,2021-05-18 15:26:52,38,31,"NEW: Business leaders from the likes of @CBItweets, @NatWestGroup &amp; @GoldmanSachs will join the #HelpToGrow Management programme's Expert Advisory Council.
 
They'll provide their expertise to help UK businesses scale up: https://t.co/QbAyZelMuK
 
#PlanForJobs #BuildBackBetter https://t.co/8TVHyWpkMC"
1394654444944506882,2021-05-18 14:01:45,1,0,"Mo works for @CocaColaEP, who are a #DisabilityConfident leader.

The Disability Confident scheme supports employers to make the most of the talents disabled people can bring to the workplace.

Join over 20,000 organisations already signed up https://t.co/aCwFXfvAa5

#PlanForJobs https://t.co/CPGH1cKQAg"
