id,created_at,favorite_count,retweet_count,text
1395677993691922433,2021-05-21 09:48:58,27,12,"Northern Ireland community pharmacies have now administered over 50,000 #COVID19 vaccines 👏 https://t.co/dqu0TTcLnO"
1395393878698700803,2021-05-20 15:00:00,51,45,"Are you aged 25 or over? You can now book your #COVID19 vaccine

📖Read more https://t.co/oUOtvT8Dex

💻Book online https://t.co/rPEAbrhdML https://t.co/1JGDuQnS1m"
1395378737512919041,2021-05-20 13:59:50,16,11,"Join the million plus club 💉

Book your #COVID19 vaccine today ➡️ https://t.co/0Rizp8bKO6 https://t.co/SlWHx85QbI"
1395365294160420868,2021-05-20 13:06:25,19,6,"NI #COVID19 data has been updated:

📊Bar chart 90 positive cases and no deaths have been reported in past 24 hours
💉1,592,566 vaccines administered in total

Dashboard➡️https://t.co/YN16dmGzhv
Vaccinations➡️https://t.co/Yfa0hHVmRL https://t.co/cTbYHWGMif"
1395306348628398083,2021-05-20 09:12:11,13,5,"Testing is a crucial element in the pandemic response and will aid the reopening of Northern Ireland. 

Health Minister Robin Swann met with CE @NIChildminding , Patricia Lewsley-Mooney and childminder Joan Boyd.

https://t.co/rl2mtKAwM6 https://t.co/FwXye5DbM1"
1395293262508969987,2021-05-20 08:20:11,165,126,"#COVID19 vaccination programme is now open for 25-29 year olds

📖Read more https://t.co/jjtjhxaUrI

💻Book online https://t.co/rPEAbrhdML https://t.co/vpgyiLbend"
1395001745563127809,2021-05-19 13:01:48,14,7,"NI #COVID19 data has been updated:

 📊107 positive cases and no deaths have been reported in past 24 hours
💉1,579,129  vaccines administered in total

Dashboard➡️https://t.co/YN16dmGzhv
Vaccinations➡️https://t.co/Yfa0hHVmRL https://t.co/J3KkuLqBTi"
1394977495271751680,2021-05-19 11:25:26,46,21,"Heath Minister welcomes today’s virtual ‘Careers in Pharmacy’ showcase. 

More info and showcase ➡️https://t.co/RyMSWtOUGN
#pharmacyfuturesNI 

@cathyharrison00 @PharmForumNI  @Economy_NI @Education_NI https://t.co/RJTmdrslyy"
1394959553213632518,2021-05-19 10:14:09,45,14,"8 December 2020, Sister Joanna Sloan became the first person in Northern Ireland to receive the #COVID19 vaccine…5 months later, over a million people have followed in her footsteps. 💉 https://t.co/SXzfscKW18"
1394647876664500227,2021-05-18 13:35:39,174,35,"Health Minister Robin Swann ‘I cannot praise our vaccination programme enough - it is saving lives’ 👏👏

Over 1️⃣ MILLION people have now received a vaccine dose in Northern Ireland. https://t.co/IcqBpgeSrB"
1394640019797721095,2021-05-18 13:04:26,13,6,"NI #COVID19 data has been updated:

📊104 positive cases and sadly, two deaths have been reported (1 death outside the reporting period)
💉1,000,928  vaccines administered in total

Dashboard➡️https://t.co/YN16dmGzhv
Vaccinations➡️https://t.co/Yfa0hHVmRL https://t.co/BkhwxSzx7k"
1394631547186188299,2021-05-18 12:30:46,286,81,"Over 1️⃣ MILLION people have now received a first vaccine dose 🎉

Read more ➡️https://t.co/WI0awI1St3 https://t.co/LdtW1Cz2QL"
1394306894001487877,2021-05-17 15:00:43,27,37,First dose appointments available this week⬇️ https://t.co/aKjkCas4Yw
1394277525589745668,2021-05-17 13:04:01,22,12,"NI #COVID19 data has been updated:

📊 82 positive cases and sadly, one death has been reported in past 24 hours
💉1,556,832 vaccines administered in total

Dashboard➡️https://t.co/YN16dmGzhv
Vaccinations➡️https://t.co/Yfa0hHVmRL https://t.co/mkpsqUSbqW"
1394237824577191936,2021-05-17 10:26:15,7,13,"Are you a business owner in Northern Ireland?

Did you know workforce testing is now available to all businesses in NI.

Over 400 business have already registered their interest.

READ MORE➡️https://t.co/UJO6hpnb80 

@Economy_NI @niexecutive https://t.co/dregmFwLre"
1393917844950245376,2021-05-16 13:14:46,29,9,"NI #COVID19 data:

📊 109 positive tests, no deaths have been reported in past 48 hours.
The #COVID19 dashboard will be updated tomorrow.

💉1,548,336 vaccines administered in total

➡️https://t.co/Yfa0hHVmRL https://t.co/c398shLFm8"
1393551872372391937,2021-05-15 13:00:31,5,1,"Due to technical issues the #COVID19 dashboard will not be updated today. The data will be available as soon as this issue is resolved.

💉The #vaccine dashboard has been updated. 1,541,028 vaccines administered in total.

➡️https://t.co/Yfa0hHVmRL https://t.co/ssVQZxLj1m"
1393297319039229952,2021-05-14 20:09:01,16,6,"Minister makes appeal to football fans this weekend 

➡️https://t.co/CYJJC2jugT https://t.co/dZjRjXbTzJ"
1393219560975835146,2021-05-14 15:00:02,4,3,"Testing is an important tool in the fight against #COVID19

Rapid asymptomatic testing identifies cases quickly, helping break chains of transmission.

Find our out more about workforce testing today:  ➡️https://t.co/XqnS5RgT7h https://t.co/URsBXLpEjl"
1393206205766586370,2021-05-14 14:06:58,1,2,https://t.co/QH9OMUWN7L
1393206201895297029,2021-05-14 14:06:57,6,6,"Guidance for travel within the Common Travel Area (CTA) will change from Monday 24 May 2021.

Keep up to date at https://t.co/ByK0PpYRtc https://t.co/Mq743yJYxu"
1393197247303720961,2021-05-14 13:31:22,15,9,"NI #COVID19 data has been updated:

📊 96 positive cases, no deaths have been reported in past 24 hours
💉1,530,025 vaccines administered in total

➡️https://t.co/YN16dmGzhv
➡️https://t.co/Yfa0hHVmRL https://t.co/G4WZT3wNpZ"
1393131534518046726,2021-05-14 09:10:15,29,20,"Every vaccination brings us closer, together

More info➡️https://t.co/cOGKlHc2vf

@publichealthni | @nidirect https://t.co/r8He5yIOsK"
1392827447150882821,2021-05-13 13:01:55,7,6,"NI #COVID19 data has been updated:

📊 99 positive cases, sadly 1 death has been reported in past 24 hours
1,515,760 vaccines administered in total

Dashboard➡️https://t.co/YN16dmGzhv
Vaccinations➡️https://t.co/Yfa0hHVmRL https://t.co/Y5S9L0WMy3"
1392483255086166021,2021-05-12 14:14:13,22,30,"💉Please remember, every vaccine represents a step forward, a step already taken by almost a million people in Northern Ireland. 

Book your jab. Protect yourself and others.

💻Online https://t.co/ltPiMCDueu
📞 Tel booking line 0300 200 7813

Read more➡️https://t.co/4qj5wZab1r https://t.co/y8XPT98wKP"
1392465704499175425,2021-05-12 13:04:29,15,13,"NI #COVID19 data has been updated:

📊113 positive cases, no deaths have been reported in past 24 hours
💉1,501,023 vaccines administered in total

Dashboard➡️https://t.co/YN16dmGzhv
Vaccinations➡️https://t.co/Yfa0hHVmRL https://t.co/8S174Z5vKT"
1392453343432384514,2021-05-12 12:15:22,8,8,"Why is asymptomatic rapid testing important?

✔ Identifies people who have #COVID19 without any symptoms 
✔ Results are quick, enabling fast intervention to reduce the spread
✔ Protects you and your loved ones 

➡https://t.co/qs2jmsEjvA https://t.co/NQt2Up82KP"
1392436715558682624,2021-05-12 11:09:17,21,11,"Are you considering a career in nursing?

@UlsterUni, @QUBelfast and @OUBelfast have developed a new online resource for anyone thinking about joining the profession.

Take a look now 👇

#IND2021 https://t.co/p09x6nnmYN"
1392378202547499008,2021-05-12 07:16:47,130,56,"Happy International Nurses Day!

Thanks to all our nurses across Northern Ireland for everything they do every day.

#IND2021 

➡️ https://t.co/j5he8yAeTj https://t.co/Y6jIONjS0u"
1392111295567106048,2021-05-11 13:36:11,256,45,"5⃣0⃣0⃣,0⃣0⃣0⃣ people in NI have now received their second dose of a Covid 19 vaccine 🎉🎉🎉

One million first doses of vaccines are also close to being administered in Northern Ireland.

➡️https://t.co/DtpMtnV0St https://t.co/LNNLeBzRLk"
1392102731490414592,2021-05-11 13:02:09,8,3,"NI #COVID19 data has been updated:

📊89 positive cases and sadly, one death has been reported in past 24 hours
💉1,485,125 vaccines administered in total

Dashboard➡️https://t.co/YN16dmGzhv
Vaccinations➡️https://t.co/Yfa0hHVmRL https://t.co/07Z3RChzlO"
1392038674947321856,2021-05-11 08:47:37,1,1,@NIFRSOFFICIAL @NIAS999 @BelfastTrust @setrust @SouthernHSCT @WesternHSCTrust @NHSCTrust @publichealthni
1392038298743357443,2021-05-11 08:46:07,40,62,"Here’s a link to the TV ad for the NI vaccination programme

Please share, post on your timelines, forward to your friends and family 

Every vaccination brings us closer, together
#spreadtheword 

https://t.co/DxNOR7KsKr"
1391786314463391752,2021-05-10 16:04:50,123,53,"Health Minister Robin Swann has given further details of a £10m mental health fund providing support to mental health charities. 

#MentalHealthAwarenessWeek 

➡️https://t.co/lUjrfQznNs https://t.co/WSSSZz5YTz"
1391740059116781569,2021-05-10 13:01:02,35,16,#COVID19 cases from March 2020: percentage of COVID tests identified as positive each month by postal district in Northern Ireland. https://t.co/ZOK9tXiKxc
1391740021686865926,2021-05-10 13:00:53,22,7,"NI #COVID19 data has been updated:

📊76 positive cases, no deaths have been reported in past 24 hours
1,470,135 vaccines administered in total

Dashboard ➡️https://t.co/YN16dmGzhv
Vaccinations ➡️ https://t.co/Yfa0hHVmRL https://t.co/lHWNXUIhbU"
1391733255523688448,2021-05-10 12:33:59,77,6,"Health Minister Robin Swann has visited Grangewood acute mental health in-patient unit in Londonderry to meet staff and learn more about the services provided at the facility.

https://t.co/whFtINBEvR https://t.co/kCt7mxFsxN"
1391728475388538883,2021-05-10 12:15:00,34,8,"UK #COVID19 alert level should move from level 4 to level 3.

➡️ https://t.co/FO8FN9o8mp https://t.co/wIQ12v5tg8"
1391709902859640841,2021-05-10 11:01:12,16,9,"New @publichealthni public information campaign to further boost vaccination drive launches today

Read more ➡️ https://t.co/rpj7vH2cXY https://t.co/OJiZnyVoAj"
1391664979812798464,2021-05-10 08:02:41,40,25,"Today marks the start of Foster Care Fortnight #WhyWeCare   

Have you ever considered fostering? Find out more ➡️https://t.co/sRWZs8GRzX

@fosteringnet | @HSCAdopt_Foster https://t.co/7Entsw626n"
1391377291071135751,2021-05-09 12:59:31,24,3,"NI #COVID19 data:

📊98 positive cases, no deaths have been reported in past 24 hours.

💉1,460,425 vaccines administered in total

The COVID-19 Dashboard will be updated on Monday 10 May 2021. https://t.co/dt4V2C8OTn"
1391361048083673088,2021-05-09 11:54:58,15,12,Please only attend ED if it is urgent ⬇️ https://t.co/1ZL2OO36Cr
1391015685720100864,2021-05-08 13:02:37,24,6,"NI #COVID19 data:

📊 81 positive cases, no deaths have been reported in past 24 hours
💉1,450,283 vaccines administered in total

The COVID-19 Dashboard will be updated on Monday 10 May 2021. https://t.co/GVRt2kxdOW"
1390703799929643011,2021-05-07 16:23:18,5,2,"Written Ministerial statement to the Assembly on Vaccination Programme update

https://t.co/MFKay6nel4 https://t.co/i6iaMU5xsm"
1390674944066035717,2021-05-07 14:28:38,47,28,"Health Minister Robin Swann has launched a new campaign to help boost the adult social care workforce in Northern Ireland.

READ MORE ➡️https://t.co/PlGkZlQhpl

@NI_SCC | @seanhollandOSS https://t.co/UGFaBvk8xA"
1390653513533992964,2021-05-07 13:03:29,14,10,"NI #COVID19 data has been updated:

📊65 positive cases and sadly, one death has been reported in past 24 hours
💉1,437,163 vaccines administered in total

Dashboard ➡️https://t.co/YN16dmGzhv
Vaccinations ➡️ https://t.co/Yfa0hHVmRL https://t.co/6mDtgGNRHp"
1390644605541044237,2021-05-07 12:28:05,13,24,"Updated NI #COVID19 vaccination programme – key questions answered

➡️ https://t.co/UzqGiAoa6t https://t.co/R06gpPY1ad"
1390623215098204163,2021-05-07 11:03:05,22,20,"Department of Health updates vaccination programme

Following the latest advice from the JCVI (Joint Committee on Vaccination &amp; Immunisation), people aged under 40 will be offered Pfizer-BioNTech in NI through the regional Trust vaccination centres.

➡️https://t.co/9hUzq5smvQ https://t.co/iZLBVFcOE0"
1390586766789390336,2021-05-07 08:38:15,146,35,"Health Minister Robin Swann and Deputy Chief Medical Officer Dr Naresh Chada were at @belfastairport last night to see three oxygen generators and 1,000 ventilators loaded onto a cargo aircraft bound for India.

The equipment is part of UK response to India’s #COVID19 crisis. https://t.co/XktSXDmMXN"
1390570957186666497,2021-05-07 07:35:26,529,124,"The world’s largest cargo plane will leave Belfast this morning with three 18-tonne oxygen generators and 1,000 ventilators as part of the UK’s latest response to India’s #COVID19 crisis. 

➡️https://t.co/XhwUpHIpUM

@DHSCgovuk | @FCDOGovUK https://t.co/CsDQ37IG0r"
1390370835878359053,2021-05-06 18:20:13,18,10,"Update on payment recognition scheme for HSC staff.

Read more➡️https://t.co/KgXv6Yc6zO https://t.co/JoULMWC2T3"
1390307598683963393,2021-05-06 14:08:56,5,2,https://t.co/OMrbZlQV4Z
1390307430924394497,2021-05-06 14:08:16,12,10,"From tomorrow 7 May visiting restrictions will be eased.

Enhanced visiting will be allowed in COVID secure environments ie face coverings worn, 2 metres social distancing where possible, good hand hygiene, good ventilation and PPE when required.😷🧼

➡️https://t.co/zGBRGlMqzk https://t.co/sxf7SUdPsX"
1390293515637248002,2021-05-06 13:12:59,43,38,"The Department of Health has been notified by the Public Health Agency of seven confirmed cases of the VUI B.1.617.2 (India) Coronavirus variant in Northern Ireland.

➡️https://t.co/U1KlYHtTGI https://t.co/zwaeoiE2BN"
1390290706342817797,2021-05-06 13:01:49,12,5,"NI #COVID19 data has been updated:

📊102 positive cases, no deaths have been reported in past 24 hours
💉1,416,826 vaccines administered in total

Dashboard ➡️https://t.co/YN16dmGzhv
Vaccinations ➡️ https://t.co/Yfa0hHVmRL https://t.co/yR9oVcwHIQ"
1390281932416634884,2021-05-06 12:26:57,39,4,"Health Minister Robin Swann has re-iterated his commitment to the development of community perinatal services within Northern Ireland.                  

➡️ https://t.co/8XevfTpE0A https://t.co/po4DdGJZFw"
1390253005799313412,2021-05-06 10:32:00,46,29,"Vaccination gives us hope 💉

If you're eligible for vaccination, book yours today.

💻Book online https://t.co/rPEAbrhdML

☎️Call 0300 200 7813 if online booking is not possible
(Open 8am to 8pm, Mon - Fri) https://t.co/w98ZdnfFzD"
1390226896537935873,2021-05-06 08:48:15,152,17,"Health Minister Robin Swann, calls in at social enterprise cafe @lovelyloaf for a takeaway tea☕️. 

It’s nice to get out and about again but just remember to do it safely. 

↔️Maintain social distancing
🧼Wash your hands
🦠Keep following the public advice https://t.co/WzUuM7M7wo"
1390009728999170048,2021-05-05 18:25:19,40,23,"“The more people we can get vaccinated, the sooner we can return to normal.”

On a visit today to the @BelfastTrust Vaccination Centre at the Royal Victoria Hospital, Health Minister Robin Swann urged anyone who’s eligible to book their #COVID19 jab.

💻https://t.co/rPEAbqZCob https://t.co/enctUmw4xe"
1389963202688077824,2021-05-05 15:20:26,7,12,"If you are visiting a loved one in an HSC setting from 7 May please remember a booking system will be in place. Check the arrangements with your relevant trust/care setting.

This will ensure visitor no's. and length of visits can be managed.

More info➡️https://t.co/IxBJ5isBxb https://t.co/fa0McRUZ65"
1389947918510084096,2021-05-05 14:19:42,28,5,"Health Minister Robin Swann joined midwives from across NI for a virtual event to mark #InternationalDayoftheMidwife

More than 22,000 babies are born in NI each year, and midwives are there for all women and families throughout their maternity journey. https://t.co/qP3cUiVwD3"
1389935656781107202,2021-05-05 13:30:58,79,13,Health Minister Robin Swann today visited the Vaccination Centre at the Royal Victoria Hospital to thank staff and volunteers for their hard work and dedication in rolling out the #COVID19 vaccination programme. https://t.co/deumKeCr3M
1389928305722281984,2021-05-05 13:01:46,18,7,"NI #COVID19 data has been updated:

📊 99 positive cases, no deaths have been reported in past 24 hours
💉 1,397,087 vaccines administered in total

Dashboard ➡️ https://t.co/YN16dmGzhv
Vaccinations ➡️ https://t.co/Yfa0hHVmRL https://t.co/xHmjGCS68y"
1389885651974230016,2021-05-05 10:12:16,68,11,"The Health Minister visited @BannsidePharmcy in Portglenone this morning. 

Minister Swann used the opportunity to thank the pharmacy team for the vital service they provide to the local community and for their response to the pandemic.

@compharmacyni | @cathyharrison00 https://t.co/PduVzGVoTo"
1389855272777170947,2021-05-05 08:11:33,104,27,"It’s International Day of the Midwife. 
Thank you to all midwives across Northern Ireland.

#InternationalDayoftheMidwife https://t.co/waaYdOz9pE"
1389590808819638277,2021-05-04 14:40:40,47,48,"🏥🏡New guidance that will facilitate increased visiting will come into effect this Friday 7 May 2021

The updated guidance will apply across all care settings including hospitals (inc. maternity), hospices and care homes.  

➡️https://t.co/QhXDsFdyaC https://t.co/gRCYoUjLyY"
1389565800147730432,2021-05-04 13:01:18,31,13,"NI #COVID19 data has been updated:

📊 83 positive cases, no deaths have been reported in past 24 hours
💉 1,381,581 vaccines administered in total

Dashboard➡️https://t.co/YN16dmGzhv
Vaccinations➡️https://t.co/Yfa0hHVmRL https://t.co/DUk9NORn99"
1389547077319942149,2021-05-04 11:46:54,96,14,Health Minister Robin Swann marks Firefighters’ Memorial Day as he joins a crew in Belfast to observe a minute’s silence to honour &amp; remember those who have lost their lives in the line of duty @NIFRSOFFICIAL #FMD21 https://t.co/mNRTYJZZKD
1389524836528050178,2021-05-04 10:18:31,74,31,"Health Minister Robin Swann today announced plans to establish a Social Care Fair Work Forum – to support and develop Northern Ireland’s social care workforce.

Read more ➡️ https://t.co/OA01MOKaEd https://t.co/CK53OpZ4c4"
1389203180236513285,2021-05-03 13:00:22,45,5,"NI #COVID19 data:

📊64 positive cases and no deaths have been reported in past 24 hours.

The COVID-19 Dashboard will be updated on Tuesday 4 May 2021. https://t.co/jzO1PPFVu8"
1388838313944100866,2021-05-02 12:50:32,30,10,"NI #COVID19 data:

📊69 positive cases and 1 death has been reported in past 24 hours.

The COVID-19 Dashboard will be updated on Tuesday 4 May 2021. https://t.co/XTQWZfq8Nc"
1388482802799292419,2021-05-01 13:17:51,27,10,"NI #COVID19 data:

📊90 positive cases and no deaths have been reported in past 24 hours

The COVID-19 Dashboard will be updated on Tuesday 4 May 2021. https://t.co/wmlEI3C9pu"
1388148840772030471,2021-04-30 15:10:48,7,5,"There are still places available for the International Day of Midwife 2021 virtual event 💻

@HSCCEC https://t.co/hRxfkALPur"
1388117002842255366,2021-04-30 13:04:18,20,6,"NI #COVID19 data has been updated:

📊108 positive cases and sadly, 1 death has been reported in past 24 hours
💉1,341,681 vaccines administered in total

Dashboard ➡️https://t.co/YN16dmGzhv
Vaccinations ➡️https://t.co/U3zWHYKxDs https://t.co/zSTo0Yhbsj"
1388108180954263562,2021-04-30 12:29:14,36,22,"Chief Medical Officer Dr Michael McBride has urged people to enjoy the May Day weekend safely.  

With further #COVID19 restrictions being eased, the health advice remains as vital as ever:

🧼Wash hands 
😷Wear a face covering 
↔️ Maintain distance

https://t.co/2AK83l4PH4 https://t.co/EJoDd58JTH"
1388089479391547392,2021-04-30 11:14:55,10,7,"Join the safe side💉

If you're eligible, book your #COVID19 vaccination appointment today.

💻Book online https://t.co/rPEAbrhdML

☎️If online booking is not possible, then call 
0300 200 7813 to make an appointment 
(Open 8am to 8pm, Mon - Fri) https://t.co/Y1N6vZ5XjY"
1388063076113477632,2021-04-30 09:30:00,8,8,"The @healthdpt is seeking to appoint three Non-Executive Members to the Northern Ireland Medical &amp; Dental Training Agency @_NIMDTA :

➡️1 Dental 
➡️1 Finance 
➡️1 Lay

🗓️ Closing date: Noon GMT Wednesday 5 May 2021
📖 More info and to apply: https://t.co/cVJjNQb5ia https://t.co/czvQpid7rf"
