id,created_at,favorite_count,retweet_count,text
1395300637131292672,2021-05-20 08:49:29,38,9,Happy 180th birthday to @rpharms - leading great achievements working collegiately across our profession and providing support to many members - a good day to join together to thank all those involved in the RPS past and present https://t.co/vnXz7L4EYj
1394635014135025671,2021-05-18 12:44:33,28,29,"Are you a practice or PCN pharmacist? @Hee &amp; @NHSEngland would like to hear your experiences of delivering remote triage, care navigation, online &amp; video consultations in general practice to inform training development https://t.co/powvqDEaL1 @PrimaryCareNHS @rpharms @pcpa_org"
1393244867338412033,2021-05-14 16:40:36,72,48,Delighted to share the ad for a new post of National Specialty Adviser in Mental Health Pharmacy @NHSEngland. Important post and a great development for the profession. Closing date - 31 May. Details: https://t.co/GKS8NSZCQp @rpharms @UKBPA1 @UKCPA @GHPPharmacy @NHS_HealthEdEng
1393159377679441921,2021-05-14 11:00:53,24,11,Good to see this important discussion today 17.00 @CPCongress - Panel Discussion: Racial equality in Pharmacy. Please join my colleagues @NJCallender with @Kulps1 &amp; @nadsworth @APTUK1 @rpharms @UKBPA1 @the_pda
1393157653497581568,2021-05-14 10:54:02,14,3,"Great to see colleagues getting together at 17.00 today @CPCongress to consider: What does COVID-19 mean for the Role of Pharmacy Professionals? Speakers: @JillLoader @JustineScanlan @eastermark &amp; Lindsey Fairbrother, Good Life Pharmacy @PSNCNews @NPA1921 @rpharms @ukcpa @APTUK1"
1393156649653784579,2021-05-14 10:50:03,13,5,Important session today @CPCongress with @RichardCattell1 @TheGPhC @hp_pharmacydean on What do the New Initial Education and Training Standards Mean for Patients and Pharmacists? It's at 16.00 today - please do join them if you can @NHS_HealthEdEng @rpharms
1392815488439304195,2021-05-13 12:14:24,21,9,My colleagues @DrKieranHand and @tweetasoni will be sharing the latest progress and plans for #AMS @CPCongress today at 18.00 - Antimicrobial Stewardship in the COVID-19 Environment. Join them for this important work and hear about the new team @DrDianeAshiru @elizbeech @UKCPA
1392813522757865472,2021-05-13 12:06:35,12,1,Looking forward immensely to today's @CPCongress session with @ladds_sue and Clare Stone @SurreyHeartland director of multi-professional leadership: System by Default - How we Achieve Medicines Optimisation and Workforce Planning in the Development of Integrated Care Systems
1392782299608100865,2021-05-13 10:02:31,13,5,Eid Mubarak to pharmacy colleagues across the NHS and all sectors - I wish you a joyful and peaceful day of celebration with your loved ones https://t.co/HhLA1sUrst
1392781140432404485,2021-05-13 09:57:55,12,6,A great opportunity to hear about hospital pharmacy recovery and improvement today at 16:00 @CPCongress https://t.co/HQQoutcTFa
