id,created_at,favorite_count,retweet_count,text
1393223757070807047,2021-05-14 15:16:43,204,28,"Another big day yesterday, 637,325 total doses. 209,284 first doses, first time since March over two hundred thousand. 428,041 second doses. 68.6% of all adults have the protection of one dose, 36.7% of all adults protected with two doses. 💉💉💉 https://t.co/Z6zPBMfEBZ"
1393207532584415237,2021-05-14 14:12:14,61,16,"Wherever you come from, whatever your religion, ethnicity or background, make sure to book in your vaccine when the time comes. It’s an easy way in which you can play a part in our journey out of the pandemic once and for all."
1393207475315384326,2021-05-14 14:12:01,99,13,The COVID-19 vaccination programme continues at its record-breaking pace and it’s fantastic to see the incredible impact it’s having on the country already. https://t.co/bcbDJmpwJd
1393153796591788032,2021-05-14 10:38:43,326,7,"@wesstreeting Wes, thinking of you. Best of luck my friend. Wishing you the very best, I am certain you will return stronger and in good health."
1392925449580318721,2021-05-13 19:31:21,7,0,@scullyp 100% will do that. 🙏🏽🙏🏽🙏🏽@NHSuk
1392830277236449282,2021-05-13 13:13:10,497,71,"636,647 jabs yesterday, protecting, protecting, protecting at pace.Please come forward when it’s your turn to get the vaccine.Very important,as the virus attempts to survive by infecting &amp; mutating,that we don’t give it that opportunity. Vaccines,surge test, sequence and isolate. https://t.co/gPu4ntBKi3"
1392761143131787267,2021-05-13 08:38:27,95,14,https://t.co/1IFViqptNR
1392580841931411456,2021-05-12 20:42:00,89,9,Well said Dr Ellie 👇🏾💉💉💉 https://t.co/mFqwJNqqH9
1392564858915336198,2021-05-12 19:38:29,41,1,https://t.co/E24i4IGS6Y
1392518618353737737,2021-05-12 16:34:45,63,11,The National Booking Service will open from 7am tomorrow for people aged 38-39 in England to book an appointment – please book your jab as soon as possible. 🕛
1392502565988933633,2021-05-12 15:30:57,0,0,@Baroness_Nichol @nadhim Bless you and thank you. It’s a massive team effort. 💉💉💉@NHSuk
1392502114564386817,2021-05-12 15:29:10,127,17,"485,260 vaccines given yesterday, we open to 38/39 year olds to book their appointment.We have to continue to protect at speed. 35% of all adults in the U.K. now protected with two doses. When you get the txt get the jab! 💉💉💉 https://t.co/t48UUbAOlv"
1392482330837757965,2021-05-12 14:10:33,781,304,People aged 38-39 can now book a COVID-19 vaccine appointment. I urge everybody to get their jab as soon as you are eligible so we can beat this pandemic together. 💉💉💉https://t.co/msMhgm3sje
1392460032017670144,2021-05-12 12:41:56,94,8,https://t.co/kWhgPrPjXb
1392152289893359621,2021-05-11 16:19:05,5,0,@ProfTimBale Let me take a look Professor.
1392113649813229571,2021-05-11 13:45:32,276,33,"Another 326,680 doses yesterday Steady build, week will get stronger. We focus on both 1 &amp; 2nd doses. Team having to deal with a much more complex set of deployment challenges and doing it brilliantly. When you get the txt get the jab! @NHSuk 💉💉💉 https://t.co/kMLOT3oVQ7"
1392089493138706432,2021-05-11 12:09:33,159,29,https://t.co/kTnkrDfVqY
1392069500959436807,2021-05-11 10:50:07,27,1,https://t.co/3FmatEETYT
1392069420206469123,2021-05-11 10:49:47,20,4,https://t.co/Ktc2IJANfd
1392069360936792064,2021-05-11 10:49:33,26,0,https://t.co/1fn8tWlWGn
1392069303571255297,2021-05-11 10:49:20,19,2,https://t.co/N74RrxEArs
1392069246700642306,2021-05-11 10:49:06,14,1,https://t.co/e07LvlfU3U
1392069170662158342,2021-05-11 10:48:48,12,1,https://t.co/b0wINJVCKP
1391763681193648129,2021-05-10 14:34:53,60,13,"👏🏽👏🏽👏🏽

Well done @seccombephilip on winning another term as Warwickshire’s Police &amp; Crime Commissioner 🚓

I’m sure you’ll continue to engage the local community, making their priorities your priorities 🇬🇧 https://t.co/E3nlrjwRMC"
1391724748200099845,2021-05-10 12:00:11,79,23,"UK life sciences is thriving 🔬 💪🏽
 
Fantastic to see a multi - million investment by @Bayer in @unibirmingham to deliver a ground breaking clinical trial to help provide treatments for children with cancer.
@BirminghamHIC @NIHRresearch @andy4wm 👇🏽 https://t.co/Fud2Kehph8"
1391419445654982658,2021-05-09 15:47:01,108,13,https://t.co/7bYP0HCaDA
1391409041176469506,2021-05-09 15:05:41,665,90,"Another remarkable performance by the team. 637,631 yesterday. Over 2/3 protected with one dose &amp; now 1/3 protected with two doses! Weather was miserable, not the team! When you get the invite, get your 💉💉💉💪🏻💪🏽💪🏿🇬🇧🇬🇧🇬🇧 https://t.co/RLhrkZn0fX"
1391046879463448578,2021-05-08 15:06:35,234,23,"Another strong vaccination day yesterday with 569,056 jabs. Big second dose day with 449,716 second doses. 💉💉💉 We keep going. https://t.co/zoRxX4gvM7"
1390997265343451140,2021-05-08 11:49:26,3404,756,Neil Warnock nails it! Sound on.👇🏾👇🏾👇🏾💉💉💉🇬🇧🇬🇧🇬🇧 ⁦@MattHancock⁩ https://t.co/qNuclq74xp
1390993384798658561,2021-05-08 11:34:01,21,3,I love this! The energy and spirit 💪🏻💪🏽💪🏿💃🕺💃🕺💃 https://t.co/q2T3EP2aBE
1390766097700360194,2021-05-07 20:30:51,432,37,What a great result! Festus will be a brilliant Police and Crime Commissioner. https://t.co/s3ugNhRAKS
1390747887039041541,2021-05-07 19:18:29,1,1,@JustinKerridge. Well done for winning a close race in Studley. I have every faith you will bring your experience from your tireless work at District level to represent your constituents at Warwickshire County Council 🇬🇧
1390738256871018502,2021-05-07 18:40:13,67,11,"It's great to welcome back Jo Barker, Warwickshire County Council's representative for Shipston. You have played an important role in your community since being elected in 2015 and I look forward to continuing to work with you"
1390730819614949377,2021-05-07 18:10:40,58,14,I am very happy to congratulate Daren Pemberton on his election win in Bidford. You have a wealth of experience representing your community. I know you are absolutely committed to unleashing the potential of our local businesses and I will do all I can to support you.
1390726689353871362,2021-05-07 17:54:15,3,1,"@amazingalcester !! Well done for a close but decisive win in Alcester. I know you have already been working hard to support local residents and businesses, and I very much look forward to working with you to represent the people of Alcester 💪🏾"
1390723841257873412,2021-05-07 17:42:56,40,5,I am delighted that Chris Mills has won Kineton and Red Horse. The County Council has gained a councillor with impressive experience. I trust you will serve the people of Kineton and Red Horse with the same vigour and enthusiasm that you did at the District Council.
1390720600428228611,2021-05-07 17:30:04,88,9,"Phenomenal result for John Horner in Arden with a majority of 2,238. You have worked extremely hard for your constituents and I am excited to continue supporting you in your role!"
1390718142461194241,2021-05-07 17:20:18,126,18,"2 in 3 adults in the UK have now been vaccinated with one dose – fantastic news! Only 1/3 to go before we hit our target of offering a vaccine to all adults by the end of July.
 
Thank you to the NHS staff and volunteers who have made this happen. 💉
 
https://t.co/D526GWNSIE"
1390717918514712581,2021-05-07 17:19:24,38,5,I am pleased that Wellesbourne has gained a brilliant representative in  @pennyanneod. You have been a dedicated Councillor for Ettington and I can't wait to see what you bring to Warwickshire County Council.
1390710758032478213,2021-05-07 16:50:57,41,7,"Congratulations @TimGSinclair for winning in Stratford North. I look forward to working with you to support all local residents. I know you will be a champion for everyone in your constituency, not just those who voted Conservative."
1390702848330059783,2021-05-07 16:19:31,66,6,"It's fantastic to see @CllrSeccombe returning to Warwickshire County Council. Your work has been vital during the pandemic, and I will continue to support you in any way I can 🇬🇧"
1390682131735719946,2021-05-07 14:57:12,177,12,What a win! @BenHouchen Now we keep delivering.
1390673793190871045,2021-05-07 14:24:04,248,27,"Another big day vaccinating, 608,471 protected yesterday. Election or no elections we keep on vaccinating. Two out of three adults are now protected with one dose. @NHSuk 💉💉💉 https://t.co/XpDiAxd92I"
1390656404084641794,2021-05-07 13:14:58,81,17,Vaccines save lives and are the best way out of this pandemic. The experts at the @MHRAgovuk and #JCVI say the benefits of the AstraZeneca vaccine outweigh the risks for the vast majority of adults. I urge people to get their jab - https://t.co/ICTLTCRXfP
1390549390738305027,2021-05-07 06:09:44,242,22,Jill is first woman to be elected MP for Hartlepool. Big congrats to the people of Hartlepool &amp; @jill4hartlepool 🙏🏽👍🏽👍🏽👍🏽 https://t.co/AZV8i0eaOa
1390418386023329796,2021-05-06 21:29:10,173,19,"Thank you to all our supporters, volunteers and all who went out to vote! https://t.co/cMplR8tn1G"
1390328489346310148,2021-05-06 15:31:57,456,63,"Almost 35,000,000 first doses. Over 16,000,000 second doses! 💉💉💉We work as a team and we face challenges as a team, success is the by-product. @NHSuk https://t.co/PRrl2bCsL5"
1390292858406674434,2021-05-06 13:10:22,261,36,"543,323 doses, Another strong day yesterday, almost 350,000 second doses. We keep going protecting the most vulnerable to Covid. Come forward when invited &amp; when your second dose is due. 💉💉💉 https://t.co/sp7ccvcyjf"
1389945345640210433,2021-05-05 14:09:28,235,35,66.1% of all adults in the U.K. with at least one dose protection and 30.2% of all adults in the U.K. with two dose protection. What a team! 💉💉💉@NHSuk @Emily_JR_Lawson @maddymcternan @AHamiedNHS @NikkiKF https://t.co/vzuqsXvFpl
1389937682151845890,2021-05-05 13:39:01,276,30,"Back with strong numbers yesterday, 384,656 total doses. A strong second dose day. @NHSuk 💉💉💉 https://t.co/vzuqsXvFpl"
