id,created_at,favorite_count,retweet_count,text
1395688320814960643,2021-05-21 10:30:00,0,0,"Please keep following the rules. 
You should not yet allow people you do not live with into your home. Certain exemptions apply. 
Find out more: https://t.co/96O0OLVFQR
@niexecutive @healthdpt https://t.co/Rrg9jeE2DC"
1395677438051602432,2021-05-21 09:46:46,0,0,@CaptainKpy @niexecutive @DUPleader @moneillsf If travelling within the Common Travel Area. There is  information at this link: https://t.co/iqt0hqEQAs
1395658119959638018,2021-05-21 08:30:00,2,6,"When you’re at work, don’t let your guard down. 
Remember to keep your distance. 
Wear a face covering when in shared spaces. 
Find out more about how to stay safe at work: https://t.co/i4dy7jaOzu
@healthdpt @hsenigov @niexecutive https://t.co/ohGh8U6cz1"
1395440182976040961,2021-05-20 18:04:00,2,1,"The fewer people you come into contact with, the less chance coronavirus #COVID19 has to spread. 
https://t.co/1JiSKbyxt7
@niexecutive @healthdpt https://t.co/ImGtQzEGic"
1395410622964277254,2021-05-20 16:06:32,0,0,@pearsecassidy You can check how DfI is progressing the work at this link https://t.co/bCDLAnXSws or you can contact them using the details at this link: https://t.co/c40ZZ2bQA3
1395407254644461568,2021-05-20 15:53:09,0,0,@pearsecassidy Please report it again to the Dept for Infrastructure at this link: https://t.co/UzXcHkQvzw
1395401428366209028,2021-05-20 15:30:00,0,0,"Tips about controlling your dog in public – find out more: https://t.co/cBqASHLr76
@daera_ni https://t.co/eJh5zaEP3K"
1395399484578963461,2021-05-20 15:22:17,0,0,"@DavidFa60909201 That link is the current information about travel, and what changes will be in place from next Monday (24 May). Exemption from self-isolation is if visiting family or friends. For any further clarification, contact the Dept of Health: https://t.co/cOrs3L5GVf"
1395391770889015296,2021-05-20 14:51:37,0,0,@DavidFa60909201 Information at this link: https://t.co/iqt0hqEQAs
1395390107230908418,2021-05-20 14:45:01,0,0,"@DavidFa60909201 You can find information at this link about accommodation: 
https://t.co/gGUfhuPFaV"
1395381434613911552,2021-05-20 14:10:33,0,0,"#Bees pollinate both crops and flowering plants, but the number of native bees is falling. 
Find out how to help boost their survival rates: https://t.co/GKuHrYyLRu 
@daera_ni
#WorldBeeDay https://t.co/y7zHa9S9Pg"
1395339771019468808,2021-05-20 11:25:00,4,2,"It is important to keep shared spaces well-ventilated. 
Open windows or doors if possible and safe to do so. 
Find out more: https://t.co/DWPa4hRan6
@niexecutive @healthdpt https://t.co/P8vxB1PgRZ"
1395319872129806338,2021-05-20 10:05:55,0,0,@DocFourFour If you contact the Department for Infrastructure using the details at this link they'll be able to respond to you: https://t.co/c40ZZ2bQA3
