id,created_at,favorite_count,retweet_count,text
1395688789138366471,2021-05-21 10:31:52,0,0,"We're recruiting! Do you enjoy planning outside of traditional boundaries, and working to find out how health and care may look in the future? If so, find out more about our @ihubscot Strategic Planning Advisor vacancy:

https://t.co/NhwkayVgXl https://t.co/BoNg7buyFa"
1395325100422057984,2021-05-20 10:26:42,5,4,"Our latest eNews bulletin is now available, capturing all that's new from our organisation, including our latest guideline for the diagnosis and management of epilepsy in children and young people.

Click the link below to read and subscribe:

https://t.co/4uOBcO999E https://t.co/DhNeyMWeNa"
1395013566252605442,2021-05-19 13:48:46,3,5,"The Scottish Health Technologies Group have published an assessment of technologies that can be used to detect paroxysmal atrial fibrillation in people who have had an ischaemic stroke. 

Visit our website to read the assessment: https://t.co/EpdRKlukfM https://t.co/QiTWhA0Sff"
1394925794779041793,2021-05-19 08:00:00,1,1,"Our next Board meeting takes place on Wednesday 30 June 2021. If you would like to observe this meeting, please email Pauline.Symaniak@nhs.scot to register your interest. 

Information about our Board members, meeting papers and future meeting dates at:

https://t.co/XavAjEZJxY https://t.co/YAUhTOZnuB"
1394302338471452674,2021-05-17 14:42:37,13,8,"The new SIGN guideline about the diagnosis &amp; management of #epilepsy in children &amp; young people will help healthcare professionals create a clear transition plan for children who continue to have epilepsy into their adult life. 
Read more: https://t.co/5gNipr9Agp
@RealJayShetty https://t.co/enSGhSVXX2"
1394255415739826176,2021-05-17 11:36:09,14,10,"To accompany the new SIGN guideline about the diagnosis &amp; management of #Epilepsy, information booklets are available to help young people living with the condition feel supported to self-manage their epilepsy and explain how it affects them. 
Read more: https://t.co/n6l498dC8R https://t.co/mZn7iSCMN7"
1394221359354494978,2021-05-17 09:20:50,28,33,"Our SIGN colleagues have published a new guideline about the diagnosis and management of #epilepsy in children &amp; young people. 
The guideline has been praised by Epilepsy Scotland for including the voices of young people living with epilepsy. 
Read more: https://t.co/5gNipr9Agp https://t.co/1dair9FHJZ"
1393200735559499780,2021-05-14 13:45:14,0,0,@dottydalchow @salonlogic The Scottish Government has provided guidance for independent services and this has been shared with all providers in Scotland. You can read their latest guidance from April 2021 on our website:   https://t.co/IO17tT0ZQJ
1393125669958193153,2021-05-14 08:46:57,0,0,"@salon_logic @NicolaSturgeon @jamiehepburn Thanks for getting in touch. If you have evidence of registered private clinics not undertaking procedures appropriately, please email his.ihcregulation@nhs.scot or send a message through Twitter and we'll look into it. Thanks again."
1392794500255428608,2021-05-13 10:51:00,1,1,"We're recruiting! We are looking for an enthusiastic and focused individual with the vison to develop and implement our communications strategy and provide leadership for the staff and resources in the Communications Department. More information:

https://t.co/PuIMpyITFE https://t.co/eG3vwaHPCR"
1392784529908277253,2021-05-13 10:11:23,2,2,"We are seeking to appoint to two Social Researchers to join our @ihubscot Evidence and Evaluation for Improvement Team. Find out more about these exciting opportunities:

https://t.co/1XFc6UY6UG https://t.co/WLN1rEVCcy"
1392765458877718528,2021-05-13 08:55:36,0,0,"We've published our latest inspection report for University Hospital Crosshouse, NHS Ayrshire &amp; Arran: Read the report:

https://t.co/RixV5iOKMb https://t.co/fgBqoszqfu"
1392501042160492546,2021-05-12 15:24:54,4,3,"In celebration of #InternationalNursesDay, our nursing colleagues share what the Essentials of Safe Care mean to them below. 

You can find out more about the Essentials of Safe Care here: https://t.co/jBjSY5qBuZ 

#theEoSC #spsp247 https://t.co/xBvTqv2aKS"
1392464350938607617,2021-05-12 12:59:06,7,3,"In celebration of #InternationalNursesDay, our nursing colleagues share what the Essentials of Safe Care mean to them below. 

You can find out more about the Essentials of Safe Care here: https://t.co/jBjSY5qBuZ 

#theEoSC #spsp247 https://t.co/l527vvqIXC"
1392421641423032320,2021-05-12 10:09:23,22,10,"In celebration of #InternationalNursesDay, our nursing colleagues share what the Essentials of Safe Care mean to them below. 

You can find out more about the Essentials of Safe Care here: https://t.co/jBjSY5qBuZ 

#theEoSC #spsp247 https://t.co/DZV7ly5Pz7"
1392391351178772480,2021-05-12 08:09:02,14,8,"In celebration of International Nurses Day, our nursing colleagues share what the Essentials of Safe Care mean to them below. 

You can find out more about the Essentials of Safe Care here: https://t.co/jBjSY5qBuZ https://t.co/FUCUimN9hc"
1392390183769808896,2021-05-12 08:04:23,27,20,"When she joined our organisation, Tracy Hunter never imagined she'd end up supporting a mass vaccination programme. 

As we celebrate #IND2021, Tracy tells us the challenges of setting up and running a vaccination programme for NHS Fife:

https://t.co/cWcdsGudhF https://t.co/UH0J53aN2o"
1392385886139166720,2021-05-12 07:47:19,1,2,"An exciting opportunity exists for an enthusiastic and motivated Chair to lead the National Cancer Medicines Advisory Group (NCMAG) team within our Medicines and Pharmacy Team. Find out more:

https://t.co/DumLm1capK https://t.co/T7Eq85BK2A"
1392383442135003138,2021-05-12 07:37:36,1,1,"We're recruiting! We are seeking to appoint a Lead Pharmacist with expertise in technology appraisal to join our team. Find out more about this exciting opportunity:

https://t.co/IfWFz8G6eV https://t.co/tLf7JpvDB9"
