id,created_at,favorite_count,retweet_count,text
1395665673418911745,2021-05-21 09:00:01,4,5,"The COVID-19 vaccine will help protect you and the people close to you. 
Every vaccination brings us closer, to doing the things we love with the people we love.
Book your vaccine, if you are eligible at https://t.co/qmwDY8KbaO 
#covidvaccine https://t.co/GWWaZ9i2FJ"
1395408985411313667,2021-05-20 16:00:02,9,11,"Info for the Deaf Community: If you are in despair you can contact Lifeline using the HSCNI Remote Interpreting Service for British &amp; Irish Sign Language (BSL &amp; ISL) Users.

Download the InterpreterNow app for free on Google Play Apple Store. 

More info @ https://t.co/4RPabbXQUe"
1395378783973171206,2021-05-20 14:00:01,0,0,"Contact Tracing Service update – of the 612 positive cases reported to the CTS in the seven days up to 16 May 2021, 88% were reached within 24 hours. Of the 2,212 contacts identified, 85% were reached within 24 hours. Full report at https://t.co/4xW73gB3tK https://t.co/7o0vlxorkn"
1395363680628445185,2021-05-20 13:00:00,3,6,"New visiting guidelines for Care Homes in Northern Ireland are now in operation.

A user-friendly version of the guidelines summarising the policy is available at:

https://t.co/OFXvtubak6

The full policy can be accessed at: https://t.co/hWsBYwvRF1 https://t.co/5TftzUBtXS"
1395333482113536017,2021-05-20 11:00:00,4,5,"#Take5StepstoWellbeing!
Giving and kindness to others benefits the giver as well as the receiver. 
Why not start with small acts of kindness and see how giving makes you feel?

For info to support your mental wellbeing
visit https://t.co/lTw8lz6wxc
#HowAreYouFeeling #LivingWellNI https://t.co/RR3A1R4HMY"
1395294379410132994,2021-05-20 08:24:38,16,12,"Today [Thursday 20 May] marks International Clinical Trials Day and we are using it to highlight that everyone, both young and old, can be part of research.

Find out more at: https://t.co/220rFm6qZz

#CTD2021 #BePartofResearch https://t.co/FQiARnzR7r"
1395061437500858370,2021-05-19 16:59:00,0,2,"SELF-ISOLATING SAVES LIVES.
If you test positive for COVID-19, or are a close contact of someone who has tested positive, you must self-isolate.
Follow the advice from the Contact Tracing Team.
Play your part, keep others safe, help save lives.
Read more - https://t.co/lSisoYIOPP https://t.co/RUbp3ZlcvS"
1395035195049381891,2021-05-19 15:14:43,8,5,"Free workplace health &amp; wellbeing support programme.
If your business is interested, register today.
Find out more at https://t.co/cuLcj0DRJM and https://t.co/FV5Dgz69tV https://t.co/n473hNSKDj"
1394997279912833025,2021-05-19 12:44:03,7,10,"There are COVID-19 walk-through test sites available in #Ballymena, #Coleraine, #Derry/#Londonderry, #Belfast, #Lisburn, #Newry and #Omagh. They allow rapid access to testing for those who don't have access to a car. 
Find out more on how to book a test at https://t.co/CoceczvmU2 https://t.co/QcPlO2uKDp"
1394958806627635205,2021-05-19 10:11:11,6,7,"Support for drugs and alcohol misuse is available in your local area. 
During the pandemic these services have and will continue to support you and your families. Find out where your nearest support service is by visiting https://t.co/IZMNGtfpNZ 
Reach out and get help.
@NIDACTS https://t.co/UT87Ufc1KN"
1394918243438112768,2021-05-19 07:30:00,4,4,"Washing your hands frequently is an effective way to help stop the spread of COVID-19. 
Don't touch your face with unwashed hands. 
Find out more about how you can help stop the spread of coronavirus by visiting https://t.co/lSisoZ0qep https://t.co/s8OGta2ETl"
1394669103546310658,2021-05-18 15:00:00,0,1,"The COVID-19 vaccine will help protect you and the people close to you. 
Every vaccination brings us closer, to doing the things we love with the people we love.

Book your vaccine, if you are eligible at https://t.co/qmwDY8KbaO 

#covidvaccine https://t.co/EnLdSJFdNB"
1394654006044205059,2021-05-18 14:00:01,5,8,You should not travel in or out of Northern Ireland except where it is essential to do so. Remember when you return to Northern Ireland you must self-isolate for 10 days from date of arrival. #students #travel #returning home More info @  https://t.co/GiOI7lxzgi https://t.co/bvW2KanZZo
1394638914342711298,2021-05-18 13:00:02,2,0,"Ahead of Clinical Trials Day on the 20 May, we look back at Anita Yakkundi sharing her experience of volunteering to take part in research.

More information about taking part in research can be found at https://t.co/yDPRi8NfNN

#CTD2021 #clinicaltrials #bepartofresearch https://t.co/EonNhkDurY"
