id,created_at,favorite_count,retweet_count,text
1395420449534881800,2021-05-20 16:45:35,0,1,"*A Patient Safety Commissioner would be an independent public leader who would champion the value of listening to patients and promoting their views on how to improve patient safety. 

#PatientsViews"
1395420446879846409,2021-05-20 16:45:34,9,16,"We're seeking the views of patients &amp; the public on the new role of *Patient Safety Commissioner (PSC).

This PSC will help ensure patient views on the safety of NHS treatments and services are listened to and acted on.

Have your say➡️https://t.co/rdMyixMzHx

#PatientsViews https://t.co/4BW3jo6TUm"
1395318594410528768,2021-05-20 10:00:51,2,7,"If you’ve been in contact with a close contact of a positive #coronavirus case, you may be asked to self-isolate and take a test. 

It’s important to follow this advice to protect those around you, even if you’ve been vaccinated. 

Find out more ▶️ https://t.co/A6z2ktEoec"
1394694715182878725,2021-05-18 16:41:46,7,4,"Families and friends of care home residents can help protect their loved ones from COVID-19 while on outings, or meeting in a house, by following FACTS and local advice.

Updated #OpenWithCare guidance for family and friends is at: https://t.co/tgRTzGxBNC https://t.co/xwgTx63Xbq"
1394693936975958019,2021-05-18 16:38:41,4,2,"Our latest #OpenWithCare guidance supports meaningful contact for care home residents, including outings and overnights away. Residents won’t routinely need to self-isolate and test on return.

Find out more: https://t.co/tgRTzGxBNC https://t.co/KeYFXyO2tI"
1394280114037403653,2021-05-17 13:14:18,35,22,"The Promoting Excellence Framework for health and social care staff is designed to help people with dementia maximise their rights, choices, and health and wellbeing.

Read the updated 2021 framework:
https://t.co/hIfWZkHhXR https://t.co/jIHA3KB4MS"
1393234671555710978,2021-05-14 16:00:05,11,5,"When you’re feeling nervous, it can help to breathe slowly, notice nature, or listen to the sounds around you.

For more tips, visit https://t.co/O32DAGgtVQ 
 
#ClearYourHead
#MentalHealthAwarenessWeek https://t.co/DCAMHXypUw"
1393224359830036490,2021-05-14 15:19:06,25,23,"As Scotland opens up again it’s natural to be nervous.

Simple things, like chatting with friends over the phone before you meet up in person, can help to boost your confidence. 

Find more tips at https://t.co/6U08rdbwXf

#clearyourhead 
#MentalHealthAwarenessWeek https://t.co/2hLOO05rWg"
1392434618645811210,2021-05-12 11:00:57,53,13,"""A huge thank you to every single one of you out there for everything you do, each and every day."" 

On #InternationalDayOfTheNurse we say thanks to all Nurses across Scotland for your skill and dedication in caring for others and saving lives #ScotNurses2021 #IND2021 https://t.co/YeSqmVo69D"
1375093455962116105,2021-03-25 14:33:22,4,5,"We’re now in the pre-election period. Our social media activity is restricted until after the @ScotParl election on 6 May. 

We will continue to post coronavirus public health information.

Read more information ➡ https://t.co/mKdNcs60px https://t.co/tqBDUk8HTJ"
