id,created_at,favorite_count,retweet_count,text
1392445664894795776,2021-05-12 11:44:51,87,9,"""Nurses have been vital to the Covid response and I want to thank them for their enduring leadership, courage and determination. Nurses have exemplified compassion and professionalism while being faced with the most challenging of circumstances."" - PV #InternationalNursesDay https://t.co/twZVmPZqSD"
1392104957587955715,2021-05-11 13:11:00,36,8,"“Congratulations to @ProfPaulTaylor on his new role which will help ensure that police can make the best use of the latest science and technologies to help prevent and reduce crime. I look forward to working with Professor Taylor."" - PV https://t.co/qbWDyg7gF2"
1389919335922216962,2021-05-05 12:26:07,33,5,“Great news that Indro Mukerjee has been appointed CEO of @innovateuk. Indro has demonstrated strong leadership throughout his career and has a genuine passion for science &amp; technology. Innovation will be crucial post Covid &amp; Indro is ideally placed to lead the charge. 👏”- PV https://t.co/xikG7Z0Dow
1389637549396828162,2021-05-04 17:46:24,55,3,"“Congratulations to Professor @CGMundell, the new @Science_Council President. Carole brings a wealth of expertise and experience to the role and has championed quality assurance and the need for inclusion and diversity in science. I very much look forward to working with her.""-PV https://t.co/w6K2uacJBv"
1388084379642122242,2021-04-30 10:54:40,38,8,"""I welcome Lord Browne to the Council for science and Technology. He brings with him a wealth of experience which will enable the Council to continue to deliver high calibre advice on science and technology and I look forward to working with him."" - PV  https://t.co/XXqOXxH1l9"
1385237833913409537,2021-04-22 14:23:30,50,11,"Our individual acts will deliver collective results.
#TogetherForOurPlanet #EarthDay https://t.co/JaI2cgQRlK"
1384873189080186883,2021-04-21 14:14:32,80,4,Great second day of discussions at the @G7 #PandemicPreparednessConference. #UKG7 https://t.co/4RBob3cgZs
1384543857208143873,2021-04-20 16:25:53,101,21,“The speed which vaccines and therapeutics such as dexamethasone have been identified and deployed against #COVID19 has been critical to the pandemic response. The Taskforce will help ensure the most promising antivirals are available for deployment as quickly as possible.” - PV https://t.co/0xggyBluBq
1384444188981354497,2021-04-20 09:49:51,154,21,"""Looking forward to chairing the first meeting of the Pandemic Preparedness Partnership bringing together industry, leading experts &amp; international organisations including @WHO @CEPIvaccines @gatesfoundation @gavi to advise the UK @G7 Presidency "" - PV https://t.co/HRvYjNUyVv https://t.co/kMrv2FccxD"
1384109217859072006,2021-04-19 11:38:47,94,18,"""Congratulations to Professor @LucyChappell2, the new Chief Scientific Adviser for @DHSCgovuk and @NIHRresearch lead. Her experience leading research programmes designed to improve health outcomes for the public and patients will be a great asset in this role."" - PV https://t.co/E1Oe77ITUv"
1379346664671043587,2021-04-06 08:14:06,565,21,"“Very sad news that Dr Paul Cosford of PHE has passed away. He was a remarkable man - kind, calm, knowledgeable, generous, loved and admired. Typically he continued to work on the pandemic even during his illness. He will be missed by many and is a huge loss to public health”- PV"
1377679074399825929,2021-04-01 17:47:42,214,38,"""Great to see £250 million funding to support research in the UK. Continuing to grow the R&amp;D budget is essential to meet the ambitious plans for science. Being part of Horizon Europe is good for all of us.” - PV https://t.co/wBgDmvfjtQ"
1376894504368766986,2021-03-30 13:50:05,53,9,"""Many congratulations to Rory Collins who has been awarded the @The_MRC #MillenniumMedal20 for his transformative contributions to both cardiovascular disease and @uk_biobank. Rory has been a huge influence on me personally and this accolade is extremely well deserved"". - PV https://t.co/KRrfkFpxe0"
1374739874809573381,2021-03-24 15:08:22,100,16,"""Congratulations to @UniofNottingham @scsharples on her appointment as the new @transportgovuk Chief Scientific Adviser. I look forward to working with her."" - PV https://t.co/tlli92Mmmd https://t.co/jMvO43G8Na"
1374721193148829697,2021-03-24 13:54:08,158,12,"""Congratulations to Dr Jenny Harries who will lead the new UK Health Security Agency. I look forward to continuing to work with her on the fight against the COVID-19 pandemic"". - PV https://t.co/6VEqL0EUaD https://t.co/OvPcpt2H74"
1374391933020246025,2021-03-23 16:05:46,92,47,"Read 'Shaping the Covid Decade', an important report from the @BritishAcademy_ looking at the long term societal impacts of COVID-19. https://t.co/MIEKhlY5Y6"
1372515657703698437,2021-03-18 11:50:07,56,49,"We are looking for tech and digital experts to work with government on complex, pressing issues. Find out how you can get involved in the Innovation Fellowship programme here: https://t.co/dvUA0CYzLY"
1371844955711365125,2021-03-16 15:24:59,225,57,"""There has never been more of a need for global cooperation. Challenges such as climate change, loss of biodiversity &amp; rapid technological development requires an international approach, and science is crucial. The #IntegratedReview rightly puts science and tech centre stage."" PV https://t.co/Cs6Wo8eaT9"
1370047779825979394,2021-03-11 16:23:39,108,13,"""Congratulations to the COVID SAGE Secretariat for a very well-deserved win at the @UKCivilService Awards."" - PV #CSAwards https://t.co/CKPAA5eBmy"
1369689848530038791,2021-03-10 16:41:22,91,10,"“A real pleasure to take part in @RoyalSocBio Voice of the Future session this afternoon. Great to answer questions on science policy from young representatives from across the science and engineering community."" - PV #VOF2021 https://t.co/BZ5pRNRZXS"
1368970285098147840,2021-03-08 17:02:04,169,10,"Happy #InternationalWomensDay . A great day to celebrate to amazing contribution of #WomenInScience and engineering.  
https://t.co/VKIZpyTblS"
1368891211516411907,2021-03-08 11:47:52,120,48,UK institutions &amp; scientists will have full rights to participate in Horizon Europe. The first European Research Council grants are open with more opening Friday 12 March. Find out more here: https://t.co/vr9YM3Mdfn
1367902644673601550,2021-03-05 18:19:39,1334,183,"""Congratulations to @UniofOxford Professor Sarah Gilbert on her very well deserved win of the @theRSAorg Albert Medal for leading the team that created the #OxfordVaccine that has been so vital in tackling Covid-19."" - PV https://t.co/idQwifhirR"
1367890081294540810,2021-03-05 17:29:44,52,7,Data is a powerful tool for innovation. This year @ScienceWeekUK focuses on innovating for the future and our work on citizen data does just that. Find out more at https://t.co/KJc8QOfEt4 https://t.co/nmI6ZJsJWp
1367872298032762888,2021-03-05 16:19:04,99,14,"""Get involved with @ScienceWeekUK. With focus on innovating for the future, it's a chance to step back and marvel at the wonders of science"" - PV #BSW21 https://t.co/8UEfRhRzrc"
1364971833683042308,2021-02-25 16:13:39,66,4,"""Great to have championed the Science Award at this year’s @UKCivilService Awards. Congratulations to the winners, the International Travel Risk Assessment Team, for their crucial work."" - PV #CSAwards https://t.co/Q4UZxALEBh"
1364969918043676672,2021-02-25 16:06:03,129,10,"""Thrilled for the COVID SAGE Secretariat for a very well-deserved win in the Policy and Use of Evidence category at the @UKCivilService Awards."" - PV https://t.co/FRcdjTLlG7 https://t.co/1h4bnZQgwP"
1362762612769972234,2021-02-19 13:55:00,86,10,"""Excited to lead these discussions with industry and researchers during the UK @G7 presidency."" - PV  #G7UK https://t.co/HWnHg07vqn https://t.co/Geze5QVf9g"
1362704292927459328,2021-02-19 10:03:15,78,21,"""Great to see the launch of ARIA which will build on the UK's world-class research and innovation systems providing an exciting new funding mechanism for pioneering R &amp; D."" - PV https://t.co/duJbfGbckz https://t.co/jiX6JIQLC8"
1359849544025075712,2021-02-11 12:59:30,415,87,"Happy @UN International Day of Women and Girls in Science. 

Great to celebrate the inspirational women in science and engineering playing such a vital role in the fight against Covid-19 and the significant contribution over 3,500 working in government are making. #WomenInScience"
1359155700438601733,2021-02-09 15:02:25,106,3,"Good meeting with @CMO_England, @irj_pt and @DGSaude today to discuss our countries' responses to #COVID19 and how the UK and Portugal are working together to overcome shared challenges. https://t.co/L2plIUp26a"
1357710528211206147,2021-02-05 15:19:49,141,27,"“I welcome this very important review and look forward to working with Professor Dasgupta to ensure science, technology and engineering is harnessed to help deliver the vision” - PV https://t.co/sVZehFTrQl"
1357375730695479300,2021-02-04 17:09:27,69,21,Read the latest advice from the Council for Science and Technology on how science and technology can help to address regional economic disparities across the UK and promote equality of opportunity. https://t.co/VFQB8FWHfF https://t.co/oYXZpzhlUW
1357324522349862916,2021-02-04 13:45:58,92,4,"""Congratulations to my old colleague and research partner, Professor Liam Smeeth on is appointment as @LSHTM Director.  I wish him every success in his new role."" - PV https://t.co/zhSt4yTUxn"
1355212081486835712,2021-01-29 17:51:53,221,20,"""Today's top line results, from @JNJNews for their single dose vaccine, including for new variants, are another encouraging step forward in our fight against COVID-19. Congratulations to the team and thanks to all the people who continue to volunteer for the trials."" - PV https://t.co/aLuDUccfxm"
1355109771041452032,2021-01-29 11:05:20,494,54,"""Exciting to see great headline results for the Novavax vaccine. Another technology and another positive result. Congratulations to the team, the vaccines task force and thanks to all the people who volunteered for the study” - PV https://t.co/5oNPCUGJY1"
1352615433078190083,2021-01-22 13:53:44,108,9,“Congratulations to @eric_lander on his nomination to the post of Director of the White House Office of Science and Technology Policy and as Science Advisor to @POTUS. I look forward to working with Professor Lander and colleagues going forward.” - PV
1352614695371329538,2021-01-22 13:50:48,420,47,"“I welcome the statement from Chief Medical Adviser, Dr Anthony Fauci at the @WHO Executive Board Meeting. Tackling the pandemic is a global endeavour, so the US participation in COVAX is a significant step forward.” - PV"
1352265834979352579,2021-01-21 14:44:33,725,95,“Very helpful discussion with @CMO_England and colleagues from @IsraelMOH today to share information and lessons on the science behind the UK and Israel’s Covid-19 vaccination programmes.” - PV
1350090212270084100,2021-01-15 14:39:24,1114,446,"""Have The New Jab"" - ""Hallelujah"" adapted by the Marsh Family https://t.co/tSCFOewGLJ"
1349316917635522560,2021-01-13 11:26:36,40,4,Looking forward to speaking at this @RAEngNews event today. https://t.co/SrUh2jMsKR
1344582529974677504,2020-12-31 09:53:50,1470,93,“Congratulations to all our brilliant scientists and engineers who have been recognised in the New Year’s Honours and in particular those who have made such a valuable contribution to the fight against covid.” - PV #Honours2021
1344204838326964225,2020-12-30 08:53:02,5116,487,"“Great news the @UniofOxford @AstraZeneca
vaccine has been approved. Huge congratulations and thanks to everyone involved - from scientists to engineers to doctors, nurses and patients in the trials. Now let’s get as many people vaccinated as we can through our fantastic NHS”-PV"
1342136139759677441,2020-12-24 15:52:46,965,106,“Really pleased that we will now associate with science programmes in EU. Science is an international endeavour and our partnership with our colleagues in Europe is strong and important for all of us.” - PV
1339208635189227520,2020-12-16 13:59:54,368,36,A great day for UK Science. https://t.co/aPTt6dXigZ
1336255783311388672,2020-12-08 10:26:19,232,17,"""This watershed moment as the first @pfizer @BioNTech_Group vaccines are administered is thanks to the efforts of scientists, trial volunteers and NHS staff. The Vaccine Taskforce has helped secure access to millions of doses of this and other potential vaccines for the UK"" - PV https://t.co/esZSsyZM7v"
1334083813660561408,2020-12-02 10:35:41,167,21,PV commenting on the news that the @MHRAgovuk has approved for use the @pfizer @BioNTech_Group vaccine.🔽 https://t.co/GzJ7mIsvti
1333778880113459200,2020-12-01 14:24:00,219,20,“Congratulations to @demishassabis and the team @DeepMind for the amazing work on predicting protein folding. This is a watershed moment and will have a huge impact on the potential for discovering new medicines faster and is a dramatic glimpse into the potential of AI” - PV
1331619156886753283,2020-11-25 15:22:01,56,9,"“A funding increase to £14.6bn is a good outcome for science in a challenging period"" - PV https://t.co/bccd0Hjx69 https://t.co/kkJ4EtnuKt"
1331613700315369473,2020-11-25 15:00:20,168,27,An extra £14.6bn funding for Research &amp; Development to forge the UK's future as a global leader in science and technology. #SpendingReview https://t.co/utrswBFXqz
1330844320996470786,2020-11-23 12:03:06,1135,79,“Congratulations to the great teams who have worked on the @UniofOxford @AstraZeneca vaccines. It is great to have another positive readout for a vaccine against #COVID19. This is a huge achievement” - PV
1328674975180582912,2020-11-17 12:22:54,56,16,"Important discussion at #CSPC2020 with @ChiefSciCan, @SciChefQC, @ChiefSciAdvisor, @PrinSciAdvGoI and Jean-François Delfraissy on the need for international collaboration and support in approaching the pandemic. https://t.co/Xxj4FNfS9e"
1328340059016343559,2020-11-16 14:12:04,36,11,"With the campaign to recruit her successor underway, @OfficialUoM Professor Dame Nancy Rothwell reflects on her time as Independent Co-Chair of the @10DowningStreet Council for Science and Technology Details for how to apply included.
https://t.co/9Wq2s45Q5Z"
1326896346159337475,2020-11-12 14:35:16,496,476,We are looking for 10 brilliant interns to join the Government Office for Science to use science insights to help shape the response to major global issues like climate change and health. Closing date Sunday 15 November.  https://t.co/WArPj9zAZz https://t.co/Wg1ZUdepvW
1325850265673555968,2020-11-09 17:18:31,827,55,"""Great news today from @Pfizer &amp; @BioNTech_group that the first vaccine has shown a reduction in infections in its interim analysis. This is an important step and bodes well for a vaccine as a way to tackle covid"" - PV"
1324748374583709696,2020-11-06 16:19:59,35,6,Commenting on https://t.co/hUjNnT1R0F 🔽 https://t.co/QSA1XK8ig4 https://t.co/rbyylBmprZ
1323950947215749120,2020-11-04 11:31:18,183,34,Great to celebrate the significant impact that engineers have on our lives on @RAEngNews @ThisIsEng Day. #BeTheDifference https://t.co/VhL0groO6N
1322136430915760128,2020-10-30 11:21:03,48,14,Find out what the four global trends which may shape how citizen data is used in the future are🔽 https://t.co/QteLVetelD
1314853363901771776,2020-10-10 09:00:45,311,48,"Congratulations to all the scientists and engineers 
recognised for excellence in their fields in the 2020 Queen's Birthday Honours. https://t.co/YyUTDfZfiH #Honours2020"
1313406111135993856,2020-10-06 09:09:53,104,18,“Science has never been more relevant or important. As Category Champion for the Science Award at this year’s @UKCivilService awards I want to recognise all our achievements.” – PV.  Put forward your nominations here https://t.co/5EL0BYMtDp #CSAwards.
1309119619349778432,2020-09-24 13:16:54,217,98,"The @NHSCOVID19app is now available in England and Wales 📲
 
If more people use the app and self-isolate when alerted, we can keep each other safe and stop infection rates rising.
 
Download:
 
➡️Apple App Store: https://t.co/HLESqU30BJ
 
➡️Google Play: https://t.co/vMsZnJQfRe https://t.co/P0SH1fESoL"
1309099188752388096,2020-09-24 11:55:43,96,53,Apply now to the @UKCivilService Fast Stream! Our award-winning leadership programme gives you the chance to shape government policy and have real impact working with government scientists and engineers. Apply from today. See our blog to find out more: https://t.co/HkNoKgzemZ https://t.co/KjQaD4efjH
1303713620581330944,2020-09-09 15:15:23,63,13,Sir John Kingman has announced he will step down after a successful five-year period as Chair of @UKRI_News in May 2021. PV commenting on the news🔽 https://t.co/mtoVZTS71q
