User_name,ID,Tweet_time,List_of_specified_retweets
DHSCgovuk,1388044198687870976,2021-04-30 08:15:00,DCMS
DHSCgovuk,1387457546299002881,2021-04-28 17:23:51,beisgovuk
DHSCgovuk,1387368497517236234,2021-04-28 11:30:00,MHRAgovuk
DHSCgovuk,1387039149681565701,2021-04-27 13:41:17,PHE_uk
DHSCgovuk,1387013658987810822,2021-04-27 12:00:00,UKGovScotland
DHSCgovuk,1386957035149750273,2021-04-27 08:15:00,mhclg
DHSCgovuk,1386726771299700737,2021-04-26 17:00:01,PHE_uk,DCMS
DHSCgovuk,1386643722444496899,2021-04-26 11:30:00,MattHancock,PHE_uk,mhclg,DCMS
DHSCgovuk,1386336316552622082,2021-04-25 15:08:29,nadhimzahawi
DHSCgovuk,1386273782914945024,2021-04-25 11:00:00,PHE_uk
DHSCgovuk,1385888746223063041,2021-04-24 09:30:00,MHRAgovuk,PHE_uk
DHSCgovuk,1385553203534630912,2021-04-23 11:16:40,PHE_uk
DHSCgovuk,1385496161310609409,2021-04-23 07:30:00,PHE_uk
DHSCgovuk,1385307418591117320,2021-04-22 19:00:01,beisgovuk
DHSCgovuk,1385284767122292736,2021-04-22 17:30:00,MHRAgovuk
DHSCgovuk,1385250672828891141,2021-04-22 15:14:31,nadhimzahawi
DHSCgovuk,1385145095943561216,2021-04-22 08:15:00,UKGovScotland
DHSCgovuk,1384922379869167624,2021-04-21 17:30:00,MHRAgovuk,DCMS
DHSCgovuk,1384889351713210373,2021-04-21 15:18:46,nadhimzahawi
DHSCgovuk,1384782708312666116,2021-04-21 08:15:00,PHE_uk
DHSCgovuk,1384527314927640576,2021-04-20 15:20:09,nadhimzahawi
DHSCgovuk,1384220259939323907,2021-04-19 19:00:02,PHE_uk
DHSCgovuk,1384107006022373376,2021-04-19 11:30:00,DCMS
DHSCgovuk,1383699320252375040,2021-04-18 08:30:00,MHRAgovuk
DHSCgovuk,1382246842407194626,2021-04-14 08:18:22,UKGovScotland,nadhimzahawi
DHSCgovuk,1381878040985239553,2021-04-13 07:52:53,UKGovScotland
DHSCgovuk,1380422729686339584,2021-04-09 07:30:00,mhclg,beisgovuk,PHE_uk,DCMS
DHSCgovuk,1380143398015799302,2021-04-08 13:00:02,nadhimzahawi
DHSCgovuk,1380045242859188226,2021-04-08 06:30:00,PHE_uk
DHSCgovuk,1379873233986551813,2021-04-07 19:06:30,DCMS
DHSCgovuk,1379750802135293958,2021-04-07 11:00:00,PHE_uk
DHSCgovuk,1379709278819389443,2021-04-07 08:15:00,NHSEngland,PHE_uk
DHSCgovuk,1379531859042869250,2021-04-06 20:30:00,UKGovScotland
DHSCgovuk,1379358222381805568,2021-04-06 09:00:02,MHRAgovuk,UKGovScotland
DHSCgovuk,1379346889859022851,2021-04-06 08:15:00,PHE_uk,UKGovScotland
DHSCgovuk,1379124172236988420,2021-04-05 17:30:00,MHRAgovuk,NHSEngland
DHSCgovuk,1379088622520053761,2021-04-05 15:08:44,nadhimzahawi
DHSCgovuk,1378726937183584258,2021-04-04 15:11:31,nadhimzahawi
DHSCgovuk,1378686289185099779,2021-04-04 12:30:00,MHRAgovuk
DHSCgovuk,1378365735068704774,2021-04-03 15:16:14,NHSEngland
DHSCgovuk,1378255952755912704,2021-04-03 08:00:00,DCMS
DHSCgovuk,1378037008778502150,2021-04-02 17:30:00,MHRAgovuk
DHSCgovuk,1377917471282262021,2021-04-02 09:35:00,MHRAgovuk
DHSCgovuk,1377312234402062339,2021-03-31 17:30:00,MHRAgovuk
DHSCgovuk,1377292735468732418,2021-03-31 16:12:31,beisgovuk
DHSCgovuk,1377183889660080134,2021-03-31 09:00:00,mhclg,DCMS,UKGovScotland,MHRAgovuk
DHSCgovuk,1377161238438887425,2021-03-31 07:30:00,PHE_uk,nadhimzahawi,DCMS
DHSCgovuk,1376995144449265670,2021-03-30 20:30:00,DCMS
DHSCgovuk,1376920135089451008,2021-03-30 15:31:56,nadhimzahawi
DHSCgovuk,1376919647564390403,2021-03-30 15:30:00,JimBethell,DCMS
DHSCgovuk,1376821500267798530,2021-03-30 09:00:00,nadhimzahawi,NHSEngland,MHRAgovuk
DHSCgovuk,1376639888548892682,2021-03-29 20:58:20,JimBethell,MattHancock
DHSCgovuk,1376632755618934786,2021-03-29 20:30:00,mhclg
DHSCgovuk,1376549716763279366,2021-03-29 15:00:02,transportgovuk
DHSCgovuk,1376432687473438726,2021-03-29 07:15:00,MHRAgovuk,nadhimzahawi,NHSEngland
DHSCgovuk,1375768309900054529,2021-03-27 11:15:00,MHRAgovuk
DHSCgovuk,1375417248513470466,2021-03-26 12:00:00,beisgovuk
DHSCgovuk,1375198304179527690,2021-03-25 21:30:00,DCMS
DHSCgovuk,1375137059132833796,2021-03-25 17:26:38,nadhimzahawi
DHSCgovuk,1375024661734416384,2021-03-25 10:00:00,PHE_uk
DHSCgovuk,1374773497709346817,2021-03-24 17:21:58,nadhimzahawi
DHSCgovuk,1374473528502804480,2021-03-23 21:30:00,MHRAgovuk,PHE_uk
DHSCgovuk,1374392713781542919,2021-03-23 16:08:52,nadhimzahawi
DHSCgovuk,1374345182414475272,2021-03-23 13:00:00,PHE_uk
DHSCgovuk,1374288559578902542,2021-03-23 09:15:00,PHE_uk
DHSCgovuk,1374013001888501762,2021-03-22 15:00:02,JimBethell,MHRAgovuk
DHSCgovuk,1373956370802806785,2021-03-22 11:15:00,UKGovScotland,educationgovuk,DCMS
DHSCgovuk,1373620410747600896,2021-03-21 13:00:01,PHE_uk
DHSCgovuk,1373612859209388032,2021-03-21 12:30:00,nadhimzahawi
DHSCgovuk,1373378820070387715,2021-03-20 21:00:01,MHRAgovuk
DHSCgovuk,1373341067517468673,2021-03-20 18:30:00,DCMS
DHSCgovuk,1373212726693101568,2021-03-20 10:00:01,MHRAgovuk
DHSCgovuk,1372990002846654470,2021-03-19 19:15:00,MHRAgovuk
DHSCgovuk,1372944847682813955,2021-03-19 16:15:34,nadhimzahawi
DHSCgovuk,1372839007843983364,2021-03-19 09:15:00,MHRAgovuk,UKGovScotland
DHSCgovuk,1372661589799763968,2021-03-18 21:30:00,MHRAgovuk,PHE_uk
DHSCgovuk,1372646489281937409,2021-03-18 20:30:00,PHE_uk,MHRAgovuk
DHSCgovuk,1372627614926479360,2021-03-18 19:15:00,MHRAgovuk
DHSCgovuk,1372586427201028097,2021-03-18 16:31:20,nadhimzahawi
DHSCgovuk,1372465297135919104,2021-03-18 08:30:00,MHRAgovuk
DHSCgovuk,1372249279847358468,2021-03-17 18:11:38,PHE_uk
DHSCgovuk,1372246358254620679,2021-03-17 18:00:01,PHE_uk,transportgovuk
DHSCgovuk,1372220056281710593,2021-03-17 16:15:30,DCMS
DHSCgovuk,1372125562127360002,2021-03-17 10:00:01,MHRAgovuk,UKGovScotland
DHSCgovuk,1371936813594648580,2021-03-16 21:30:00,PHE_uk
DHSCgovuk,1371891516017307648,2021-03-16 18:30:00,nadhimzahawi
DHSCgovuk,1371863579901759492,2021-03-16 16:39:00,nadhimzahawi
DHSCgovuk,1371763170898022401,2021-03-16 10:00:00,PHE_uk
DHSCgovuk,1371751844209385479,2021-03-16 09:15:00,beisgovuk,MHRAgovuk,NHSEngland,PHE_uk
DHSCgovuk,1371540451883368453,2021-03-15 19:15:00,MHRAgovuk,DCMS,UKGovWales
DHSCgovuk,1371438530451271687,2021-03-15 12:30:00,beisgovuk
DHSCgovuk,1371385681432301573,2021-03-15 09:00:00,NHSEngland
DHSCgovuk,1371166739673837572,2021-03-14 18:30:00,MHRAgovuk,nadhimzahawi
DHSCgovuk,1371076143017648130,2021-03-14 12:30:00,DCMS
DHSCgovuk,1370767057810259970,2021-03-13 16:01:48,nadhimzahawi
DHSCgovuk,1370668456056479748,2021-03-13 09:30:00,MHRAgovuk
DHSCgovuk,1370660912449925121,2021-03-13 09:00:01,beisgovuk,DCMS,transportgovuk
DHSCgovuk,1370457062879158274,2021-03-12 19:30:00,educationgovuk
DHSCgovuk,1370445737905983491,2021-03-12 18:45:00,MHRAgovuk,PHE_uk,MattHancock
DHSCgovuk,1370396666331869194,2021-03-12 15:30:00,educationgovuk,beisgovuk
DHSCgovuk,1370328721329070088,2021-03-12 11:00:01,nadhimzahawi
DHSCgovuk,1370064478331670530,2021-03-11 17:30:00,MHRAgovuk,PHE_uk
DHSCgovuk,1369939904881377280,2021-03-11 09:15:00,mhclg,NHSEngland
DHSCgovuk,1369728512173703171,2021-03-10 19:15:00,MHRAgovuk
DHSCgovuk,1369692994945875974,2021-03-10 16:53:52,educationgovuk,JimBethell
DHSCgovuk,1369577517435269122,2021-03-10 09:15:00,PHE_uk,DCMS
DHSCgovuk,1369400098199773184,2021-03-09 21:30:00,MHRAgovuk
